00007ffc05e24935 (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffc05e24a30 (__TEXT,__text) external _LLVMExtraDisposeBinary
00007ffc05e248e3 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00007ffc05e24b1c (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00007ffc05e24c74 (__TEXT,__text) external _LLVMExtraGetSymbolImplDecompressedSize
00007ffc05e24d20 (__TEXT,__text) external _LLVMExtraGetSymbolImplFlags
00007ffc05e24da1 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00007ffc05e24bc8 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00007ffc05e24e4a (__TEXT,__text) external _LLVMExtraGetSymbolReflectionAddress
00007ffc05e24fa2 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionDecompressedSize
00007ffc05e2504e (__TEXT,__text) external _LLVMExtraGetSymbolReflectionFlags
00007ffc05e24ef6 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionSize
00007ffc05e24a42 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00007ffc05e2488a (__TEXT,__text) external _LLVMExtraMakeSharedModule
00007ffc05e227f7 (__TEXT,__text) external _MTLArchiveAddMember
00007ffc05e22724 (__TEXT,__text) external _MTLArchiveCreate
00007ffc05e227ab (__TEXT,__text) external _MTLArchiveDestroy
00007ffc05e28af9 (__TEXT,__text) external _MTLArchiveGetAsObject
00007ffc05e228de (__TEXT,__text) external _MTLArchiveGetMemberNo
00007ffc05e22894 (__TEXT,__text) external _MTLArchiveGetMembersCount
00007ffc05e28c84 (__TEXT,__text) external _MTLCreateScript
00007ffc05e28df2 (__TEXT,__text) external _MTLDestroyScript
00007ffc05e26c0d (__TEXT,__text) external _MTLDisposeSharedMetalModule
00007ffc05e1547d (__TEXT,__text) external _MTLDowngradeAIRModule
00007ffc05e15440 (__TEXT,__text) external _MTLEnablePrettyStackTrace
00007ffc05e1c97a (__TEXT,__text) external _MTLFunctionGroupCreate
00007ffc05e1cb85 (__TEXT,__text) external _MTLFunctionGroupDestroy
00007ffc05e1cc5a (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00007ffc05e1cc1e (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00007ffc05e1cbe0 (__TEXT,__text) external _MTLFunctionGroupGetName
00007ffc05e13b8f (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00007ffc05e13800 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
00007ffc05e13916 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
00007ffc05e13a2c (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00007ffc05e14a67 (__TEXT,__text) external _MTLGPUArchiverAddTool
00007ffc05e13592 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00007ffc05e136c9 (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
00007ffc05e14cba (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00007ffc05e14dc8 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00007ffc05e14761 (__TEXT,__text) external _MTLGPUArchiverCompressAll
00007ffc05e1455d (__TEXT,__text) external _MTLGPUArchiverCompressDescriptors
00007ffc05e14359 (__TEXT,__text) external _MTLGPUArchiverCompressModules
00007ffc05e14863 (__TEXT,__text) external _MTLGPUArchiverCompressNone
00007ffc05e1465f (__TEXT,__text) external _MTLGPUArchiverCompressReflections
00007ffc05e1445b (__TEXT,__text) external _MTLGPUArchiverCompressSources
00007ffc05e12e3b (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00007ffc05e131ce (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00007ffc05e12f6c (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00007ffc05e132ff (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00007ffc05e12d0a (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00007ffc05e1309d (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00007ffc05e13430 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
00007ffc05e13546 (__TEXT,__text) external _MTLGPUArchiverDestroy
00007ffc05e14fff (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00007ffc05e1510d (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00007ffc05e14efd (__TEXT,__text) external _MTLGPUArchiverFlush
00007ffc05e152a1 (__TEXT,__text) external _MTLGPUArchiverFromId
00007ffc05e14965 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
00007ffc05e14bb8 (__TEXT,__text) external _MTLGPUArchiverPackUnits
00007ffc05e14258 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
00007ffc05e1400d (__TEXT,__text) external _MTLGPUArchiverSetInstallName
00007ffc05e14129 (__TEXT,__text) external _MTLGPUArchiverSetTarget
00007ffc05e13ed8 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
00007ffc05e13cac (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
00007ffc05e13dc2 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
00007ffc05e15242 (__TEXT,__text) external _MTLGPUArchiverToId
00007ffc05e12c6b (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
00007ffc05e12c10 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
00007ffc05e12cc6 (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
00007ffc05e18e31 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
00007ffc05e193c4 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
00007ffc05e19948 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
00007ffc05e17001 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
00007ffc05e1753b (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
00007ffc05e17a10 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
00007ffc05e15e13 (__TEXT,__text) external _MTLGPUCompilerCreate
00007ffc05e15ee4 (__TEXT,__text) external _MTLGPUCompilerDestroy
00007ffc05e1da59 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
00007ffc05e1d750 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
00007ffc05e1d795 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
00007ffc05e1d7db (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
00007ffc05e1d821 (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
00007ffc05e1d867 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
00007ffc05e1d8ad (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
00007ffc05e1d8d9 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
00007ffc05e1d9d1 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
00007ffc05e1d905 (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
00007ffc05e1d96b (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
00007ffc05e1da15 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
00007ffc05e1dbec (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
00007ffc05e1dcbd (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
00007ffc05e1dd03 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
00007ffc05e1dd49 (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
00007ffc05e1ddeb (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
00007ffc05e18022 (__TEXT,__text) external _MTLGPUCompilerLink
00007ffc05e18499 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
00007ffc05e188f5 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
00007ffc05e1c3e0 (__TEXT,__text) external _MTLGPUCompilerLoadModules
00007ffc05e1c5bb (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
00007ffc05e1c796 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
00007ffc05e1e36a (__TEXT,__text) external _MTLGPUCompilerLowerModule
00007ffc05e1e4d0 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
00007ffc05e1ccae (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
00007ffc05e1c334 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
00007ffc05e1c399 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
00007ffc05e1df01 (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
00007ffc05e1daae (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
00007ffc05e16fa9 (__TEXT,__text) external _MTLGPUCompilerSetNativeArch
00007ffc05e1dc32 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
00007ffc05e1dc78 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
00007ffc05e1dd8f (__TEXT,__text) external _MTLGPUCompilerSetRequiredThreadsPerThreadgroup
00007ffc05e1cd07 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
00007ffc05e16e75 (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
00007ffc05e16d57 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
00007ffc05e1af86 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
00007ffc05e1b403 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
00007ffc05e1b878 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
00007ffc05e19fb3 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
00007ffc05e1a4b0 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
00007ffc05e1a9a5 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
00007ffc05e1cd7d (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
00007ffc05e1d0cc (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
00007ffc05e1d410 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
00007ffc05e26b8c (__TEXT,__text) external _MTLMakeSharedMetalModule
00007ffc05e27a01 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
00007ffc05e26e92 (__TEXT,__text) external _MTLMetalFunctionCreate
00007ffc05e26c84 (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
00007ffc05e27084 (__TEXT,__text) external _MTLMetalFunctionDestroy
00007ffc05e272da (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
00007ffc05e273d2 (__TEXT,__text) external _MTLMetalFunctionGetAlias
00007ffc05e2711b (__TEXT,__text) external _MTLMetalFunctionGetKind
00007ffc05e2720f (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
00007ffc05e271cc (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
00007ffc05e27356 (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
00007ffc05e27296 (__TEXT,__text) external _MTLMetalFunctionGetModule
00007ffc05e270de (__TEXT,__text) external _MTLMetalFunctionGetName
00007ffc05e279c5 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
00007ffc05e25b37 (__TEXT,__text) external _MTLMetalLibCreateCoreImage
00007ffc05e25aec (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
00007ffc05e25a1d (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTripleAndInstallName
00007ffc05e25c75 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
00007ffc05e25ba6 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
