00007ff800cc3d83 (__TEXT,__text) external _APL_dgemm
00007ff800cb2a00 (__TEXT,__text) external _APL_dgemm_LU
00007ff800cf6f80 (__TEXT,__text) external _APL_dgemm_QR
00007ff800bee3d2 (__TEXT,__text) external _APL_dsyrk
00007ff800c61f25 (__TEXT,__text) external _APL_dtrsm
00007ff800c91029 (__TEXT,__text) external _APL_sgemm
00007ff800c61660 (__TEXT,__text) external _APL_sgemm_LU
00007ff800c61c00 (__TEXT,__text) external _APL_sgemm_QR
00007ff800bf463b (__TEXT,__text) external _APL_ssyrk
00007ff800c0cb0d (__TEXT,__text) external _APL_strsm
00007ff800c0d1eb (__TEXT,__text) external _APPLE_NTHREADS
00007ff800e31064 (__TEXT,__text) external _ATLU_DestroyThreadMemory
00007ff800d03859 (__TEXT,__text) external _BLASStateRelease
00007ff800d0384e (__TEXT,__text) external _BLASStateRetain
00007ff800becf54 (__TEXT,__text) external _CAXPY
00007ff800becf54 (__TEXT,__text) external _CAXPY_
00007ff800becf68 (__TEXT,__text) external _CCOPY
00007ff800becf68 (__TEXT,__text) external _CCOPY_
00007ff800becf7c (__TEXT,__text) external _CDOTC
00007ff800becf7c (__TEXT,__text) external _CDOTC_
00007ff800becf9e (__TEXT,__text) external _CDOTU
00007ff800becf9e (__TEXT,__text) external _CDOTU_
00007ff800beb76c (__TEXT,__text) external _CGBMV
00007ff800beb76c (__TEXT,__text) external _CGBMV_
00007ff800be8cd5 (__TEXT,__text) external _CGEMM
00007ff800be8cd5 (__TEXT,__text) external _CGEMM_
00007ff800beb6a4 (__TEXT,__text) external _CGEMV
00007ff800beb6a4 (__TEXT,__text) external _CGEMV_
00007ff800bec07b (__TEXT,__text) external _CGERC
00007ff800bec07b (__TEXT,__text) external _CGERC_
00007ff800bec0cb (__TEXT,__text) external _CGERU
00007ff800bec0cb (__TEXT,__text) external _CGERU_
00007ff800beb8d7 (__TEXT,__text) external _CHBMV
00007ff800beb8d7 (__TEXT,__text) external _CHBMV_
00007ff800be8df7 (__TEXT,__text) external _CHEMM
00007ff800be8df7 (__TEXT,__text) external _CHEMM_
00007ff800beb846 (__TEXT,__text) external _CHEMV
00007ff800beb846 (__TEXT,__text) external _CHEMV_
00007ff800bec11b (__TEXT,__text) external _CHER
00007ff800bec18c (__TEXT,__text) external _CHER2
00007ff800be9458 (__TEXT,__text) external _CHER2K
00007ff800be9458 (__TEXT,__text) external _CHER2K_
00007ff800bec18c (__TEXT,__text) external _CHER2_
00007ff800be9267 (__TEXT,__text) external _CHERK
00007ff800be9267 (__TEXT,__text) external _CHERK_
00007ff800bec11b (__TEXT,__text) external _CHER_
00007ff800beb974 (__TEXT,__text) external _CHPMV
00007ff800beb974 (__TEXT,__text) external _CHPMV_
00007ff800bec216 (__TEXT,__text) external _CHPR
00007ff800bec27e (__TEXT,__text) external _CHPR2
00007ff800bec27e (__TEXT,__text) external _CHPR2_
00007ff800bec216 (__TEXT,__text) external _CHPR_
00007ff800becfc0 (__TEXT,__text) external _CROTG
00007ff800becfc0 (__TEXT,__text) external _CROTG_
00007ff800becfcd (__TEXT,__text) external _CSCAL
00007ff800becfcd (__TEXT,__text) external _CSCAL_
00007ff800becfde (__TEXT,__text) external _CSROT
00007ff800becfde (__TEXT,__text) external _CSROT_
00007ff800becfff (__TEXT,__text) external _CSSCAL
00007ff800becfff (__TEXT,__text) external _CSSCAL_
00007ff800bed019 (__TEXT,__text) external _CSWAP
00007ff800bed019 (__TEXT,__text) external _CSWAP_
00007ff800be8ed1 (__TEXT,__text) external _CSYMM
00007ff800be8ed1 (__TEXT,__text) external _CSYMM_
00007ff800be9563 (__TEXT,__text) external _CSYR2K
00007ff800be9563 (__TEXT,__text) external _CSYR2K_
00007ff800be9369 (__TEXT,__text) external _CSYRK
00007ff800be9369 (__TEXT,__text) external _CSYRK_
00007ff800bebb0b (__TEXT,__text) external _CTBMV
00007ff800bebb0b (__TEXT,__text) external _CTBMV_
00007ff800bebe50 (__TEXT,__text) external _CTBSV
00007ff800bebe50 (__TEXT,__text) external _CTBSV_
00007ff800bebc2d (__TEXT,__text) external _CTPMV
00007ff800bebc2d (__TEXT,__text) external _CTPMV_
00007ff800bebf72 (__TEXT,__text) external _CTPSV
00007ff800bebf72 (__TEXT,__text) external _CTPSV_
00007ff800be8fab (__TEXT,__text) external _CTRMM
00007ff800be8fab (__TEXT,__text) external _CTRMM_
00007ff800beb9f1 (__TEXT,__text) external _CTRMV
00007ff800beb9f1 (__TEXT,__text) external _CTRMV_
00007ff800be9109 (__TEXT,__text) external _CTRSM
00007ff800be9109 (__TEXT,__text) external _CTRSM_
00007ff800bebd36 (__TEXT,__text) external _CTRSV
00007ff800bebd36 (__TEXT,__text) external _CTRSV_
00007ff800bed06e (__TEXT,__text) external _DASUM
00007ff800bed06e (__TEXT,__text) external _DASUM_
00007ff800bed07c (__TEXT,__text) external _DAXPY
00007ff800bed07c (__TEXT,__text) external _DAXPY_
00007ff800be7f73 (__TEXT,__text) external _DCABS1
00007ff800be7f73 (__TEXT,__text) external _DCABS1_
00007ff800bed09f (__TEXT,__text) external _DCOPY
00007ff800bed09f (__TEXT,__text) external _DCOPY_
00007ff800bed0b3 (__TEXT,__text) external _DDOT
00007ff800bed0b3 (__TEXT,__text) external _DDOT_
00007ff800beabff (__TEXT,__text) external _DGBMV
00007ff800beabff (__TEXT,__text) external _DGBMV_
00007ff800be8659 (__TEXT,__text) external _DGEMM
00007ff800be8659 (__TEXT,__text) external _DGEMM_
00007ff800beab57 (__TEXT,__text) external _DGEMV
00007ff800beab57 (__TEXT,__text) external _DGEMV_
00007ff800beb484 (__TEXT,__text) external _DGER
00007ff800beb484 (__TEXT,__text) external _DGER_
00007ff800bed0c4 (__TEXT,__text) external _DNRM2
00007ff800bed0c4 (__TEXT,__text) external _DNRM2_
00007ff800bed0d2 (__TEXT,__text) external _DROT
00007ff800bed0f3 (__TEXT,__text) external _DROTG
00007ff800bed0f3 (__TEXT,__text) external _DROTG_
00007ff800bed100 (__TEXT,__text) external _DROTM
00007ff800bed114 (__TEXT,__text) external _DROTMG
00007ff800bed114 (__TEXT,__text) external _DROTMG_
00007ff800bed100 (__TEXT,__text) external _DROTM_
00007ff800bed0d2 (__TEXT,__text) external _DROT_
00007ff800bead5e (__TEXT,__text) external _DSBMV
00007ff800bead5e (__TEXT,__text) external _DSBMV_
00007ff800bed128 (__TEXT,__text) external _DSCAL
00007ff800bed128 (__TEXT,__text) external _DSCAL_
00007ff800bed171 (__TEXT,__text) external _DSDOT
00007ff800bed171 (__TEXT,__text) external _DSDOT_
