00007ff80f9ea7f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f9ea755 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80f9ea7a4 (__TEXT,__const) non-external _KW_CDATA
00007ff80f9ea738 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80f9ea75d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80f9ea7eb (__TEXT,__const) non-external _KW_EMPTY
00007ff80f9ea7ba (__TEXT,__const) non-external _KW_ENTITIES
00007ff80f9ea74e (__TEXT,__const) non-external _KW_ENTITY
00007ff80f9ea7e5 (__TEXT,__const) non-external _KW_FIXED
00007ff80f9ea7aa (__TEXT,__const) non-external _KW_ID
00007ff80f9ea7ad (__TEXT,__const) non-external _KW_IDREF
00007ff80f9ea7b3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80f9ea776 (__TEXT,__const) non-external _KW_IGNORE
00007ff80f9ea7d4 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80f9ea76e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80f9eaf10 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80f9ea77d (__TEXT,__const) non-external _KW_NDATA
00007ff80f9ea7c3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80f9ea7cb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80f9ea765 (__TEXT,__const) non-external _KW_NOTATION
00007ff80f9ea7f5 (__TEXT,__const) non-external _KW_PCDATA
00007ff80f9ea747 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80f9ea7dc (__TEXT,__const) non-external _KW_REQUIRED
00007ff80f9ea740 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80f9eaf1b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80f9eaf2a (__TEXT,__const) non-external _KW_UTF_16
00007ff80f9eaf31 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80f9eaf3a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80f9eaf24 (__TEXT,__const) non-external _KW_UTF_8
00007ff80f9eaf51 (__TEXT,__const) non-external _KW_encoding
00007ff80f9eaf69 (__TEXT,__const) non-external _KW_no
00007ff80f9eaf5a (__TEXT,__const) non-external _KW_standalone
00007ff80f9eaf49 (__TEXT,__const) non-external _KW_version
00007ff80f9eaf65 (__TEXT,__const) non-external _KW_yes
00007ff80f9d3d98 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80f9d3eb3 (__TEXT,__text) external _XML_ErrorString
00007ff80f9d3ed4 (__TEXT,__text) external _XML_ExpatVersion
00007ff80f9d3ee1 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80f9d2422 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80f9d3d3e (__TEXT,__text) external _XML_FreeContentModel
00007ff80f9d31f2 (__TEXT,__text) external _XML_GetBase
00007ff80f9d36f1 (__TEXT,__text) external _XML_GetBuffer
00007ff80f9d3c2d (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80f9d3c04 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80f9d3ce8 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80f9d3c8f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80f9d3bed (__TEXT,__text) external _XML_GetErrorCode
00007ff80f9d3ef3 (__TEXT,__text) external _XML_GetFeatureList
00007ff840993540 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80f9d321e (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80f9d3c56 (__TEXT,__text) external _XML_GetInputContext
00007ff80f9d3bcc (__TEXT,__text) external _XML_GetParsingStatus
00007ff80f9ea0f4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80f9d3207 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80f9d3d83 (__TEXT,__text) external _XML_MemFree
00007ff80f9d3d53 (__TEXT,__text) external _XML_MemMalloc
00007ff80f9d3d6a (__TEXT,__text) external _XML_MemRealloc
00007ff80f9d34b2 (__TEXT,__text) external _XML_Parse
00007ff80f9d3926 (__TEXT,__text) external _XML_ParseBuffer
00007ff80f9d1a74 (__TEXT,__text) external _XML_ParserCreate
00007ff80f9d1a90 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80f9d1a84 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80f9d2d02 (__TEXT,__text) external _XML_ParserFree
00007ff80f9d1d93 (__TEXT,__text) external _XML_ParserReset
00007ff80f9d3af6 (__TEXT,__text) external _XML_ResumeParser
00007ff80f9d3420 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80f9d314a (__TEXT,__text) external _XML_SetBase
00007ff80f9d3f3a (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80f9d3f00 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80f9d3299 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80f9d3266 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80f9d3287 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80f9d32d6 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80f9d32ef (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80f9d3308 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80f9d340e (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80f9d3235 (__TEXT,__text) external _XML_SetElementHandler
00007ff80f9d2372 (__TEXT,__text) external _XML_SetEncoding
00007ff80f9d32c4 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80f9d3333 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80f9d3257 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80f9d3394 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80f9d3432 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80f9d33b8 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80f9d33ca (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80f9d347c (__TEXT,__text) external _XML_SetHashSalt
00007ff80f9d3369 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
