00007ffb06aa4372 (__TEXT,__text) non-external _DiToMD5
00007ffb06aa45f2 (__TEXT,__text) non-external _DiToSHA1
00007ffb06a8d5a6 (__TEXT,__text) external _DriverExecutableMain
00007ffb41101e20 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb06a8cf4b (__TEXT,__text) external _IOCallOnce
00007ffb411020e0 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb41101fe8 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb411021d8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb41102388 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb06a89f86 (__TEXT,__text) external _IODelay
00007ffb41102538 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb411026e8 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb06a8db7a (__TEXT,__text) external _IODriverKitTest
00007ffb06ab526b (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb06ab528e (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb06ab52b1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb06ab52d4 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb06ab52f7 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb06ab531a (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb06ab5345 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb06ab5368 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb41102898 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb41102a48 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb06a89f32 (__TEXT,__text) external _IOFree
00007ffb06a89f6c (__TEXT,__text) external _IOFreeData
00007ffb06a8db5e (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb41103318 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb41102c28 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb06a89f99 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb06a8cc4e (__TEXT,__text) external _IOLockAlloc
00007ffb06a8cca7 (__TEXT,__text) external _IOLockAssert
00007ffb06ab4ce2 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb06a8cc73 (__TEXT,__text) external _IOLockFree
00007ffb06a8cc89 (__TEXT,__text) external _IOLockLock
00007ffb06a8cc93 (__TEXT,__text) external _IOLockTryLock
00007ffb06a8cc9d (__TEXT,__text) external _IOLockUnlock
00007ffb06a89d41 (__TEXT,__text) external _IOLog
00007ffb06a89bfd (__TEXT,__text) external _IOLogBuffer
00007ffb06a89ddf (__TEXT,__text) external _IOLogv
