                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff8102121a0 (__TEXT,__text) external __cg_jcopy_block_row
00007ff81021214a (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff810231f10 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff810208d64 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff81021142d (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff8102121b9 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff81021dc4a (__TEXT,__text) external __cg_jinit_c_master_control
00007ff810212390 (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff810207e50 (__TEXT,__text) external __cg_jinit_color_converter
00007ff81021098c (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff810207d38 (__TEXT,__text) external __cg_jinit_compress_master
00007ff81021ca92 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff81021f47b (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff81022007a (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff81022a101 (__TEXT,__text) external __cg_jinit_downsampler
00007ff81020ff93 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff81022b535 (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff81022f4ae (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff810213322 (__TEXT,__text) external __cg_jinit_input_controller
00007ff810208682 (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff81020a505 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff81022e238 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff81021ef86 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff8102331d0 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff81022aeab (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff81021fb63 (__TEXT,__text) external __cg_jinit_upsampler
00007ff810229d27 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff810212a80 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff81020cbb7 (__TEXT,__text) external __cg_jpeg_abort
