000000018cc89014 (__TEXT,__text) external _CCAESCmac
000000018cc89074 (__TEXT,__text) external _CCAESCmacCreate
000000018cc89134 (__TEXT,__text) external _CCAESCmacDestroy
000000018cc89124 (__TEXT,__text) external _CCAESCmacFinal
000000018cc89178 (__TEXT,__text) external _CCAESCmacOutputSizeFromContext
000000018cc89110 (__TEXT,__text) external _CCAESCmacUpdate
000000018cc88d24 (__TEXT,__text) external _CCBigNumAdd
000000018cc88d40 (__TEXT,__text) external _CCBigNumAddI
000000018cc888bc (__TEXT,__text) external _CCBigNumBitCount
000000018cc888ec (__TEXT,__text) external _CCBigNumByteCount
000000018cc8882c (__TEXT,__text) external _CCBigNumClear
000000018cc88be4 (__TEXT,__text) external _CCBigNumCompare
000000018cc88be8 (__TEXT,__text) external _CCBigNumCompareI
000000018cc88880 (__TEXT,__text) external _CCBigNumCopy
000000018cc88c90 (__TEXT,__text) external _CCBigNumCreateRandom
000000018cc88dcc (__TEXT,__text) external _CCBigNumDiv
000000018cc88848 (__TEXT,__text) external _CCBigNumFree
000000018cc88904 (__TEXT,__text) external _CCBigNumFromData
000000018cc88ac0 (__TEXT,__text) external _CCBigNumFromDecimalString
000000018cc8899c (__TEXT,__text) external _CCBigNumFromHexString
000000018cc88c24 (__TEXT,__text) external _CCBigNumGetI
000000018cc88f60 (__TEXT,__text) external _CCBigNumIsNegative
000000018cc88f3c (__TEXT,__text) external _CCBigNumIsPrime
000000018cc88f50 (__TEXT,__text) external _CCBigNumIsZero
000000018cc88efc (__TEXT,__text) external _CCBigNumLeftShift
000000018cc88de8 (__TEXT,__text) external _CCBigNumMod
000000018cc88ed8 (__TEXT,__text) external _CCBigNumModExp
000000018cc88e04 (__TEXT,__text) external _CCBigNumModI
000000018cc88d94 (__TEXT,__text) external _CCBigNumMul
000000018cc88db0 (__TEXT,__text) external _CCBigNumMulI
000000018cc88ebc (__TEXT,__text) external _CCBigNumMulMod
000000018cc88f1c (__TEXT,__text) external _CCBigNumRightShift
000000018cc88c08 (__TEXT,__text) external _CCBigNumSetI
000000018cc88bec (__TEXT,__text) external _CCBigNumSetNegative
000000018cc88d5c (__TEXT,__text) external _CCBigNumSub
000000018cc88d78 (__TEXT,__text) external _CCBigNumSubI
000000018cc88950 (__TEXT,__text) external _CCBigNumToData
000000018cc88b44 (__TEXT,__text) external _CCBigNumToDecimalString
000000018cc88a20 (__TEXT,__text) external _CCBigNumToHexString
000000018cc888d4 (__TEXT,__text) external _CCBigNumZeroLSBCount
000000018cc89310 (__TEXT,__text) non-external _CCCKGContextCreate
000000018cc894a0 (__TEXT,__text) external _CCCKGContributorCommit
000000018cc89290 (__TEXT,__text) external _CCCKGContributorCreate
000000018cc89428 (__TEXT,__text) external _CCCKGContributorDestroy
000000018cc895b0 (__TEXT,__text) external _CCCKGContributorFinish
000000018cc89720 (__TEXT,__text) non-external _CCCKGConvertNativeToECCryptor
000000018cc89188 (__TEXT,__text) external _CCCKGGetCommitmentSize
000000018cc89238 (__TEXT,__text) external _CCCKGGetOpeningSize
000000018cc891e0 (__TEXT,__text) external _CCCKGGetShareSize
000000018cc893a8 (__TEXT,__text) external _CCCKGOwnerCreate
000000018cc89464 (__TEXT,__text) external _CCCKGOwnerDestroy
000000018cc897dc (__TEXT,__text) external _CCCKGOwnerFinish
000000018cc89520 (__TEXT,__text) external _CCCKGOwnerGenerateShare
000000018cc8bdcc (__TEXT,__text) external _CCCalibratePBKDF
000000018cc887cc (__TEXT,__text) external _CCCreateBigNum
000000018cc85e9c (__TEXT,__text) external _CCCrypt
000000018cc89ea4 (__TEXT,__text) external _CCCryptorAddParameter
000000018cc87a1c (__TEXT,__text) external _CCCryptorChaCha20
000000018cc87b54 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotDecrypt
000000018cc87a8c (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotEncrypt
000000018cc8570c (__TEXT,__text) external _CCCryptorCreate
000000018cc89960 (__TEXT,__text) external _CCCryptorCreateFromData
000000018cc89a80 (__TEXT,__text) external _CCCryptorCreateFromDataWithMode
000000018cc845e4 (__TEXT,__text) external _CCCryptorCreateWithMode
000000018cc89db8 (__TEXT,__text) external _CCCryptorDecryptDataBlock
000000018cc89ccc (__TEXT,__text) external _CCCryptorEncryptDataBlock
000000018cc8609c (__TEXT,__text) external _CCCryptorFinal
000000018cc84508 (__TEXT,__text) external _CCCryptorGCM
000000018cc85244 (__TEXT,__text) external _CCCryptorGCMAddAAD
000000018cc8b86c (__TEXT,__text) external _CCCryptorGCMAddADD
000000018cc851d4 (__TEXT,__text) external _CCCryptorGCMAddIV
000000018cc8782c (__TEXT,__text) external _CCCryptorGCMDecrypt
000000018cc878a8 (__TEXT,__text) external _CCCryptorGCMEncrypt
000000018cc85330 (__TEXT,__text) external _CCCryptorGCMFinal
000000018cc8b874 (__TEXT,__text) external _CCCryptorGCMFinalize
000000018cc8bae0 (__TEXT,__text) external _CCCryptorGCMOneshotDecrypt
000000018cc8b9c8 (__TEXT,__text) external _CCCryptorGCMOneshotEncrypt
000000018cc8b96c (__TEXT,__text) external _CCCryptorGCMReset
000000018cc8b7f8 (__TEXT,__text) external _CCCryptorGCMSetIV
000000018cc8b870 (__TEXT,__text) external _CCCryptorGCMaddAAD
000000018cc89c08 (__TEXT,__text) external _CCCryptorGetIV
000000018cc85fb0 (__TEXT,__text) external _CCCryptorGetOutputLength
000000018cc8a088 (__TEXT,__text) external _CCCryptorGetParameter
000000018cc85398 (__TEXT,__text) external _CCCryptorRelease
000000018cc85cd4 (__TEXT,__text) external _CCCryptorReset
000000018cc89aec (__TEXT,__text) external _CCCryptorReset_binary_compatibility
000000018cc857dc (__TEXT,__text) external _CCCryptorUpdate
000000018cc8a234 (__TEXT,__text) external _CCDHComputeKey
000000018cc8a138 (__TEXT,__text) external _CCDHCreate
000000018cc8a1a0 (__TEXT,__text) external _CCDHGenerateKey
000000018cc8a19c (__TEXT,__text) external _CCDHRelease
000000018cc88040 (__TEXT,__text) external _CCDeriveKey
000000018cc8dc6c (__TEXT,__text) external _CCDesCBCCksum
000000018cc87874 (__TEXT,__text) external _CCDesIsWeakKey
000000018cc87870 (__TEXT,__text) external _CCDesSetOddParity
000000018cc83d00 (__TEXT,__text) external _CCDigest
000000018cc8a3d8 (__TEXT,__text) external _CCDigestBlockSize
000000018cc85570 (__TEXT,__text) external _CCDigestCreate
000000018cc8a420 (__TEXT,__text) external _CCDigestCreateByOID
000000018cc856c4 (__TEXT,__text) external _CCDigestDestroy
000000018cc8567c (__TEXT,__text) external _CCDigestFinal
000000018cc8a370 (__TEXT,__text) external _CCDigestGetBlockSize
000000018cc8a3c0 (__TEXT,__text) external _CCDigestGetBlockSizeFromRef
000000018cc836e0 (__TEXT,__text) non-external (was a private external) _CCDigestGetDigestInfo
000000018cc8e5c0 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.1
000000018cc8e634 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.2
000000018cc8e6a8 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.3
000000018cc8a398 (__TEXT,__text) external _CCDigestGetOutputSize
000000018cc8a3f0 (__TEXT,__text) external _CCDigestGetOutputSizeFromRef
000000018cc855c0 (__TEXT,__text) external _CCDigestInit
000000018cc8a408 (__TEXT,__text) external _CCDigestOID
000000018cc8a414 (__TEXT,__text) external _CCDigestOIDLen
000000018cc85618 (__TEXT,__text) external _CCDigestOutputSize
000000018cc8a4b0 (__TEXT,__text) external _CCDigestReset
000000018cc85630 (__TEXT,__text) external _CCDigestUpdate
000000018cc8b720 (__TEXT,__text) external _CCECCryptorBlind
000000018cc8b6d8 (__TEXT,__text) external _CCECCryptorBlindingKeysRelease
000000018cc8b3c0 (__TEXT,__text) external _CCECCryptorComputeSharedSecret
000000018cc8af04 (__TEXT,__text) external _CCECCryptorCreateFromData
000000018cc8b1b4 (__TEXT,__text) external _CCECCryptorExportKey
000000018cc8b194 (__TEXT,__text) external _CCECCryptorExportPublicKey
000000018cc8b628 (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
000000018cc8ab10 (__TEXT,__text) external _CCECCryptorGeneratePair
000000018cc8aeb4 (__TEXT,__text) external _CCECCryptorGetKeyComponents
000000018cc8acac (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
000000018cc8b568 (__TEXT,__text) external _CCECCryptorH2C
000000018cc8aff4 (__TEXT,__text) external _CCECCryptorImportKey
000000018cc8afdc (__TEXT,__text) external _CCECCryptorImportPublicKey
000000018cc8afd8 (__TEXT,__text) external _CCECCryptorRelease
000000018cc8b2b8 (__TEXT,__text) external _CCECCryptorSignHash
000000018cc8b434 (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
000000018cc8b458 (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
000000018cc8b78c (__TEXT,__text) external _CCECCryptorUnblind
000000018cc8b3b8 (__TEXT,__text) external _CCECCryptorUnwrapKey
000000018cc8b338 (__TEXT,__text) external _CCECCryptorVerifyHash
000000018cc8b3b0 (__TEXT,__text) external _CCECCryptorWrapKey
000000018cc8afc4 (__TEXT,__text) external _CCECGetKeySize
000000018cc8afa4 (__TEXT,__text) external _CCECGetKeyType
000000018cc8825c (__TEXT,__text) external _CCHKDFExpand
000000018cc881b8 (__TEXT,__text) external _CCHKDFExtract
000000018cc83da8 (__TEXT,__text) external _CCHmac
000000018cc8bd88 (__TEXT,__text) external _CCHmacClone
000000018cc8bca0 (__TEXT,__text) external _CCHmacCreate
000000018cc8bc50 (__TEXT,__text) external _CCHmacDestroy
000000018cc8781c (__TEXT,__text) external _CCHmacFinal
000000018cc8778c (__TEXT,__text) external _CCHmacInit
000000018cc8bd20 (__TEXT,__text) external _CCHmacOneShot
000000018cc8bc9c (__TEXT,__text) external _CCHmacOutputSize
000000018cc8bc90 (__TEXT,__text) external _CCHmacOutputSizeFromRef
000000018cc8780c (__TEXT,__text) external _CCHmacUpdate
000000018cc87e04 (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
000000018cc87c88 (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
000000018cc87d10 (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
000000018cc87d7c (__TEXT,__text) external _CCKDFParametersCreateHkdf
000000018cc87c14 (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
000000018cc87e70 (__TEXT,__text) external _CCKDFParametersDestroy
000000018cc87eb0 (__TEXT,__text) external _CCKeyDerivationHMac
000000018cc878ac (__TEXT,__text) external _CCKeyDerivationPBKDF
000000018cc8c768 (__TEXT,__text) external _CCRSACryptorCreateFromData
000000018cc8c16c (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
000000018cc8c638 (__TEXT,__text) external _CCRSACryptorCrypt
000000018cc8c564 (__TEXT,__text) external _CCRSACryptorDecrypt
000000018cc8c45c (__TEXT,__text) external _CCRSACryptorEncrypt
000000018cc8c38c (__TEXT,__text) external _CCRSACryptorExport
000000018cc8bfcc (__TEXT,__text) external _CCRSACryptorGeneratePair
000000018cc8c240 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
000000018cc8c274 (__TEXT,__text) external _CCRSACryptorImport
000000018cc8c8fc (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
000000018cc8c23c (__TEXT,__text) external _CCRSACryptorRelease
000000018cc8ce90 (__TEXT,__text) external _CCRSACryptorSign
000000018cc8cff0 (__TEXT,__text) external _CCRSACryptorVerify
000000018cc8cc20 (__TEXT,__text) external _CCRSAGetCRTComponents
000000018cc8ca9c (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
000000018cc8c9fc (__TEXT,__text) external _CCRSAGetKeyComponents
000000018cc8c260 (__TEXT,__text) external _CCRSAGetKeySize
000000018cc8c244 (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
000000018cc854d0 (__TEXT,__text) external _CCRandomCopyBytes
000000018cc854dc (__TEXT,__text) external _CCRandomGenerateBytes
000000018cc8bf7c (__TEXT,__text) external _CCRandomUniform
000000018cc8d2c8 (__TEXT,__text) external _CCSymmetricKeyUnwrap
000000018cc8d14c (__TEXT,__text) external _CCSymmetricKeyWrap
000000018cc8d4e0 (__TEXT,__text) external _CCSymmetricUnwrappedSize
000000018cc8d4d8 (__TEXT,__text) external _CCSymmetricWrappedSize
000000018cc87830 (__TEXT,__text) external _CC_MD2
000000018cc8a7c8 (__TEXT,__text) external _CC_MD2_Final
000000018cc8a5cc (__TEXT,__text) external _CC_MD2_Init
000000018cc8a6a4 (__TEXT,__text) external _CC_MD2_Update
000000018cc8a4c8 (__TEXT,__text) external _CC_MD4
000000018cc87654 (__TEXT,__text) external _CC_MD4_Final
000000018cc8742c (__TEXT,__text) external _CC_MD4_Init
000000018cc87510 (__TEXT,__text) external _CC_MD4_Update
000000018cc83d68 (__TEXT,__text) external _CC_MD5
000000018cc83b88 (__TEXT,__text) external _CC_MD5_Final
000000018cc835fc (__TEXT,__text) external _CC_MD5_Init
000000018cc83a44 (__TEXT,__text) external _CC_MD5_Update
000000018cc83cc0 (__TEXT,__text) external _CC_SHA1
000000018cc84390 (__TEXT,__text) external _CC_SHA1_Final
000000018cc84168 (__TEXT,__text) external _CC_SHA1_Init
000000018cc8424c (__TEXT,__text) external _CC_SHA1_Update
000000018cc8a508 (__TEXT,__text) external _CC_SHA224
000000018cc8a964 (__TEXT,__text) external _CC_SHA224_Final
000000018cc8a8e0 (__TEXT,__text) external _CC_SHA224_Init
000000018cc8a948 (__TEXT,__text) external _CC_SHA224_Update
000000018cc844c8 (__TEXT,__text) external _CC_SHA256
000000018cc83ff8 (__TEXT,__text) external _CC_SHA256_Final
000000018cc83e48 (__TEXT,__text) external _CC_SHA256_Init
000000018cc83eb0 (__TEXT,__text) external _CC_SHA256_Update
000000018cc8a548 (__TEXT,__text) external _CC_SHA384
000000018cc8aa58 (__TEXT,__text) external _CC_SHA384_Final
000000018cc8a9d4 (__TEXT,__text) external _CC_SHA384_Init
000000018cc8aa3c (__TEXT,__text) external _CC_SHA384_Update
000000018cc8a588 (__TEXT,__text) external _CC_SHA512
000000018cc86334 (__TEXT,__text) external _CC_SHA512_Final
000000018cc8625c (__TEXT,__text) external _CC_SHA512_Init
000000018cc862c4 (__TEXT,__text) external _CC_SHA512_Update
00000001db9f5bf0 (__AUTH_CONST,__const) non-external (was a private external) _CC_adler32
00000001d39c0fa0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16
00000001d39c0d20 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_a
00000001d39c0d60 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_b
00000001d39c0da0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_false
00000001d39c0de0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_true
00000001d39c0e20 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_r
00000001d39c0e60 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_x
00000001d39c0ea0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_icode
00000001d39c0ee0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_usb
00000001d39c0f20 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_verifone
00000001d39c0f60 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_xmodem
00000001d39c1120 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32
00000001d39c0fe0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_bzip2
00000001d39c1020 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_castagnoli
00000001d39c1060 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_mpeg_2
00000001d39c10a0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_posix
00000001d39c10e0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_xfer
00000001d39c1160 (__DATA_CONST,__const) non-external (was a private external) _CC_crc64_ecma_182
00000001d39c12a0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8
00000001d39c11a0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_icode
00000001d39c11e0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_itu
00000001d39c1220 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_rohc
00000001d39c1260 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_wcdma
00000001d39c1390 (__DATA_CONST,__const) external _CCrfc3394_iv
000000018cc8fba8 (__TEXT,__const) external _CCrfc3394_ivLen
000000018cc866ac (__TEXT,__text) non-external (was a private external) _CNBufferCreate
