00000001abebac00 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001abebac24 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001abeac62c (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00000001abebce80 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.1
00000001abebcf34 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.2
00000001abeac4c4 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001abeac808 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001abebb0d4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001abebe97c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001abebea0c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001abebb39c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001abeba688 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001abeb43a0 (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001abebda10 (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00000001abeb4428 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001abeb4948 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001abebdbd0 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001abebda8c (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001abeb4380 (__TEXT,__text) non-external +[MIS isAvailable]
00000001abeb485c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001abebdb9c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001abebda8c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001abeb47a8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001abebdb68 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001abeb45b4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001abebda24 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001abebda8c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001abebdac0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001abebdaf4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001abeb4b58 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001abebdd2c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001abebddb8 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001abeb4a40 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001abebdc38 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001abebdca0 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001abeb9aa0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001abebe690 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001abebe690 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001abeae18c (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001abeae2cc (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001abeaca4c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001abea76b0 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001abebbb84 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001abebbc1c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001abea7200 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00000001abebb9cc (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00000001abebba44 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00000001abebbae4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00000001abea6d78 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001abebb9b8 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00000001abea7014 (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00000001abeb3f58 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001abeae95c (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001abea5608 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001abeadd78 (__TEXT,__text) non-external +[SPLog downloads]
00000001abebd3e4 (__TEXT,__text) non-external +[SPLog downloads].cold.1
00000001abeadb48 (__TEXT,__text) non-external +[SPLog exec]
00000001abebd394 (__TEXT,__text) non-external +[SPLog exec].cold.1
00000001abeadf70 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001abeada30 (__TEXT,__text) non-external +[SPLog generic]
00000001abebd36c (__TEXT,__text) non-external +[SPLog generic].cold.1
00000001abeadabc (__TEXT,__text) non-external +[SPLog kext]
00000001abebd380 (__TEXT,__text) non-external +[SPLog kext].cold.1
00000001abeadbd4 (__TEXT,__text) non-external +[SPLog measurements]
00000001abebd3a8 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00000001abeadcec (__TEXT,__text) non-external +[SPLog sampling]
00000001abebd3d0 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00000001abeadf64 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001abeadc60 (__TEXT,__text) non-external +[SPLog signposts]
00000001abebd3bc (__TEXT,__text) non-external +[SPLog signposts].cold.1
00000001abeade04 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001abebd3f8 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
