00000002982ff3e0 (__DATA,__bss) non-external _A
000000029a49f490 (__AUTH,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
000000029a49f478 (__AUTH,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
0000000299996590 (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_BLOCK
000000029999658c (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_INLINE
00000002999965b0 (__DATA_DIRTY,__common) external _CMARK_NODE_STRIKETHROUGH
00000002999965ac (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE
00000002999965a8 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_CELL
00000002999965a4 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_ROW
00000002999965a2 (__DATA_DIRTY,__bss) non-external _CMARK_NODE__TABLE_VISITED
000000027e584750 (__TEXT,__const) non-external _HREF_SAFE
00000002921806c8 (__DATA_CONST,__const) non-external _HTML_ESCAPES
000000027e582b13 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
000000027e584650 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
000000027e578124 (__TEXT,__text) non-external _S_advance_offset
000000027e5690cc (__TEXT,__text) non-external _S_blankline
000000027e578c58 (__TEXT,__text) non-external _S_can_contain
000000027e5690b0 (__TEXT,__text) non-external _S_cr
000000027e5781cc (__TEXT,__text) non-external _S_find_first_nonspace
000000027e56b4d4 (__TEXT,__text) non-external _S_get_enumlevel
000000027e578ba0 (__TEXT,__text) non-external _S_node_unlink
000000027e5690e4 (__TEXT,__text) non-external _S_out
000000027e567560 (__TEXT,__text) non-external _S_outc
000000027e5766b4 (__TEXT,__text) non-external _S_parser_feed
000000027e584628 (__TEXT,__const) non-external _S_parser_feed.repl
000000027e57a368 (__TEXT,__text) non-external _S_print_error
000000027e576e24 (__TEXT,__text) non-external _S_process_line
000000027e581da8 (__TEXT,__text) non-external _S_process_line.cold.1
000000027e581dd4 (__TEXT,__text) non-external _S_process_line.cold.2
000000027e581e00 (__TEXT,__text) non-external _S_process_line.cold.3
000000027e566c9c (__TEXT,__text) non-external _S_put_footnote_backref
000000027e564d18 (__TEXT,__text) non-external _S_render_node
000000027e567690 (__TEXT,__text) non-external _S_render_node
