0000000180334748 (__TEXT,__text) external _NSAddImage
00000001803346d8 (__TEXT,__text) external _NSAddLibrary
0000000180334710 (__TEXT,__text) external _NSAddLibraryWithSearching
000000018033413c (__TEXT,__text) external _NSAddressOfSymbol
000000018033426c (__TEXT,__text) external _NSCreateObjectFileImageFromFile
0000000180334054 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00000001803342a0 (__TEXT,__text) external _NSDestroyObjectFileImage
00000001803340c4 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
0000000180334698 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00000001803343d0 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
0000000180334498 (__TEXT,__text) external _NSIsSymbolNameDefined
00000001803344fc (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00000001803344c8 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
0000000180334434 (__TEXT,__text) external _NSLibraryNameForModule
0000000180334654 (__TEXT,__text) external _NSLinkEditError
000000018033408c (__TEXT,__text) external _NSLinkModule
0000000180334530 (__TEXT,__text) external _NSLookupAndBindSymbol
0000000180334560 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
000000018033459c (__TEXT,__text) external _NSLookupSymbolInImage
0000000180334100 (__TEXT,__text) external _NSLookupSymbolInModule
000000018033461c (__TEXT,__text) external _NSModuleForSymbol
0000000180334404 (__TEXT,__text) external _NSNameOfModule
00000001803345dc (__TEXT,__text) external _NSNameOfSymbol
00000001803342d0 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
0000000180334310 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
0000000180334350 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
0000000180334390 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
0000000180334464 (__TEXT,__text) external _NSUnLinkModule
0000000180333238 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00000001803334e4 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001d91f2928 (__DATA_DIRTY,__common) external _NXArgc
