                 (undefined) external _OBJC_CLASS_$_CATTransform (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEExecutor (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DialogElement (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionDialog (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocation (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationContext (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationPayload (from SiriKitInvocation)
0000000297b37f08 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$__TtC22SiriSuggestionsSupport30SiriSuggestionsServiceDelegate
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000297b37fe8 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$__TtC22SiriSuggestionsSupport30SiriSuggestionsServiceDelegate
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
0000000264753cf8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002647590f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000264759110 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000264759124 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000264759154 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000264759154 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002647591e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026475e428 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026475fe70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026475fe80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026475fe80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026475fe80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026475fe80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000264761c5c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026476ac18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026477c614 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002647887fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000264791c1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
