00007ff808e3d220 (__TEXT,__const) non-external _A1_Table
00007ff808675240 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff808675140 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff80834d0f0 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff808355730 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff80855f210 (__TEXT,__text) non-external (was a private external) _AccelerateGPULibraryCore
00007ff841e43980 (__DATA,__bss) non-external _AccelerateGPULibraryCore.frameworkLibrary
00007ff84071da70 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff8084b0a50 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff84071daf0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff808676a70 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff808676a10 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff808676ad0 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff808660350 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff808660330 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff808660310 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff8086602f0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff8086603a0 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff808660370 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff80833bca0 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff808e3d2c0 (__TEXT,__const) non-external _Ainv
00007ff808667c40 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff808e401b4 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff808e401ac (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840721340 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff80833e670 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff80833e740 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff808e3d270 (__TEXT,__const) non-external _B
00007ff8083b8e20 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80833bcd0 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff843954498 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff8439543b8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff8439543b0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff8439544a0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff8439544a8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff8439543d0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff843954490 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff840721380 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff80833aca0 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff8439543c0 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff8439543c8 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff841e43cc0 (__DATA,__bss) non-external _CGInterfacesLibraryCore.frameworkLibrary
00007ff8085c0140 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff8439543f0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff843954468 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff843954448 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff8439543e8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff8439543e0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff843954450 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff843954410 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
