                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBundleCopyBundleURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyPrivateFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCopySharedFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFLocaleCopyCurrent (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddObserver (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceSignal (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerGetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerSetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopWakeUp (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyLastPathComponent (from CoreFoundation)
                 (undefined) external _CFURLCreateCopyAppendingPathComponent (from CoreFoundation)
                 (undefined) external _CFURLGetFileSystemRepresentation (from CoreFoundation)
                 (undefined) external _NSAddressOfSymbol (from libSystem)
                 (undefined) external _NSCreateObjectFileImageFromMemory (from libSystem)
                 (undefined) external _NSDestroyObjectFileImage (from libSystem)
                 (undefined) external _NSLinkEditError (from libSystem)
                 (undefined) external _NSLinkModule (from libSystem)
                 (undefined) external _NSLookupSymbolInImage (from libSystem)
                 (undefined) external _NSLookupSymbolInModule (from libSystem)
                 (undefined) external _NSUnLinkModule (from libSystem)
                 (undefined) external _NXFindBestFatArch (from libSystem)
                 (undefined) external _NXGetLocalArchInfo (from libSystem)
000000021c1e1854 (__TEXT,__text) external _TclAddLiteralObj
000000021c1ec0e8 (__TEXT,__text) external _TclAllocateFreeObjects
000000021c212c08 (__TEXT,__text) external _TclBN_epoch
000000021c21e5ec (__TEXT,__text) external _TclBN_fast_s_mp_mul_digs
000000021c21e760 (__TEXT,__text) external _TclBN_fast_s_mp_sqr
000000021c21e910 (__TEXT,__text) external _TclBN_mp_add
000000021c21eac4 (__TEXT,__text) external _TclBN_mp_add_d
000000021c21e9d0 (__TEXT,__text) external _TclBN_mp_and
000000021c21ec54 (__TEXT,__text) external _TclBN_mp_clamp
000000021c21ec9c (__TEXT,__text) external _TclBN_mp_clear
000000021c21ecf8 (__TEXT,__text) external _TclBN_mp_clear_multi
000000021c21ed38 (__TEXT,__text) external _TclBN_mp_cmp
000000021c21ed78 (__TEXT,__text) external _TclBN_mp_cmp_d
000000021c21edb8 (__TEXT,__text) external _TclBN_mp_cmp_mag
000000021c21ee20 (__TEXT,__text) external _TclBN_mp_copy
000000021c21eee0 (__TEXT,__text) external _TclBN_mp_count_bits
000000021c21ef24 (__TEXT,__text) external _TclBN_mp_div
000000021c21f5dc (__TEXT,__text) external _TclBN_mp_div_2
000000021c21f6b4 (__TEXT,__text) external _TclBN_mp_div_2d
000000021c21f824 (__TEXT,__text) external _TclBN_mp_div_3
000000021c21f3ec (__TEXT,__text) external _TclBN_mp_div_d
000000021c21f954 (__TEXT,__text) external _TclBN_mp_exch
000000021c21f980 (__TEXT,__text) external _TclBN_mp_expt_d
000000021c21fa2c (__TEXT,__text) external _TclBN_mp_grow
000000021c21fab4 (__TEXT,__text) external _TclBN_mp_init
000000021c21fb08 (__TEXT,__text) external _TclBN_mp_init_copy
000000021c21fb58 (__TEXT,__text) external _TclBN_mp_init_multi
000000021c21fbe4 (__TEXT,__text) external _TclBN_mp_init_set
000000021c21fc2c (__TEXT,__text) external _TclBN_mp_init_size
000000021c21fca8 (__TEXT,__text) external _TclBN_mp_karatsuba_mul
000000021c21ffc8 (__TEXT,__text) external _TclBN_mp_karatsuba_sqr
000000021c220244 (__TEXT,__text) external _TclBN_mp_lshd
000000021c2202e0 (__TEXT,__text) external _TclBN_mp_mod
000000021c220390 (__TEXT,__text) external _TclBN_mp_mod_2d
000000021c220464 (__TEXT,__text) external _TclBN_mp_mul
000000021c220510 (__TEXT,__text) external _TclBN_mp_mul_2
000000021c2205f0 (__TEXT,__text) external _TclBN_mp_mul_2d
000000021c220700 (__TEXT,__text) external _TclBN_mp_mul_d
000000021c2207f0 (__TEXT,__text) external _TclBN_mp_neg
000000021c220848 (__TEXT,__text) external _TclBN_mp_or
000000021c220908 (__TEXT,__text) external _TclBN_mp_radix_size
000000021c220a28 (__TEXT,__text) external _TclBN_mp_read_radix
000000021c220b38 (__TEXT,__text) external _TclBN_mp_rshd
000000021c220b9c (__TEXT,__text) external _TclBN_mp_set
000000021c220bd8 (__TEXT,__text) external _TclBN_mp_shrink
000000021c220c3c (__TEXT,__text) external _TclBN_mp_sqr
000000021c220cc8 (__TEXT,__text) external _TclBN_mp_sqrt
000000021c220f4c (__TEXT,__text) external _TclBN_mp_sub
000000021c221008 (__TEXT,__text) external _TclBN_mp_sub_d
000000021c22114c (__TEXT,__text) external _TclBN_mp_to_unsigned_bin
000000021c2211f0 (__TEXT,__text) external _TclBN_mp_to_unsigned_bin_n
000000021c22126c (__TEXT,__text) external _TclBN_mp_toom_mul
000000021c221978 (__TEXT,__text) external _TclBN_mp_toom_sqr
000000021c221ec8 (__TEXT,__text) external _TclBN_mp_toradix_n
000000021c222018 (__TEXT,__text) external _TclBN_mp_unsigned_bin_size
000000021c222048 (__TEXT,__text) external _TclBN_mp_xor
000000021c222108 (__TEXT,__text) external _TclBN_mp_zero
000000021c21e5b4 (__TEXT,__text) external _TclBN_reverse
000000021c212c10 (__TEXT,__text) external _TclBN_revision
000000021c22213c (__TEXT,__text) external _TclBN_s_mp_add
000000021c222278 (__TEXT,__text) external _TclBN_s_mp_mul_digs
000000021c2223e8 (__TEXT,__text) external _TclBN_s_mp_sqr
000000021c222514 (__TEXT,__text) external _TclBN_s_mp_sub
000000021c1b8854 (__TEXT,__text) external _TclBackgroundException
000000021c206af8 (__TEXT,__text) external _TclCallVarTraces
000000021c1d3054 (__TEXT,__text) external _TclChannelEventScriptInvoker
000000021c1da2fc (__TEXT,__text) external _TclChannelTransform
000000021c205de8 (__TEXT,__text) external _TclCheckExecutionTraces
000000021c20652c (__TEXT,__text) external _TclCheckInterpTraces
000000021c1f3a14 (__TEXT,__text) external _TclCleanupChildren
000000021c17c490 (__TEXT,__text) external _TclCleanupCommand
000000021c20d334 (__TEXT,__text) external _TclCleanupVar
000000021c20a4a4 (__TEXT,__text) external _TclCopyAndCollapse
000000021c1d3490 (__TEXT,__text) external _TclCopyChannel
000000021c1f3d60 (__TEXT,__text) external _TclCreatePipeline
000000021c1f7850 (__TEXT,__text) external _TclCreateProc
000000021c1ec05c (__TEXT,__text) external _TclDbDumpActiveObjects
