00000001f0340c10 (__TEXT,__text) external _OSAtomicAdd32
00000001f0340c1c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001f0340c48 (__TEXT,__text) external _OSAtomicAdd64
00000001f0340c54 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001f0340c90 (__TEXT,__text) external _OSAtomicAnd32
00000001f0340ca0 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001f0340cb0 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001f0340cbc (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001f0340d18 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001f0340d2c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001f0340d90 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001f0340da4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001f0340d54 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001f0340d68 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001f033d790 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001f0340d7c (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001f0340d40 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001f033d5d4 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001f0340c38 (__TEXT,__text) external _OSAtomicDecrement32
00000001f033d30c (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001f0340c70 (__TEXT,__text) external _OSAtomicDecrement64
00000001f0340c80 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001f033d740 (__TEXT,__text) external _OSAtomicDequeue
00000001f033d588 (__TEXT,__text) external _OSAtomicEnqueue
00000001f0340c28 (__TEXT,__text) external _OSAtomicIncrement32
00000001f033d2b0 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001f033d484 (__TEXT,__text) external _OSAtomicIncrement64
00000001f0340c60 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001f0340cc8 (__TEXT,__text) external _OSAtomicOr32
00000001f0340cd4 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001f0340ce0 (__TEXT,__text) external _OSAtomicOr32Orig
00000001f0340ce8 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001f0340e40 (__TEXT,__text) external _OSAtomicTestAndClear
00000001f0340e84 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001f0340db8 (__TEXT,__text) external _OSAtomicTestAndSet
00000001f0340dfc (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001f0340cf0 (__TEXT,__text) external _OSAtomicXor32
00000001f0340cfc (__TEXT,__text) external _OSAtomicXor32Barrier
00000001f0340d08 (__TEXT,__text) external _OSAtomicXor32Orig
00000001f0340d10 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001f033d564 (__TEXT,__text) external _OSMemoryBarrier
00000001f033d708 (__TEXT,__text) external _OSSpinLockLock
00000001f0340468 (__TEXT,__text) external _OSSpinLockTry
00000001f033d690 (__TEXT,__text) external _OSSpinLockUnlock
00000001f0341668 (__TEXT,__const) non-external _UUID_NULL
00000001f0341678 (__TEXT,__const) non-external __0x
00000001f034177d (__TEXT,__cstring) non-external __H
00000001f0340ef0 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001f0340ec8 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001f0340328 (__TEXT,__text) external __OSSpinLockLockSlow
00000001f03403a0 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001f033bd20 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000002060490b0 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001f033c9b8 (__TEXT,__text) external ___libplatform_init
00000001f033e170 (__TEXT,__text) external ___os_log_simple_offset
00000001f03408f0 (__TEXT,__text) external ___os_once_reset
00000001f033d39c (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001f0341650 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001f0341618 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001f033d698 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001f033ea9c (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001f033f324 (__TEXT,__text) non-external __enlarge
00000001f0341048 (__TEXT,__text) non-external __enlarge.cold.1
00000001f033f278 (__TEXT,__text) non-external __flush
00000001f033ea70 (__TEXT,__text) non-external __flush_reset
00000001f034178e (__TEXT,__cstring) non-external __h
00000001f033ca68 (__TEXT,__text) external __longjmp
00000001f0340b00 (__TEXT,__text) non-external __os_alloc
00000001f0341254 (__TEXT,__text) non-external __os_alloc.cold.1
00000002060490a8 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001f033c560 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001f033d174 (__TEXT,__text) non-external __os_alloc_slow
00000001f0341070 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001f03404e0 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001f033d7b0 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001f0340504 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001f0340524 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001f034088c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001f03408b0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001f03408d0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001f03411bc (__TEXT,__text) non-external __os_lock_recursive_abort
00000001f0340498 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001f03404b8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001f03404d4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001f0341680 (__TEXT,__const) non-external __os_lock_type_base
0000000207421680 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000002074216a0 (__AUTH_CONST,__const) external __os_lock_type_handoff
