00007ff8027df886 (__TEXT,__text) external _NSAddImage
00007ff8027df850 (__TEXT,__text) external _NSAddLibrary
00007ff8027df86b (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff8027df5bd (__TEXT,__text) external _NSAddressOfSymbol
00007ff8027df63f (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8027df53a (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff8027df65d (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff8027df57b (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff8027df83c (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8027df6c8 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff8027df739 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff8027df772 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8027df754 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff8027df701 (__TEXT,__text) external _NSLibraryNameForModule
00007ff8027df818 (__TEXT,__text) external _NSLinkEditError
00007ff8027df55b (__TEXT,__text) external _NSLinkModule
00007ff8027df790 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8027df7ab (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8027df7c9 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff8027df59f (__TEXT,__text) external _NSLookupSymbolInModule
00007ff8027df7fd (__TEXT,__text) external _NSModuleForSymbol
00007ff8027df6e6 (__TEXT,__text) external _NSNameOfModule
00007ff8027df7e9 (__TEXT,__text) external _NSNameOfSymbol
00007ff8027df678 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff8027df68c (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8027df6a0 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff8027df6b4 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8027df71c (__TEXT,__text) external _NSUnLinkModule
00007ff8027def94 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff8027df016 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff843657e20 (__DATA_DIRTY,__common) external _NXArgc
00007ff843657e28 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff8027dedce (__TEXT,__text) external __NSGetExecutablePath
00007ff8027e0eb1 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff8027e4442 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN6mach_o8PlatformERKNS_19GradedArchitecturesES3_bU13block_pointerFvPK11mach_headerymE
00007ff8027e50ae (__TEXT,__text) non-external (was a private external) __Z32dyldFrameworkIntrospectionVtablev
00007ff802806aa1 (__TEXT,__text) non-external __Z32dyldFrameworkIntrospectionVtablev.cold.1
00007ff8027df608 (__TEXT,__text) non-external (was a private external) __Z43_dyld_make_delayed_module_initializer_callsv
00007ff843863ab0 (__DATA,__bss) non-external __ZL18sCrashReporterInfo
00007ff8027e500c (__TEXT,__text) non-external __ZL22exportSymbolAttrStringRKN6mach_o6SymbolE
00007ff8027e4b2a (__TEXT,__text) non-external __ZL22iterateExportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_PbE
00007ff8027e4952 (__TEXT,__text) non-external __ZL22iterateImportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_bPbE
00007ff8027e4df0 (__TEXT,__text) non-external __ZL7hasFilePKc
00007ff84005b798 (__DATA_CONST,__helper) non-external __ZL8sHelpers
00007ff8027e1217 (__TEXT,__text) non-external __ZL9checkPathPKcyj
00007ff8027deca6 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff8027e664e (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff802806ba3 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
00007ff802806bc6 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
00007ff802806be9 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
00007ff802806c0c (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
00007ff8027e653a (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00007ff802806b17 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
00007ff802806b3a (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00007ff802806b5d (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00007ff802806b80 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
00007ff8027df2be (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff8027e652e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
00007ff8027deca6 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff8027e0dba (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff8027e0d38 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff8027e0d24 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff8027e0e9c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff8027e8287 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff8027e6a5a (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff8027e6ff4 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff8027e756e (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBuffer4dataEv
00007ff8027e74fe (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferC1EjyyPi
00007ff8027e7548 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferD1Ev
00007ff8027e15be (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
