000000021ec63a00 (__TEXT,__text) non-external _Done_iODBC
000000021ec829f0 (__TEXT,__const) non-external _FunctionNumbers
000000021ec8180c (__TEXT,__text) non-external _GetPrivateProfileString
000000021ec6387c (__TEXT,__text) non-external _Init_iODBC
000000022f50622c (__DATA,__common) non-external _ODBCSharedTraceFlag
000000021ec61f6c (__TEXT,__text) external _SQLAllocConnect
000000021ec61e7c (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000021ec637ec (__TEXT,__text) external _SQLAllocEnv
000000021ec63648 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000021ec6d7b4 (__TEXT,__text) external _SQLAllocHandle
000000021ec6d8cc (__TEXT,__text) non-external _SQLAllocHandleStd
000000021ec6d514 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000021ec6648c (__TEXT,__text) external _SQLAllocStmt
000000021ec65fe4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000021ec6b454 (__TEXT,__text) external _SQLBindCol
000000021ec734f0 (__TEXT,__text) external _SQLBindParam
000000021ec6a8fc (__TEXT,__text) external _SQLBindParameter
000000021ec5ec48 (__TEXT,__text) external _SQLBrowseConnect
000000021ec5ed90 (__TEXT,__text) external _SQLBrowseConnectA
000000021ec5eed8 (__TEXT,__text) external _SQLBrowseConnectW
000000021ec5e710 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000021ec73004 (__TEXT,__text) external _SQLBulkOperations
000000021ec673b4 (__TEXT,__text) external _SQLCancel
000000021ec73534 (__TEXT,__text) external _SQLCloseCursor
000000021ec72a48 (__TEXT,__text) external _SQLColAttribute
000000021ec72bf0 (__TEXT,__text) external _SQLColAttributeA
000000021ec72d98 (__TEXT,__text) external _SQLColAttributeW
000000021ec72370 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000021ec6d01c (__TEXT,__text) external _SQLColAttributes
000000021ec6d1c4 (__TEXT,__text) external _SQLColAttributesA
000000021ec6d36c (__TEXT,__text) external _SQLColAttributesW
000000021ec6cb80 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000021ec57b94 (__TEXT,__text) external _SQLColumnPrivileges
000000021ec57d78 (__TEXT,__text) external _SQLColumnPrivilegesA
000000021ec57f5c (__TEXT,__text) external _SQLColumnPrivilegesW
000000021ec57904 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000021ec583d0 (__TEXT,__text) external _SQLColumns
000000021ec585b4 (__TEXT,__text) external _SQLColumnsA
000000021ec58798 (__TEXT,__text) external _SQLColumnsW
000000021ec58140 (__TEXT,__text) non-external _SQLColumns_Internal
000000021ec5c054 (__TEXT,__text) external _SQLConnect
000000021ec5c7f4 (__TEXT,__text) external _SQLConnectA
000000021ec5c954 (__TEXT,__text) external _SQLConnectW
000000021ec5c1b4 (__TEXT,__text) non-external _SQLConnect_Internal
000000021ec8247c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000021ec721f4 (__TEXT,__text) external _SQLCopyDesc
000000021ec67ec4 (__TEXT,__text) external _SQLDataSources
000000021ec6800c (__TEXT,__text) external _SQLDataSourcesA
000000021ec68154 (__TEXT,__text) external _SQLDataSourcesW
000000021ec67a68 (__TEXT,__text) non-external _SQLDataSources_Internal
000000022f5061b0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000022f5061d0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000022f5061d8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000021ec6c5a4 (__TEXT,__text) external _SQLDescribeCol
000000021ec6c798 (__TEXT,__text) external _SQLDescribeColA
000000021ec6c98c (__TEXT,__text) external _SQLDescribeColW
000000021ec6c2f4 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000021ec60d30 (__TEXT,__text) external _SQLDescribeParam
000000021ec5f020 (__TEXT,__text) external _SQLDisconnect
000000021ec5e29c (__TEXT,__text) external _SQLDriverConnect
000000021ec5e418 (__TEXT,__text) external _SQLDriverConnectA
000000021ec5e594 (__TEXT,__text) external _SQLDriverConnectW
000000021ec5cab4 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000021ec824a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000021ec824d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000021ec68758 (__TEXT,__text) external _SQLDrivers
000000021ec688a0 (__TEXT,__text) external _SQLDriversA
000000021ec689e8 (__TEXT,__text) external _SQLDriversW
000000021ec68374 (__TEXT,__text) non-external _SQLDrivers_Internal
000000022f5061b4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000022f5061e0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000022f5061e8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000021ec72f40 (__TEXT,__text) external _SQLEndTran
000000021ec6417c (__TEXT,__text) external _SQLError
000000021ec642a4 (__TEXT,__text) external _SQLErrorA
000000021ec643cc (__TEXT,__text) external _SQLErrorW
000000021ec60238 (__TEXT,__text) external _SQLExecDirect
000000021ec60388 (__TEXT,__text) external _SQLExecDirectA
000000021ec604d8 (__TEXT,__text) external _SQLExecDirectW
000000021ec5ffe0 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000021ec5fd18 (__TEXT,__text) external _SQLExecute
000000021ec6141c (__TEXT,__text) external _SQLExtendedFetch
000000021ec61164 (__TEXT,__text) external _SQLFetch
000000021ec731f0 (__TEXT,__text) external _SQLFetchScroll
000000021ec60fac (__TEXT,__text) non-external _SQLFetch_Internal
000000021ec58ccc (__TEXT,__text) external _SQLForeignKeys
000000021ec58f88 (__TEXT,__text) external _SQLForeignKeysA
000000021ec59244 (__TEXT,__text) external _SQLForeignKeysW
000000021ec5897c (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000021ec620d8 (__TEXT,__text) external _SQLFreeConnect
000000021ec62030 (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000021ec63954 (__TEXT,__text) external _SQLFreeEnv
000000021ec638c8 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000021ec6d9e4 (__TEXT,__text) external _SQLFreeHandle
000000021ec668d4 (__TEXT,__text) external _SQLFreeStmt
000000021ec666cc (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000021ec7f030 (__TEXT,__text) non-external _SQLGetConfigMode
000000021ec70320 (__TEXT,__text) external _SQLGetConnectAttr
000000021ec707d0 (__TEXT,__text) external _SQLGetConnectAttrA
000000021ec70924 (__TEXT,__text) external _SQLGetConnectAttrW
000000021ec70474 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000021ec62f04 (__TEXT,__text) external _SQLGetConnectOption
000000021ec63030 (__TEXT,__text) external _SQLGetConnectOptionA
000000021ec6315c (__TEXT,__text) external _SQLGetConnectOptionW
000000021ec6b9c4 (__TEXT,__text) external _SQLGetCursorName
