00007ffd419ee408 (__DATA,__bss) non-external _A
00007ffd419ee1d0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffd419ee058 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffd419ee050 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffd419ee054 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffd419ee410 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffd419ee418 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffd419ee420 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffd419ee41c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffd419ee3c0 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffd04ab3b60 (__TEXT,__const) non-external _HREF_SAFE
00007ffd04ab1f00 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffd04ab3a60 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffd04aa805e (__TEXT,__text) non-external _S_advance_offset
00007ffd04a99811 (__TEXT,__text) non-external _S_blankline
00007ffd04aa8aa5 (__TEXT,__text) non-external _S_can_contain
00007ffd04a997fe (__TEXT,__text) non-external _S_cr
00007ffd04aa8105 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffd04a9b7a8 (__TEXT,__text) non-external _S_get_enumlevel
00007ffd04aa89f1 (__TEXT,__text) non-external _S_node_unlink
00007ffd04a99824 (__TEXT,__text) non-external _S_out
00007ffd04a97d56 (__TEXT,__text) non-external _S_outc
00007ffd04aa6642 (__TEXT,__text) non-external _S_parser_feed
00007ffd04ab3a40 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffd04aa9eb2 (__TEXT,__text) non-external _S_print_error
00007ffd04aa6d7d (__TEXT,__text) non-external _S_process_line
00007ffd04ab1419 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffd04ab143a (__TEXT,__text) non-external _S_process_line.cold.2
00007ffd04ab145b (__TEXT,__text) non-external _S_process_line.cold.3
00007ffd04ab147e (__TEXT,__text) non-external _S_process_line.cold.4
00007ffd04ab14a1 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffd04a97650 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffd04a95828 (__TEXT,__text) non-external _S_render_node
00007ffd04a97e40 (__TEXT,__text) non-external _S_render_node
00007ffd04a9b0f8 (__TEXT,__text) non-external _S_render_node
00007ffd04aae90f (__TEXT,__text) non-external _S_render_node
00007ffd04ab11bc (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd04ab1250 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd04ab12fd (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd04ab1c04 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd04aa86d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd04aa86f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd04a99bbd (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffd04a9b9b8 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffd04aa4244 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffd04ab3540 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffd04a9cd7d (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffd04ab2640 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffd04a9c357 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffd04ab2540 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffd04aa47e0 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffd04ab3840 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffd04aa526a (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffd04aa48ff (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffd04aa5575 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffd04ab3940 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffd04aa23ac (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffd04ab2e40 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffd04aa2eb6 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffd04ab2f40 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffd04aa3278 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffd04ab3040 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffd04aa35d3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffd04ab3140 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffd04aa3859 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffd04ab3240 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffd04aa08de (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffd04aa1dbc (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffd04ab2d40 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffd04aa069f (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffd04ab2c40 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffd04aa01f8 (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffd04ab2940 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffd04aa05a8 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffd04ab2b40 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffd04aa034d (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffd04ab2a40 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffd04a9f9af (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffd04ab2740 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffd04a9ff7f (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffd04ab2840 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffd04aa3c1b (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffd04ab3340 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffd04aa44a8 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffd04ab3740 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffd04a9ba00 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffd04aa435b (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffd04ab3640 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffd04aa421c (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffd04ab3440 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffd04a99e01 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffd04ab2200 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffd04a9a068 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffd04a9a08c (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffd04ab2300 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffd04a99bfc (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffd04ab2100 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffd04a9a113 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffd04ab2400 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffd04aa7f39 (__TEXT,__text) non-external _add_child
00007ffd04ab14c4 (__TEXT,__text) non-external _add_child.cold.1
00007ffd04aa863a (__TEXT,__text) non-external _add_line
00007ffd04ab152d (__TEXT,__text) non-external _add_line.cold.1
00007ffd04aadb73 (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffd04ab0d8f (__TEXT,__text) non-external _alloc_arena_chunk
00007ffd04ab0ed9 (__TEXT,__text) non-external _arena_calloc
00007ffd04ab0fe8 (__TEXT,__text) non-external _arena_free
00007ffd419ee3c8 (__DATA,__bss) non-external _arena_lock
00007ffd419ee1c0 (__DATA,__data) non-external _arena_once
00007ffd04ab0fa0 (__TEXT,__text) non-external _arena_realloc
00007ffd04a9924a (__TEXT,__text) non-external _autolink_delim
00007ffd403f8460 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
00007ffd04a97b1c (__TEXT,__text) non-external _can_contain
00007ffd04a9a58a (__TEXT,__text) non-external _can_contain
00007ffd04aaf94e (__TEXT,__text) non-external _can_contain
00007ffd04a99141 (__TEXT,__text) non-external _check_domain
00007ffd04aadea3 (__TEXT,__text) non-external _chunk_clone
00007ffd04ab0df5 (__TEXT,__text) external _cmark_arena_pop
00007ffd04ab0d3e (__TEXT,__text) external _cmark_arena_push
00007ffd04ab0e73 (__TEXT,__text) external _cmark_arena_reset
00007ffd04aaee30 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffd04aaa0ad (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffd04aaa020 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffd04aa9f4d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffd04ab159d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffd04ab15be (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffd04a9a9f0 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffd04ab2000 (__TEXT,__const) non-external _cmark_ctype_class
00007ffd04aa871c (__TEXT,__text) external _cmark_enable_safety_checks
00007ffd403eff90 (__DATA_CONST,__const) non-external _cmark_entities
00007ffd04a9955e (__TEXT,__text) external _cmark_find_syntax_extension
