00007ffa0dffefba (__TEXT,__text) non-external +[NFPromise new]
00007ffa0e0004ad (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa0e0002d1 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa0e0002ae (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa0e00028b (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa0e0001c1 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa0e00023e (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa0e0001ee (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa0e0015d3 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa0dffd1b1 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa0dffe892 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa0dffe91e (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa0dffe9ac (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa0dffea55 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa0e0006e8 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa0e000664 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa0e00381d (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa0dffce40 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa0dffd04a (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa0dffccdb (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa0dffc594 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa0dffccc7 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa0dffbdad (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa0e003a21 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa0dffca53 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa0dffc778 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa0dffbd38 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa0dffbff7 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa0e003be3 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa0dffc3f6 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa0e003e86 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa0dffc329 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa0e003da5 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa0dffbe58 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa0e003b02 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa0dffc18d (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa0e003cc4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa0dffccd1 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa0dffce0d (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa0dffcdef (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa0dffcde5 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa0dffce03 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa0dffcdf9 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa0dffcd03 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa0dffcddb (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa0dffe85f (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa0dffe84b (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa0dffe645 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa0dffe855 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa0dffe7bf (__TEXT,__text) non-external -[NFLazy reset]
