00007ff941a15558 (__DATA_CONST,__const) external _FTCServiceAvailabilityAvailabilityKey
00007ff941a15550 (__DATA_CONST,__const) external _FTCServiceAvailabilityDidChangeNotification
00007ff941a15560 (__DATA_CONST,__const) external _FTCServiceAvailabilityServiceTypeKey
00007ff941a15540 (__DATA_CONST,__const) external _FTCServiceNameCalling
00007ff941a15528 (__DATA_CONST,__const) external _FTCServiceNameFaceTime
00007ff9119ce091 (__TEXT,__text) external _FTCServiceNameForServiceType
00007ff941a15530 (__DATA_CONST,__const) external _FTCServiceNameMadrid
00007ff941a15538 (__DATA_CONST,__const) external _FTCServiceNameiMessage
00007ff9119ce0c8 (__TEXT,__text) external _FTCServiceTypeForServiceName
                 (undefined) external _IMDispatchForNotify (from IMFoundation)
                 (undefined) external _IMUserScopedNotification (from IMFoundation)
                 (undefined) external _MarcoLogRegistration (from Marco)
                 (undefined) external _MarcoShouldLogRegistration (from Marco)
                 (undefined) external _OBJC_CLASS_$_CUTWeakReference (from CommonUtilities)
00007ff943089680 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FTCServiceAvailabilityCenter
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ff9430896a8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FTCServiceAvailabilityCenter
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OSLogHandleForRegistrationCategory (from IMFoundation)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _im_dispatch_after_primary_queue (from IMFoundation)
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_get_state (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic (from libobjc)
                 (undefined) external _os_log_shim_legacy_logging_enabled (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
