00007ff8036dda70 (__TEXT,__text) external _APL_dgemm
00007ff8036c0c70 (__TEXT,__text) external _APL_dgemm_LU
00007ff8036ebf53 (__TEXT,__text) external _APL_dgemm_QR
00007ff8036082b2 (__TEXT,__text) external _APL_dsyrk
00007ff8036533b5 (__TEXT,__text) external _APL_dtrsm
00007ff80367b7c0 (__TEXT,__text) external _APL_sgemm
00007ff803652ab0 (__TEXT,__text) external _APL_sgemm_LU
00007ff803653050 (__TEXT,__text) external _APL_sgemm_QR
00007ff80360a340 (__TEXT,__text) external _APL_ssyrk
00007ff8036263b0 (__TEXT,__text) external _APL_strsm
00007ff803626a86 (__TEXT,__text) external _APPLE_NTHREADS
00007ff803799331 (__TEXT,__text) external _ATLU_DestroyThreadMemory
00007ff803745748 (__TEXT,__text) external _BLASGetThreading
00007ff803745729 (__TEXT,__text) external _BLASSetThreading
00007ff8036ee004 (__TEXT,__text) external _BLASStateRelease
00007ff8036edff9 (__TEXT,__text) external _BLASStateRetain
00007ff80360423c (__TEXT,__text) external _CAXPY
00007ff80360423c (__TEXT,__text) external _CAXPY_
00007ff803604250 (__TEXT,__text) external _CCOPY
00007ff803604250 (__TEXT,__text) external _CCOPY_
00007ff803604264 (__TEXT,__text) external _CDOTC
00007ff803604264 (__TEXT,__text) external _CDOTC_
00007ff803604286 (__TEXT,__text) external _CDOTU
00007ff803604286 (__TEXT,__text) external _CDOTU_
00007ff803602a5e (__TEXT,__text) external _CGBMV
00007ff803602a5e (__TEXT,__text) external _CGBMV_
00007ff80360004b (__TEXT,__text) external _CGEMM
00007ff80360004b (__TEXT,__text) external _CGEMM_
00007ff80360299c (__TEXT,__text) external _CGEMV
00007ff80360299c (__TEXT,__text) external _CGEMV_
00007ff80360337b (__TEXT,__text) external _CGERC
00007ff80360337b (__TEXT,__text) external _CGERC_
00007ff8036033c2 (__TEXT,__text) external _CGERU
00007ff8036033c2 (__TEXT,__text) external _CGERU_
00007ff803602bcc (__TEXT,__text) external _CHBMV
00007ff803602bcc (__TEXT,__text) external _CHBMV_
00007ff803600170 (__TEXT,__text) external _CHEMM
00007ff803600170 (__TEXT,__text) external _CHEMM_
00007ff803602b39 (__TEXT,__text) external _CHEMV
00007ff803602b39 (__TEXT,__text) external _CHEMV_
00007ff803603409 (__TEXT,__text) external _CHER
00007ff803603479 (__TEXT,__text) external _CHER2
00007ff8036007b5 (__TEXT,__text) external _CHER2K
00007ff8036007b5 (__TEXT,__text) external _CHER2K_
00007ff803603479 (__TEXT,__text) external _CHER2_
00007ff8036005ce (__TEXT,__text) external _CHERK
00007ff8036005ce (__TEXT,__text) external _CHERK_
00007ff803603409 (__TEXT,__text) external _CHER_
00007ff803602c63 (__TEXT,__text) external _CHPMV
00007ff803602c63 (__TEXT,__text) external _CHPMV_
00007ff803603505 (__TEXT,__text) external _CHPR
00007ff80360356c (__TEXT,__text) external _CHPR2
00007ff80360356c (__TEXT,__text) external _CHPR2_
00007ff803603505 (__TEXT,__text) external _CHPR_
00007ff8036042a8 (__TEXT,__text) external _CROTG
00007ff8036042a8 (__TEXT,__text) external _CROTG_
00007ff8036042b5 (__TEXT,__text) external _CSCAL
00007ff8036042b5 (__TEXT,__text) external _CSCAL_
00007ff8036042c6 (__TEXT,__text) external _CSROT
00007ff8036042c6 (__TEXT,__text) external _CSROT_
00007ff8036042e7 (__TEXT,__text) external _CSSCAL
00007ff8036042e7 (__TEXT,__text) external _CSSCAL_
00007ff803604301 (__TEXT,__text) external _CSWAP
00007ff803604301 (__TEXT,__text) external _CSWAP_
00007ff803600244 (__TEXT,__text) external _CSYMM
00007ff803600244 (__TEXT,__text) external _CSYMM_
00007ff8036008b8 (__TEXT,__text) external _CSYR2K
00007ff8036008b8 (__TEXT,__text) external _CSYR2K_
00007ff8036006c4 (__TEXT,__text) external _CSYRK
00007ff8036006c4 (__TEXT,__text) external _CSYRK_
00007ff803602e02 (__TEXT,__text) external _CTBMV
00007ff803602e02 (__TEXT,__text) external _CTBMV_
00007ff80360314e (__TEXT,__text) external _CTBSV
00007ff80360314e (__TEXT,__text) external _CTBSV_
00007ff803602f23 (__TEXT,__text) external _CTPMV
00007ff803602f23 (__TEXT,__text) external _CTPMV_
00007ff80360326f (__TEXT,__text) external _CTPSV
00007ff80360326f (__TEXT,__text) external _CTPSV_
00007ff803600318 (__TEXT,__text) external _CTRMM
00007ff803600318 (__TEXT,__text) external _CTRMM_
00007ff803602ce3 (__TEXT,__text) external _CTRMV
00007ff803602ce3 (__TEXT,__text) external _CTRMV_
00007ff803600473 (__TEXT,__text) external _CTRSM
00007ff803600473 (__TEXT,__text) external _CTRSM_
00007ff80360302f (__TEXT,__text) external _CTRSV
00007ff80360302f (__TEXT,__text) external _CTRSV_
00007ff803604356 (__TEXT,__text) external _DASUM
00007ff803604356 (__TEXT,__text) external _DASUM_
00007ff803604364 (__TEXT,__text) external _DAXPY
00007ff803604364 (__TEXT,__text) external _DAXPY_
00007ff8035ff346 (__TEXT,__text) external _DCABS1
00007ff8035ff346 (__TEXT,__text) external _DCABS1_
00007ff803604387 (__TEXT,__text) external _DCOPY
00007ff803604387 (__TEXT,__text) external _DCOPY_
00007ff80360439b (__TEXT,__text) external _DDOT
00007ff80360439b (__TEXT,__text) external _DDOT_
00007ff803601f06 (__TEXT,__text) external _DGBMV
00007ff803601f06 (__TEXT,__text) external _DGBMV_
00007ff8035ffa02 (__TEXT,__text) external _DGEMM
00007ff8035ffa02 (__TEXT,__text) external _DGEMM_
00007ff803601e65 (__TEXT,__text) external _DGEMV
00007ff803601e65 (__TEXT,__text) external _DGEMV_
00007ff803602788 (__TEXT,__text) external _DGER
00007ff803602788 (__TEXT,__text) external _DGER_
00007ff8036043ac (__TEXT,__text) external _DNRM2
00007ff8036043ac (__TEXT,__text) external _DNRM2_
00007ff8036043ba (__TEXT,__text) external _DROT
00007ff8036043db (__TEXT,__text) external _DROTG
00007ff8036043db (__TEXT,__text) external _DROTG_
00007ff8036043e8 (__TEXT,__text) external _DROTM
00007ff8036043fc (__TEXT,__text) external _DROTMG
00007ff8036043fc (__TEXT,__text) external _DROTMG_
00007ff8036043e8 (__TEXT,__text) external _DROTM_
00007ff8036043ba (__TEXT,__text) external _DROT_
00007ff80360205d (__TEXT,__text) external _DSBMV
00007ff80360205d (__TEXT,__text) external _DSBMV_
00007ff803604410 (__TEXT,__text) external _DSCAL
00007ff803604410 (__TEXT,__text) external _DSCAL_
00007ff803604459 (__TEXT,__text) external _DSDOT
00007ff803604459 (__TEXT,__text) external _DSDOT_
00007ff8036020f2 (__TEXT,__text) external _DSPMV
00007ff8036020f2 (__TEXT,__text) external _DSPMV_
00007ff8036028be (__TEXT,__text) external _DSPR
00007ff803602925 (__TEXT,__text) external _DSPR2
00007ff803602925 (__TEXT,__text) external _DSPR2_
00007ff8036028be (__TEXT,__text) external _DSPR_
00007ff80360442a (__TEXT,__text) external _DSWAP
00007ff80360442a (__TEXT,__text) external _DSWAP_
00007ff8035ffb12 (__TEXT,__text) external _DSYMM
00007ff8035ffb12 (__TEXT,__text) external _DSYMM_
00007ff803601fd3 (__TEXT,__text) external _DSYMV
00007ff803601fd3 (__TEXT,__text) external _DSYMV_
00007ff8036027cd (__TEXT,__text) external _DSYR
00007ff80360283d (__TEXT,__text) external _DSYR2
00007ff8035fff61 (__TEXT,__text) external _DSYR2K
00007ff8035fff61 (__TEXT,__text) external _DSYR2K_
00007ff80360283d (__TEXT,__text) external _DSYR2_
00007ff8035ffe84 (__TEXT,__text) external _DSYRK
00007ff8035ffe84 (__TEXT,__text) external _DSYRK_
00007ff8036027cd (__TEXT,__text) external _DSYR_
00007ff80360227b (__TEXT,__text) external _DTBMV
00007ff80360227b (__TEXT,__text) external _DTBMV_
00007ff803602586 (__TEXT,__text) external _DTBSV
00007ff803602586 (__TEXT,__text) external _DTBSV_
00007ff803602387 (__TEXT,__text) external _DTPMV
00007ff803602387 (__TEXT,__text) external _DTPMV_
00007ff803602692 (__TEXT,__text) external _DTPSV
00007ff803602692 (__TEXT,__text) external _DTPSV_
00007ff8035ffbe8 (__TEXT,__text) external _DTRMM
00007ff8035ffbe8 (__TEXT,__text) external _DTRMM_
00007ff803602172 (__TEXT,__text) external _DTRMV
00007ff803602172 (__TEXT,__text) external _DTRMV_
00007ff8035ffd36 (__TEXT,__text) external _DTRSM
00007ff8035ffd36 (__TEXT,__text) external _DTRSM_
00007ff80360247d (__TEXT,__text) external _DTRSV
00007ff80360247d (__TEXT,__text) external _DTRSV_
00007ff8036045a1 (__TEXT,__text) external _DZASUM
00007ff8036045a1 (__TEXT,__text) external _DZASUM_
00007ff8036045af (__TEXT,__text) external _DZNRM2
00007ff8036045af (__TEXT,__text) external _DZNRM2_
00007ff803604315 (__TEXT,__text) external _ICAMAX
00007ff803604315 (__TEXT,__text) external _ICAMAX_
00007ff80360443e (__TEXT,__text) external _IDAMAX
00007ff80360443e (__TEXT,__text) external _IDAMAX_
00007ff80360446a (__TEXT,__text) external _ISAMAX
00007ff80360446a (__TEXT,__text) external _ISAMAX_
00007ff8036045bd (__TEXT,__text) external _IZAMAX
00007ff8036045bd (__TEXT,__text) external _IZAMAX_
00007ff803604485 (__TEXT,__text) external _SASUM
00007ff803604485 (__TEXT,__text) external _SASUM_
00007ff803604498 (__TEXT,__text) external _SAXPY
00007ff803604498 (__TEXT,__text) external _SAXPY_
00007ff803604330 (__TEXT,__text) external _SCASUM
