                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80baf4c1f (__TEXT,__text) non-external _au_assemble
00007ff80baf6107 (__TEXT,__text) external _au_bsm_to_domain
00007ff80bafff00 (__TEXT,__text) external _au_bsm_to_errno
00007ff80bafffae (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80bafc343 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80baf4e7d (__TEXT,__text) external _au_close
00007ff80baf4f29 (__TEXT,__text) external _au_close_buffer
00007ff80baf4fea (__TEXT,__text) external _au_close_token
00007ff80baf4b56 (__TEXT,__text) external _au_close_with_errors
00007ff84265bac4 (__DATA,__bss) non-external _au_cond
00007ff80baf60dc (__TEXT,__text) external _au_domain_to_bsm
00007ff80baffed2 (__TEXT,__text) external _au_errno_to_bsm
00007ff80bafff83 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80baf310b (__TEXT,__text) external _au_fetch_tok
00007ff80baf496d (__TEXT,__text) external _au_free_token
00007ff80bafc242 (__TEXT,__text) external _au_get_state
00007ff80bafc1aa (__TEXT,__text) external _au_notify_initialize
00007ff80bafc22d (__TEXT,__text) external _au_notify_terminate
00007ff80baf4997 (__TEXT,__text) external _au_open
00007ff84265a6d0 (__DATA,__const) non-external _au_polstr
00007ff80baf547c (__TEXT,__text) external _au_poltostr
00007ff80bafbfc4 (__TEXT,__text) external _au_preselect
00007ff80baf6a58 (__TEXT,__text) external _au_print_flags_tok
00007ff80bafb25c (__TEXT,__text) external _au_print_tok
00007ff80bafb276 (__TEXT,__text) external _au_print_tok_xml
00007ff80baf6a39 (__TEXT,__text) external _au_print_xml_footer
00007ff80baf69f8 (__TEXT,__text) external _au_print_xml_header
00007ff80bafb295 (__TEXT,__text) external _au_read_rec
00007ff80baffe92 (__TEXT,__text) external _au_sdev_close
00007ff80baffec5 (__TEXT,__text) external _au_sdev_fd
00007ff80baf2caa (__TEXT,__text) external _au_sdev_open
00007ff80baf2d7e (__TEXT,__text) external _au_sdev_read_aia
00007ff84265a7c0 (__DATA,__const) non-external _au_sflagsstr
00007ff80baf55e4 (__TEXT,__text) external _au_sflagstostr
00007ff80bafc318 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80baf5b50 (__TEXT,__text) non-external _au_spacetobytes
00007ff80bafff3f (__TEXT,__text) external _au_strerror
00007ff80baf551d (__TEXT,__text) external _au_strtopol
00007ff80baf5682 (__TEXT,__text) external _au_strtosflags
00007ff80baf4dd1 (__TEXT,__text) non-external _au_teardown
00007ff80bafc51c (__TEXT,__text) external _au_to_arg
00007ff80bafc34e (__TEXT,__text) external _au_to_arg32
00007ff80bafc41f (__TEXT,__text) external _au_to_arg64
00007ff80bafe03d (__TEXT,__text) external _au_to_certificate_hash
00007ff80bafc526 (__TEXT,__text) external _au_to_data
00007ff80bafdf08 (__TEXT,__text) external _au_to_exec_args
00007ff80bafe02e (__TEXT,__text) external _au_to_exec_env
00007ff80bafc5fe (__TEXT,__text) external _au_to_exit
00007ff80bafca52 (__TEXT,__text) external _au_to_file
00007ff80bafc68d (__TEXT,__text) external _au_to_groups
00007ff80bafe6d3 (__TEXT,__text) external _au_to_header
00007ff80bafe62d (__TEXT,__text) external _au_to_header32
00007ff80bafe59a (__TEXT,__text) external _au_to_header32_ex
00007ff80bafe32b (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80bafe23c (__TEXT,__text) external _au_to_header32_tm
00007ff80bafe680 (__TEXT,__text) external _au_to_header64
00007ff80bafe47a (__TEXT,__text) external _au_to_header64_tm
00007ff80bafe6dd (__TEXT,__text) external _au_to_header_ex
00007ff80bafe0f5 (__TEXT,__text) external _au_to_identity
00007ff80bafc739 (__TEXT,__text) external _au_to_in_addr
00007ff80bafc78c (__TEXT,__text) external _au_to_in_addr_ex
00007ff80bafc7e8 (__TEXT,__text) external _au_to_ip
00007ff80bafc844 (__TEXT,__text) external _au_to_ipc
00007ff80bafc8bc (__TEXT,__text) external _au_to_ipc_perm
00007ff80bafc96c (__TEXT,__text) external _au_to_iport
00007ff80bafe755 (__TEXT,__text) external _au_to_kevent
00007ff80bafe04c (__TEXT,__text) external _au_to_krb5_principal
00007ff80bafde7c (__TEXT,__text) external _au_to_me
00007ff80bafc69f (__TEXT,__text) external _au_to_newgroups
00007ff80bafc9c2 (__TEXT,__text) external _au_to_opaque
00007ff80bafcbe4 (__TEXT,__text) external _au_to_path
00007ff80bafcf32 (__TEXT,__text) external _au_to_process
00007ff80bafcc7e (__TEXT,__text) external _au_to_process32
00007ff80bafcf3c (__TEXT,__text) external _au_to_process32_ex
00007ff80bafcdb8 (__TEXT,__text) external _au_to_process64
00007ff80bafd130 (__TEXT,__text) external _au_to_process64_ex
00007ff80bafd345 (__TEXT,__text) external _au_to_process_ex
00007ff80bafd468 (__TEXT,__text) external _au_to_return
00007ff80bafd34f (__TEXT,__text) external _au_to_return32
00007ff80bafd3c7 (__TEXT,__text) external _au_to_return64
00007ff80bafd472 (__TEXT,__text) external _au_to_seq
00007ff80bafd7ad (__TEXT,__text) external _au_to_sock_inet
00007ff80bafd741 (__TEXT,__text) external _au_to_sock_inet128
00007ff80bafd6d9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80bafd639 (__TEXT,__text) external _au_to_sock_unix
00007ff80bafd4dc (__TEXT,__text) external _au_to_socket_ex
00007ff80bafdf17 (__TEXT,__text) non-external _au_to_strings
00007ff80bafda6b (__TEXT,__text) external _au_to_subject
00007ff80bafd7b7 (__TEXT,__text) external _au_to_subject32
00007ff80bafda75 (__TEXT,__text) external _au_to_subject32_ex
00007ff80bafd8f1 (__TEXT,__text) external _au_to_subject64
00007ff80bafdc63 (__TEXT,__text) external _au_to_subject64_ex
00007ff80bafde72 (__TEXT,__text) external _au_to_subject_ex
00007ff80bafcb4a (__TEXT,__text) external _au_to_text
00007ff80bafe6e7 (__TEXT,__text) external _au_to_trailer
00007ff80bafe05b (__TEXT,__text) external _au_to_zonename
