000000018ce94500 (__TEXT,__text) non-external _Annihilate
000000018ced1dcc (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
000000018ced1e5c (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
000000018ced1e14 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
000000018ced2c70 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018ced3254 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018ced1ea4 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018ce94274 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018ceb33f4 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018ce87e8c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018ce949c4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018ce88064 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018ced093c (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018ced11d4 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018ce882bc (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018ce9b2c0 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018ceaa114 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018ceaacd8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018cea9550 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018cea9870 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018ceaa434 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018cea8cac (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018ce8ef8c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018ce903d4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018ce91660 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018ce928ec (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018ce8f148 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018cec86c8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018cec9a30 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018ceca278 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018cecaac0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018cecb308 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018cecbb50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018cecc398 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018ceccbe0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018cecd528 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018cec89a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018cec91e8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018cea42cc (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018ceba8ac (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018ceaf0cc (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018cea38d4 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018ceaef6c (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018ce99a30 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018ce99b50 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018ce99c6c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018ce99af0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018ce9dbb8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018ce9dbb0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018ce9da60 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018ce9fdf8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018ce9db64 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018ce9db44 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018ce999dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018ce9fdb4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018ce9fd34 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018ce9fc04 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018ce9fce8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018ce9da98 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018ce9dbe0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018ce99760 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018ce99768 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018ce95524 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018ce88a5c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018ce8a3e0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018ce88834 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018ce8894c (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018ce8cee4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018ce8b1a8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018ce88a34 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018ce88750 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018ce8cef4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018ce8cf5c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018ce9c44c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018cea2a34 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018cec63c8 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018ce943c0 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018ce949b4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018ceb1e8c (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018cea9d84 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018ceaa948 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018cea91c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018cea9aac (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018ceaa670 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018cea8ee8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018cea9f88 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018ceaab4c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018cea93c4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018cea9e18 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018ceaa9dc (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018cea9254 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018ce99840 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018ce95514 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018ced081c (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018ceb1e18 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018ce94234 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018cead640 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018cec80e0 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018ced17c8 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018cea3b88 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018ceb73e0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018ceb77f0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018ceb6fe4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018cef7030 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018ce998a0 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018cea37fc (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018ce949c0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018ce95564 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018ceb3148 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018cf2b388 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018cf2b382 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018cf2b370 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018ceb3b58 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018ceb5cb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018ce93c14 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018cece01c (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018ceb5320 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018ceb6074 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018ceb1e98 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018ce99850 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018ce9441c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018cea3ed0 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018cead980 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018cead670 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018ceb46cc (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018ce94080 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018ceb5620 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018ce93cbc (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018ceb557c (__TEXT,__text) non-external _BuildHistograms
000000018ced6e60 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018ced6f60 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018ce8cf68 (__TEXT,__text) non-external _ChooseDistanceParams
000000018ce942e0 (__TEXT,__text) non-external _CollectGarbagePointers
000000018ced0ff0 (__TEXT,__text) non-external _ComputeDistanceCost
000000018ceaeef0 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018ced2470 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018ce9be64 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018cebaa94 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018cebb774 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018cec3360 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018cebc244 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018cebf448 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018cec0534 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018cec1658 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018cebd0ac (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018cec2850 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018cec4124 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018cebe24c (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018cec4f64 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018ce8e0e4 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
000000018ced6d50 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018ce9e0f4 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018ce9c010 (__TEXT,__text) non-external _DecodeContextMap
000000018ce9eb70 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
