00007ff9064bf7c4 (__TEXT,__text) external _MarcoAction
00007ff9064bf7cc (__TEXT,__text) external _MarcoActionWithUserInfo
00007ff9064bf76c (__TEXT,__text) external _MarcoAddCallMetric
00007ff9064bf774 (__TEXT,__text) external _MarcoAddCallMetric_Double
00007ff9064bf77c (__TEXT,__text) external _MarcoAddCallMetric_Float
00007ff9064bf784 (__TEXT,__text) external _MarcoAddCallMetric_Int
00007ff9064bf78c (__TEXT,__text) external _MarcoAddCallMetric_Short
00007ff9064bf7f4 (__TEXT,__text) external _MarcoAddLogFile
00007ff9064bf764 (__TEXT,__text) external _MarcoBeginSession
00007ff9064bf86c (__TEXT,__text) external _MarcoCanLogMadridMessageBodies
00007ff9064bf864 (__TEXT,__text) external _MarcoCanLogMadridMessageBodiesCF
00007ff9064bf718 (__TEXT,__text) external _MarcoConnect
00007ff9064bf723 (__TEXT,__text) external _MarcoDiconnect
00007ff9064bf708 (__TEXT,__text) external _MarcoEndSession
00007ff9064bf7bc (__TEXT,__text) external _MarcoEvent
00007ff9064bf7ac (__TEXT,__text) external _MarcoLog
00007ff9064bf79c (__TEXT,__text) external _MarcoLogCallInfo
00007ff9064bf874 (__TEXT,__text) external _MarcoLogLocalPreview
00007ff9064bf893 (__TEXT,__text) external _MarcoLogLocalPreviewEvent
00007ff9064bf80c (__TEXT,__text) external _MarcoLogMadrid
00007ff9064bf814 (__TEXT,__text) external _MarcoLogMadridCF
00007ff9064bf82c (__TEXT,__text) external _MarcoLogMadridCF_V
00007ff9064bf6d8 (__TEXT,__text) external _MarcoLogMadridEvent
00007ff9064bf81c (__TEXT,__text) external _MarcoLogMadridEventCF
00007ff9064bf844 (__TEXT,__text) external _MarcoLogMadridEventCF_V
00007ff9064bf6f8 (__TEXT,__text) external _MarcoLogMadridLevel
00007ff9064bf834 (__TEXT,__text) external _MarcoLogMadridLevelCF_V
00007ff9064bf7fc (__TEXT,__text) external _MarcoLogRegistration
00007ff9064bf6e0 (__TEXT,__text) external _MarcoLoggingStringForMessageData
00007ff9064bf744 (__TEXT,__text) external _MarcoMadridLogLevel
00007ff9064bf7a4 (__TEXT,__text) external _MarcoNoteCheckpoint
00007ff9064bf794 (__TEXT,__text) external _MarcoNoteQuality
00007ff9064bf7d4 (__TEXT,__text) external _MarcoPerformSnapshot
00007ff9064bf7b4 (__TEXT,__text) external _MarcoPulse
00007ff9064bf7e4 (__TEXT,__text) external _MarcoSetFailureReason
00007ff9064bf7dc (__TEXT,__text) external _MarcoSetInitiator
00007ff9064bf7ec (__TEXT,__text) external _MarcoSetRecipient
00007ff9064bf6f0 (__TEXT,__text) external _MarcoShouldLog
00007ff9064bf74c (__TEXT,__text) external _MarcoShouldLogCallMetric
00007ff9064bf710 (__TEXT,__text) external _MarcoShouldLogCheckpoints
00007ff9064bf700 (__TEXT,__text) external _MarcoShouldLogLocalPreview
00007ff9064bf73c (__TEXT,__text) external _MarcoShouldLogMadrid
00007ff9064bf854 (__TEXT,__text) external _MarcoShouldLogMadridCF
00007ff9064bf6e8 (__TEXT,__text) external _MarcoShouldLogMadridEvent
00007ff9064bf85c (__TEXT,__text) external _MarcoShouldLogMadridEventCF
00007ff9064bf6c8 (__TEXT,__text) external _MarcoShouldLogMadridLevel
00007ff9064bf83c (__TEXT,__text) external _MarcoShouldLogMadridLevelCF
00007ff9064bf754 (__TEXT,__text) external _MarcoShouldLogQuality
00007ff9064bf734 (__TEXT,__text) external _MarcoShouldLogRegistration
00007ff9064bf75c (__TEXT,__text) external _MarcoStartPing
00007ff9064bf72e (__TEXT,__text) external _MarcoSyncLoggingsPreferences
00007ff9064bf888 (__TEXT,__text) external _MarcoWarnLocalPreview
00007ff9064bf6d0 (__TEXT,__text) external _MarcoWarnMadrid
00007ff9064bf824 (__TEXT,__text) external _MarcoWarnMadridCF
00007ff9064bf84c (__TEXT,__text) external _MarcoWarnMadridCF_V
00007ff9064bf804 (__TEXT,__text) external _MarcoWarnRegistration
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
