000000018bd33ef4 (__TEXT,__text) non-external _Annihilate
000000018bd70a98 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018bd710cc (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018bd6fc4c (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018bd33c64 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018bd4dc80 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018bd27594 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018bd343c4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018bd277e8 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018bd6e458 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018bd6ece4 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018bd27a60 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018bd3ab64 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018bd468f8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018bd474f8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018bd45cf8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018bd46030 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018bd46c30 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018bd45430 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018bd2e810 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018bd2fd24 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018bd3107c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018bd323d4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018bd2e9cc (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018bd630e8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018bd64ff8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018bd65e14 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018bd66c30 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018bd67a4c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018bd68868 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018bd69684 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018bd6a4a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018bd6b3bc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018bd633c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018bd641dc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018bd43874 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018bd54aa0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018bd49a94 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018bd42e58 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018bd49934 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018bd391e0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018bd39300 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018bd3941c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018bd392a0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018bd3d514 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018bd3d50c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018bd3d3bc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018bd3f6d0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018bd3d4c0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018bd3d4a0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018bd3918c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018bd3f68c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018bd3f60c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018bd3f4d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018bd3f5c0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018bd3d3f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018bd3d53c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018bd38f10 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018bd38f18 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018bd34f28 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018bd281e8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018bd29dcc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018bd27fc0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018bd280d8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018bd2dc10 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018bd2ab98 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018bd281c0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018bd27edc (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018bd2dc20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018bd2dc88 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018bd3bd9c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018bd41cdc (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018bd60bb4 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018bd33db4 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018bd343b4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018bd4c7b8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018bd46558 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018bd47158 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018bd45958 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018bd46288 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018bd46e88 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018bd45688 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018bd4675c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018bd4735c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018bd45b5c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018bd465ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018bd471ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018bd459ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018bd38ff0 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018bd34f18 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018bd6e338 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
