0000000180b68850 (__TEXT,__text) external _OSAtomicAdd32
0000000180b6885c (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180b688a8 (__TEXT,__text) external _OSAtomicAdd64
0000000180b688b4 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180b68900 (__TEXT,__text) external _OSAtomicAnd32
0000000180b68910 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180b68920 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180b6892c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180b68988 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180b6899c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180b68a28 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180b68a3c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180b689d8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180b689ec (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180b68a00 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180b68a14 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180b689b0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180b689c4 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180b68888 (__TEXT,__text) external _OSAtomicDecrement32
0000000180b68898 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180b688e0 (__TEXT,__text) external _OSAtomicDecrement64
0000000180b688f0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180b68bc0 (__TEXT,__text) external _OSAtomicDequeue
0000000180b68b50 (__TEXT,__text) external _OSAtomicEnqueue
0000000180b671a4 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180b6a6d0 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180b67134 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180b6a6d0 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180b68868 (__TEXT,__text) external _OSAtomicIncrement32
0000000180b68878 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180b688c0 (__TEXT,__text) external _OSAtomicIncrement64
0000000180b688d0 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180b68938 (__TEXT,__text) external _OSAtomicOr32
0000000180b68944 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180b68950 (__TEXT,__text) external _OSAtomicOr32Orig
