00007ffc1e40d904 (__TEXT,__text) non-external +[CSSearchableIndex(PSUAdditions) psu_criticalIndexWithName:protectionClass:bundleIdentifier:]
00007ffc1e40d898 (__TEXT,__text) non-external +[PSUCurrentActivityManager sharedInstance]
00007ffc1e40cf2c (__TEXT,__text) non-external -[PSUCurrentActivityManager _hasLayoutInfo]
00007ffc1e40cf37 (__TEXT,__text) non-external -[PSUCurrentActivityManager _isAppVisibleWithBundleId:]
00007ffc1e40ce00 (__TEXT,__text) non-external -[PSUCurrentActivityManager _visibilityForAppWithBundleId:completionHandler:]
00007ffc1e40cd14 (__TEXT,__text) non-external -[PSUCurrentActivityManager dealloc]
00007ffc1e40cd43 (__TEXT,__text) non-external -[PSUCurrentActivityManager fetchUserActivityContentIdentifiersForBundleId:completionHandler:]
00007ffc1e40ccdf (__TEXT,__text) non-external -[PSUCurrentActivityManager init]
00007ffc1e40cd0e (__TEXT,__text) non-external -[PSUCurrentActivityManager prewarm]
00007ffc1e40c13c (__TEXT,__text) non-external -[PSUIntentMessageHistorySearcher recentMessagesSinceDate:conversationIdentifier:appBundleId:incomingMessageID:limit:options:completionHandler:]
00007ffc1e40dd6d (__TEXT,__text) non-external -[PSUModeConfigurationService .cxx_destruct]
00007ffc1e40dc0a (__TEXT,__text) non-external -[PSUModeConfigurationService _updateModesWithIntelligentBreakthroughEnabled]
00007ffc1e40db72 (__TEXT,__text) non-external -[PSUModeConfigurationService doesModeHaveIntelligentBreakthroughEnabled:]
00007ffc1e40da0d (__TEXT,__text) non-external -[PSUModeConfigurationService init]
00007ffc1e40db60 (__TEXT,__text) non-external -[PSUModeConfigurationService modeConfigurationService:didReceiveAvailableModesUpdate:]
00007ffc1e40bf86 (__TEXT,__text) non-external -[PSUVIPManager emailVIPAddressesWithCompletion:]
00007ffc1e441958 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffc1e441988 (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00007ffc1e4419a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table44
00007ffc1e4419c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table46
