                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00000001895bfaa4 (__TEXT,__text) non-external _au_assemble
00000001895c1314 (__TEXT,__text) external _au_bsm_to_domain
00000001895cbc3c (__TEXT,__text) external _au_bsm_to_errno
00000001895cbd10 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00000001895c782c (__TEXT,__text) external _au_bsm_to_socket_type
00000001895bfd30 (__TEXT,__text) external _au_close
00000001895bfdf8 (__TEXT,__text) external _au_close_buffer
00000001895bfed8 (__TEXT,__text) external _au_close_token
00000001895bf9c4 (__TEXT,__text) external _au_close_with_errors
00000001df76dccc (__DATA,__bss) non-external _au_cond
00000001895c12dc (__TEXT,__text) external _au_domain_to_bsm
00000001895cbc00 (__TEXT,__text) external _au_errno_to_bsm
00000001895cbcd8 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00000001895be080 (__TEXT,__text) external _au_fetch_tok
00000001895bf7b0 (__TEXT,__text) external _au_free_token
00000001895c76e0 (__TEXT,__text) external _au_get_state
00000001895c7624 (__TEXT,__text) external _au_notify_initialize
00000001895c76b8 (__TEXT,__text) external _au_notify_terminate
00000001895bf7f8 (__TEXT,__text) external _au_open
00000001e5edd048 (__DATA_CONST,__const) non-external _au_polstr
00000001895c03a8 (__TEXT,__text) external _au_poltostr
00000001895c73fc (__TEXT,__text) external _au_preselect
00000001895c1db4 (__TEXT,__text) external _au_print_flags_tok
00000001895c6460 (__TEXT,__text) external _au_print_tok
00000001895c6478 (__TEXT,__text) external _au_print_tok_xml
00000001895c1c58 (__TEXT,__text) external _au_print_xml_footer
00000001895c1bfc (__TEXT,__text) external _au_print_xml_header
00000001895c6494 (__TEXT,__text) external _au_read_rec
00000001895cbbb4 (__TEXT,__text) external _au_sdev_close
00000001895cbbf8 (__TEXT,__text) external _au_sdev_fd
00000001895bdc78 (__TEXT,__text) external _au_sdev_open
00000001895bdd4c (__TEXT,__text) external _au_sdev_read_aia
00000001e5edd138 (__DATA_CONST,__const) non-external _au_sflagsstr
00000001895c0568 (__TEXT,__text) external _au_sflagstostr
00000001895c77f4 (__TEXT,__text) external _au_socket_type_to_bsm
00000001895c0c0c (__TEXT,__text) non-external _au_spacetobytes
00000001895cbc88 (__TEXT,__text) external _au_strerror
00000001895c0480 (__TEXT,__text) external _au_strtopol
00000001895c0640 (__TEXT,__text) external _au_strtosflags
00000001895bfc74 (__TEXT,__text) non-external _au_teardown
00000001895c7a14 (__TEXT,__text) external _au_to_arg
00000001895c7834 (__TEXT,__text) external _au_to_arg32
00000001895c7914 (__TEXT,__text) external _au_to_arg64
00000001895c985c (__TEXT,__text) external _au_to_certificate_hash
00000001895c7a18 (__TEXT,__text) external _au_to_data
00000001895c9734 (__TEXT,__text) external _au_to_exec_args
00000001895c9854 (__TEXT,__text) external _au_to_exec_env
00000001895c7afc (__TEXT,__text) external _au_to_exit
00000001895c8034 (__TEXT,__text) external _au_to_file
00000001895c7ba4 (__TEXT,__text) external _au_to_groups
00000001895c9fdc (__TEXT,__text) external _au_to_header
00000001895c9f0c (__TEXT,__text) external _au_to_header32
00000001895c9e68 (__TEXT,__text) external _au_to_header32_ex
00000001895c9bb8 (__TEXT,__text) external _au_to_header32_ex_tm
00000001895c9aa8 (__TEXT,__text) external _au_to_header32_tm
00000001895c9f74 (__TEXT,__text) external _au_to_header64
00000001895c9d34 (__TEXT,__text) external _au_to_header64_tm
00000001895c9fe0 (__TEXT,__text) external _au_to_header_ex
00000001895c9918 (__TEXT,__text) external _au_to_identity
00000001895c7c60 (__TEXT,__text) external _au_to_in_addr
00000001895c7ccc (__TEXT,__text) external _au_to_in_addr_ex
00000001895c7d40 (__TEXT,__text) external _au_to_ip
00000001895c7db4 (__TEXT,__text) external _au_to_ipc
00000001895c7e44 (__TEXT,__text) external _au_to_ipc_perm
00000001895c7f24 (__TEXT,__text) external _au_to_iport
00000001895ca06c (__TEXT,__text) external _au_to_kevent
00000001895c9864 (__TEXT,__text) external _au_to_krb5_principal
00000001895c9698 (__TEXT,__text) external _au_to_me
00000001895c7bb0 (__TEXT,__text) external _au_to_newgroups
00000001895c7f94 (__TEXT,__text) external _au_to_opaque
00000001895c81ec (__TEXT,__text) external _au_to_path
00000001895c85cc (__TEXT,__text) external _au_to_process
00000001895c8298 (__TEXT,__text) external _au_to_process32
00000001895c85d0 (__TEXT,__text) external _au_to_process32_ex
00000001895c8418 (__TEXT,__text) external _au_to_process64
00000001895c87dc (__TEXT,__text) external _au_to_process64_ex
00000001895c8a1c (__TEXT,__text) external _au_to_process_ex
00000001895c8b60 (__TEXT,__text) external _au_to_return
