                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000019157ba60 (__TEXT,__text) non-external _alone_decode
000000019157bd04 (__TEXT,__text) non-external _alone_decoder_end
000000019157bd44 (__TEXT,__text) non-external _alone_decoder_memconfig
000000019157a48c (__TEXT,__text) non-external _alone_encode
000000019157a5a4 (__TEXT,__text) non-external _alone_encoder_end
000000019157a310 (__TEXT,__text) non-external _alone_encoder_init
00000001915857f0 (__TEXT,__text) non-external _arm64_code
000000019158844c (__TEXT,__text) non-external _arm_code
0000000191588538 (__TEXT,__text) non-external _armthumb_code
000000019157bf70 (__TEXT,__text) non-external _auto_decode
000000019157c0ec (__TEXT,__text) non-external _auto_decoder_end
000000019157c12c (__TEXT,__text) non-external _auto_decoder_get_check
000000019157be68 (__TEXT,__text) non-external _auto_decoder_init
000000019157c144 (__TEXT,__text) non-external _auto_decoder_memconfig
000000019158ded8 (__TEXT,__const) non-external _bcj_optmap
000000019157a68c (__TEXT,__text) non-external _block_buffer_encode
000000019157c494 (__TEXT,__text) non-external _block_decode
000000019157c708 (__TEXT,__text) non-external _block_decoder_end
0000000191574ca8 (__TEXT,__text) non-external _block_encode
000000019157a930 (__TEXT,__text) non-external _block_encode_normal
000000019157aa98 (__TEXT,__text) non-external _block_encode_uncompressed
000000019157918c (__TEXT,__text) non-external _block_encoder_end
0000000191572de0 (__TEXT,__text) non-external _block_encoder_init
000000019157ac40 (__TEXT,__text) non-external _block_encoder_update
000000019157806c (__TEXT,__text) non-external _bt_find_func
0000000191575e64 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
0000000191587db4 (__TEXT,__text) non-external _copy_or_code
00000001915811d8 (__TEXT,__text) non-external _decode_buffer
000000019157cbbc (__TEXT,__text) non-external _decoder_find
00000001eec5c180 (__AUTH_CONST,__const) non-external _decoders
000000019158764c (__TEXT,__text) non-external _delta_coder_end
0000000191587870 (__TEXT,__text) non-external _delta_decode
00000001915876dc (__TEXT,__text) non-external _delta_encode
000000019158780c (__TEXT,__text) non-external _delta_encoder_update
000000019158def0 (__TEXT,__const) non-external _delta_optmap
0000000191573374 (__TEXT,__text) non-external _encoder_find
00000001eec5bf18 (__AUTH_CONST,__const) non-external _encoders
0000000191589ca0 (__TEXT,__const) non-external _features
0000000191581ec8 (__TEXT,__text) non-external _file_info_decode
0000000191582494 (__TEXT,__text) non-external _file_info_decoder_end
00000001915824f0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001eec5c2e0 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00000001915781b8 (__TEXT,__text) non-external _get_literal_price
0000000191588a3c (__TEXT,__text) non-external _get_options
0000000191589228 (__TEXT,__text) non-external _get_progress
0000000191587158 (__TEXT,__text) non-external _get_thread
000000019157d564 (__TEXT,__text) non-external _hash_append
000000019157f2f8 (__TEXT,__text) non-external _hc_find_func
0000000191588278 (__TEXT,__text) non-external _ia64_code
00000001915900a0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
0000000191579e58 (__TEXT,__text) non-external _index_cat_helper
000000019157cecc (__TEXT,__text) non-external _index_decode
000000019157d1a8 (__TEXT,__text) non-external _index_decoder_end
000000019157d1ec (__TEXT,__text) non-external _index_decoder_memconfig
00000001915789bc (__TEXT,__text) non-external _index_encode
0000000191579294 (__TEXT,__text) non-external _index_encoder_end
0000000191579310 (__TEXT,__text) non-external _index_stream_end
0000000191572a58 (__TEXT,__text) non-external _index_tree_append
0000000191579298 (__TEXT,__text) non-external _index_tree_node_end
0000000191573b28 (__TEXT,__text) non-external _is_options_valid
0000000191578de4 (__TEXT,__text) non-external _iter_set_info
0000000191573b80 (__TEXT,__text) non-external _length_encoder_reset
0000000191573c68 (__TEXT,__text) non-external _length_update_prices
0000000191580fb8 (__TEXT,__text) non-external _lz_decode
0000000191581160 (__TEXT,__text) non-external _lz_decoder_end
0000000191574eb0 (__TEXT,__text) non-external _lz_encode
00000001915791cc (__TEXT,__text) non-external _lz_encoder_end
0000000191573e08 (__TEXT,__text) non-external _lz_encoder_prepare
000000019157f104 (__TEXT,__text) non-external _lz_encoder_set_out_limit
000000019157f08c (__TEXT,__text) non-external _lz_encoder_update
000000019157eae4 (__TEXT,__text) non-external _lzip_decode
000000019157ef28 (__TEXT,__text) non-external _lzip_decoder_end
000000019157ef6c (__TEXT,__text) non-external _lzip_decoder_get_check
000000019157ef74 (__TEXT,__text) non-external _lzip_decoder_memconfig
000000019158de78 (__TEXT,__const) non-external _lzma12_mf_map
000000019158de48 (__TEXT,__const) non-external _lzma12_mode_map
00000001e65970c8 (__DATA_CONST,__const) non-external _lzma12_optmap
0000000191585a64 (__TEXT,__text) non-external _lzma2_decode
0000000191585d7c (__TEXT,__text) non-external _lzma2_decoder_end
00000001915858d8 (__TEXT,__text) non-external _lzma2_decoder_init
00000001915750bc (__TEXT,__text) non-external _lzma2_encode
0000000191579250 (__TEXT,__text) non-external _lzma2_encoder_end
0000000191573660 (__TEXT,__text) non-external _lzma2_encoder_init
000000019158570c (__TEXT,__text) non-external _lzma2_encoder_options_update
0000000191589c88 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
0000000191589c60 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
0000000191572910 (__TEXT,__text) non-external (was a private external) _lzma_alloc
0000000191579574 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
000000019157bd84 (__TEXT,__text) external _lzma_alone_decoder
000000019157b960 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000019157a2a4 (__TEXT,__text) external _lzma_alone_encoder
000000019157bdf4 (__TEXT,__text) external _lzma_auto_decoder
000000019157a634 (__TEXT,__text) external _lzma_block_buffer_bound
000000019157a5e4 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
000000019157c1bc (__TEXT,__text) external _lzma_block_buffer_decode
000000019157a684 (__TEXT,__text) external _lzma_block_buffer_encode
000000019157978c (__TEXT,__text) external _lzma_block_compressed_size
000000019157c74c (__TEXT,__text) external _lzma_block_decoder
000000019157c304 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000019157ac58 (__TEXT,__text) external _lzma_block_encoder
000000019157304c (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000019157c7b8 (__TEXT,__text) external _lzma_block_header_decode
000000019157482c (__TEXT,__text) external _lzma_block_header_encode
0000000191572e40 (__TEXT,__text) external _lzma_block_header_size
00000001915797fc (__TEXT,__text) external _lzma_block_total_size
000000019157a910 (__TEXT,__text) external _lzma_block_uncomp_encode
