00000001c38ed888 (__TEXT,__text) external _DriverExecutableMain
00000001f1f00a28 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000001f1f00bf0 (__AUTH_CONST,__const) external _IODMACommand_Class
00000001f1f00da0 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001c38eae94 (__TEXT,__text) external _IODelay
00000001f1f00f50 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000001f1f01100 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001c38edd00 (__TEXT,__text) external _IODriverKitTest
00000001c390a4a0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001c390a4d4 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001c390a500 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001c390a534 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001c390a560 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001c390a58c (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001c390a5b8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001c390a5e4 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000001c38eae84 (__TEXT,__text) external _IOFree
00000001c38edcfc (__TEXT,__text) external _IOGetExecutableSDKVersion
00000001f1f012b0 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001c38eae9c (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001c38ecd70 (__TEXT,__text) external _IOLockAlloc
00000001c38ecdb0 (__TEXT,__text) external _IOLockAssert
00000001c3909ee0 (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001c38ecd94 (__TEXT,__text) external _IOLockFree
00000001c38ecda4 (__TEXT,__text) external _IOLockLock
00000001c38ecda8 (__TEXT,__text) external _IOLockTryLock
00000001c38ecdac (__TEXT,__text) external _IOLockUnlock
00000001c38ead6c (__TEXT,__text) external _IOLog
00000001c38eac10 (__TEXT,__text) external _IOLogBuffer
00000001c38ead98 (__TEXT,__text) external _IOLogv
00000001c38eae74 (__TEXT,__text) external _IOMalloc
00000001c38eae78 (__TEXT,__text) external _IOMallocZero
00000001f1f01460 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000001f1f01610 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001c38eaf3c (__TEXT,__text) external _IOParseBootArgNumber
00000001c38eb474 (__TEXT,__text) external _IOParseBootArgString
00000001c38ec07c (__TEXT,__text) external _IORPCMessageFromMach
00000001c3909c40 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001c3909c80 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001c38ece38 (__TEXT,__text) external _IORWLockAlloc
00000001c3909f0c (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001c38ece7c (__TEXT,__text) external _IORWLockFree
00000001c38ecec0 (__TEXT,__text) external _IORWLockRead
00000001c3909f38 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001c38ecf00 (__TEXT,__text) external _IORWLockUnlock
00000001c3909f90 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001c38ecee0 (__TEXT,__text) external _IORWLockWrite
00000001c3909f64 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001c38ecdf0 (__TEXT,__text) external _IORecursiveLockAlloc
00000001c38ece14 (__TEXT,__text) external _IORecursiveLockFree
00000001c38ece30 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001c38ece24 (__TEXT,__text) external _IORecursiveLockLock
00000001c38ece34 (__TEXT,__text) external _IORecursiveLockTryLock
00000001c38ece2c (__TEXT,__text) external _IORecursiveLockUnlock
00000001f1f01970 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000001f1f017c0 (__AUTH_CONST,__const) external _IOService_Class
00000001c38eae88 (__TEXT,__text) external _IOSleep
00000001f1f01b20 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001f1f01cd0 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001c38ed8d8 (__TEXT,__text) external _IOUserServerMain
00000001c390a314 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001c390a340 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001c390a36c (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001c390a398 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001c390a3c4 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001c390a3f0 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001c390a41c (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001c390a448 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001c390a474 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000001f1f02050 (__AUTH_CONST,__const) external _IOUserServer_Class
00000001eb145b18 (__DATA_DIRTY,__common) external _IOVMPageSize
