00007fff2a8b5f80 (__TEXT,__const) non-external _DOWNCASE_TBL
00007fff2a8b6880 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007fff2a8b6080 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007fff2a8b6480 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007fff2a8b14c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007fff2a8b14e0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007fff2a8a6925 (__TEXT,__text) non-external _active_outbound_item_reset
00007fff2a8ab8d8 (__TEXT,__text) non-external _add_hd_table_incremental
00007fff2a8aefe3 (__TEXT,__text) non-external _bubble_down
00007fff2a8aef85 (__TEXT,__text) non-external _bubble_up
00007fff2a8a683d (__TEXT,__text) non-external _buf_chain_new
00007fff2a8af156 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007fff2a8ad65e (__TEXT,__text) non-external _check_pseudo_header
00007fff2a8a6723 (__TEXT,__text) non-external _default_calloc
00007fff2a8a6a89 (__TEXT,__text) non-external _default_free
00007fff2a8a672f (__TEXT,__text) non-external _default_malloc
00007fff2a8a690d (__TEXT,__text) non-external _default_realloc
00007fff2a8ab412 (__TEXT,__text) non-external _emit_indname_block
00007fff2a8ab552 (__TEXT,__text) non-external _emit_string
00007fff2a8ae175 (__TEXT,__text) non-external _emit_table_size
00007fff2a8b0419 (__TEXT,__text) non-external _find_stream_on_goaway_func
00007fff2a8abc37 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007fff2a8b0630 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007fff2a8ae011 (__TEXT,__text) non-external _hd_context_free
00007fff2a8ac40c (__TEXT,__text) non-external _hd_context_shrink_table_size
00007fff2a8aee6a (__TEXT,__text) non-external _hd_get_table_entry
00007fff2a8ad59a (__TEXT,__text) non-external _hd_inflate_commit_indname
00007fff2a8ad6b5 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007fff2a8ad4b3 (__TEXT,__text) non-external _hd_inflate_read_huff
00007fff2a8ad370 (__TEXT,__text) non-external _hd_inflate_read_len
00007fff2a8ae07c (__TEXT,__text) non-external _hd_ringbuf_get
00007fff2a8b1f40 (__TEXT,__const) non-external _huff_decode_table
