00007ffb1cb1c626 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1cb1c5ba (__TEXT,__text) non-external +[CBOR cborNil]
00007ffb1cb1c5f0 (__TEXT,__text) non-external +[CBOR cborTrue]
00007ffb1cb1bf8f (__TEXT,__text) non-external +[CBOR cborWithArray:]
00007ffb1cb1c121 (__TEXT,__text) non-external +[CBOR cborWithData:]
00007ffb1cb1c48e (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00007ffb1cb1c02f (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00007ffb1cb1c0cf (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00007ffb1cb1bf11 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00007ffb1cb1c65c (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00007ffb1cb1c1c1 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
00007ffb1cb1be93 (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00007ffb1cb1c35c (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00007ffb1cb1be15 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00007ffb1cb1bca8 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00007ffb1cb1c2bc (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00007ffb1cb1bd66 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00007ffb1cb159a0 (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00007ffb1cb1604e (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00007ffb1cb1600a (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00007ffb1cb1e42a (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00007ffb1cb217c4 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00007ffb1cb17840 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00007ffb1cb1785a (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00007ffb1cb1786f (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
00007ffb1cb17e75 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1cb18127 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
00007ffb1cb185d8 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
00007ffb1cb18dfc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1cb19384 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1cb19be0 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00007ffb1cb19f70 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb1cb1609e (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb1cb160b2 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb1cb1f831 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb1cb217d1 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb1cb1c85c (__TEXT,__text) non-external -[CBOR .cxx_destruct]
