00007ffb18a13c1f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb18a13be8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb18a256a1 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb18a13b9a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb18a13b80 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb18a13bce (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb18a13bb4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb18a14a3f (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb18a60ba4 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb18a60bb9 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb18a605aa (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb18a60a43 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffb18a37467 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb18a26568 (__TEXT,__text) external _AAByteRangeAdd
00007ffb18a2648e (__TEXT,__text) external _AAByteRangeClone
00007ffb18a263fb (__TEXT,__text) external _AAByteRangeCreate
00007ffb18a26468 (__TEXT,__text) external _AAByteRangeDestroy
00007ffb18a26732 (__TEXT,__text) external _AAByteRangeFirst
00007ffb18a2683f (__TEXT,__text) external _AAByteRangeNext
00007ffb18a266c7 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb18a26656 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb18a265e4 (__TEXT,__text) external _AAByteRangeSub
00007ffb18a5baef (__TEXT,__text) external _AAByteStreamCancel
00007ffb18a5bb04 (__TEXT,__text) external _AAByteStreamClose
00007ffb18a5bab7 (__TEXT,__text) external _AAByteStreamPRead
00007ffb18a5bb55 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb18a5ba7f (__TEXT,__text) external _AAByteStreamPWrite
00007ffb18a41473 (__TEXT,__text) external _AAByteStreamProcess
00007ffb18a5ba9b (__TEXT,__text) external _AAByteStreamRead
00007ffb18a5bad3 (__TEXT,__text) external _AAByteStreamSeek
00007ffb18a5bb3b (__TEXT,__text) external _AAByteStreamTruncate
00007ffb18a5ba63 (__TEXT,__text) external _AAByteStreamWrite
00007ffb18a36b42 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb18a3f246 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb18a5c7e3 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb18a5cf45 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb18a3a6c8 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb18a13c34 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb18a13cb1 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb18a13ca7 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb18a13c9e (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb18a13cd9 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb18a13ccf (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb18a13cc5 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb18a13cbb (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb18a5c73f (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb18a5c7d9 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb18a5c79d (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb18a5c794 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb18a5c7b1 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb18a5c7c5 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb18a5c7a7 (__TEXT,__text) external _AACustomByteStreamSetReadProc
