
/Volumes/macOS Mojave/System/Library/Frameworks/QuickLook.framework/Versions/A/QuickLook (for architecture x86_64):
000000000002f150 (__TEXT,__text) non-external +[QLDebugController sharedController]
0000000000044533 (__TEXT,__text) non-external +[QLImageWrapper supportsSecureCoding]
00000000000442ca (__TEXT,__text) non-external +[QLImageWrapper wrapperWithImage:url:]
000000000002f79f (__TEXT,__text) non-external +[QLPreview supportsSecureCoding]
00000000000245cb (__TEXT,__text) non-external +[QLTestingLog logTestState:]
00000000000245b4 (__TEXT,__text) non-external +[QLTestingLog shouldLogTestLogs]
000000000002e4e7 (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) boolValueForKey:default:]
000000000002e46a (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) doubleValueForKey:default:]
000000000002e4a9 (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) floatValueForKey:default:]
000000000002e5a9 (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) intValueForKey:default:]
000000000002e5e2 (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) integerValueForKey:default:]
000000000002e521 (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) rectValueForKey:default:]
000000000002e61d (__TEXT,__text) non-external -[NSDictionary(QLUtilsAdditions) unsignedIntegerValueForKey:default:]
000000000002f2b3 (__TEXT,__text) non-external -[QLDebugController _sendUpdate:forRequest:async:]
000000000002f4f9 (__TEXT,__text) non-external -[QLDebugController addRequest:]
000000000002f5dc (__TEXT,__text) non-external -[QLDebugController clearAllRequests]
000000000002f272 (__TEXT,__text) non-external -[QLDebugController dealloc]
000000000002f222 (__TEXT,__text) non-external -[QLDebugController init]
000000000002f5c4 (__TEXT,__text) non-external -[QLDebugController sendUpdate:forRequest:]
000000000002f5be (__TEXT,__text) non-external -[QLDebugController setStatus:forRequest:]
000000000002f69c (__TEXT,__text) non-external -[QLDebugSatelliteController setStatus:forRequest:]
000000000002f5fa (__TEXT,__text) non-external -[QLDebugServerController setStatus:forRequest:]
00000000000443c6 (__TEXT,__text) non-external -[QLImageWrapper _startLoadingImage]
0000000000044357 (__TEXT,__text) non-external -[QLImageWrapper dealloc]
0000000000044522 (__TEXT,__text) non-external -[QLImageWrapper discard]
