00000001db15f740 (__TEXT,__text) non-external +[NFPromise new]
00000001db161090 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001db160e5c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001db160e44 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001db160e2c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001db160d24 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001db160dcc (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001db160d64 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001db1627dc (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001db162274 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001db165434 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00000001db15d988 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001db15ef60 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001db15eff0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001db15f084 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001db15f130 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001db161314 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001db161288 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001db164b88 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001db164acc (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001db15d61c (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001db15d824 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001db15d3ac (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001db15ce78 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001db15d39c (__TEXT,__text) non-external -[NFEventManager events]
00000001db15c7f0 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001db164e6c (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001db15d1dc (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001db15cfd8 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001db15c76c (__TEXT,__text) non-external -[NFEventManager init]
00000001db15c9d8 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001db164f5c (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001db15cd28 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001db1650c4 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001db15cc70 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001db16504c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001db15c88c (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001db164ee4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001db15cb24 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001db164fd4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001db15d3a4 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001db15d504 (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001db15d4ec (__TEXT,__text) non-external -[NFEventTrigger block]
00000001db15d4e4 (__TEXT,__text) non-external -[NFEventTrigger events]
00000001db15d4fc (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001db15d4f4 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001db15d3f0 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001db15d4dc (__TEXT,__text) non-external -[NFEventTrigger key]
00000001db15ef10 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001db15ef00 (__TEXT,__text) non-external -[NFLazy constructor]
00000001db15ed28 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001db15ef08 (__TEXT,__text) non-external -[NFLazy lock]
00000001db15ee8c (__TEXT,__text) non-external -[NFLazy reset]
00000001db15edc8 (__TEXT,__text) non-external -[NFLazy value]
