                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000019430ffdc (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000019430c68c (__TEXT,__text) external _FSp_profile_init
000000019430c694 (__TEXT,__text) external _FSp_profile_init_path
000000019430ffe4 (__TEXT,__text) external _FSp_put_svc_key
000000019430ffec (__TEXT,__text) external _FSp_read_service_key
00000001eb10c508 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001eb10c520 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001eb10c4e0 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001eb10c4c8 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001eb10c498 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001eb10c4b0 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001eb10c480 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001eb10c5a8 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001eb10c578 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001eb10c540 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001eb10c588 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001eb10c568 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
0000000194310120 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
0000000194310118 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000019431007c (__TEXT,__text) external _KClientAddCredentialsDeprecated
0000000194310014 (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000194310034 (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000194310288 (__TEXT,__text) external _KClientAddServiceKey
000000019430fff4 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00000001943102d0 (__TEXT,__text) external _KClientDecrypt
0000000194310180 (__TEXT,__text) external _KClientDecryptCompat
0000000194310084 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
000000019431001c (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
000000019431003c (__TEXT,__text) external _KClientDeleteServerMapDeprecated
000000019431006c (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000194310308 (__TEXT,__text) external _KClientDisposePrincipal
0000000194310200 (__TEXT,__text) external _KClientDisposeSession
0000000194310138 (__TEXT,__text) external _KClientDisposeSessionCompat
00000001943102c8 (__TEXT,__text) external _KClientEncrypt
0000000194310178 (__TEXT,__text) external _KClientEncryptCompat
0000000194310298 (__TEXT,__text) external _KClientGetAuthenticatorForService
00000001943102e8 (__TEXT,__text) external _KClientGetCCacheReference
0000000194310208 (__TEXT,__text) external _KClientGetClientPrincipal
0000000194310074 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00000001943102b8 (__TEXT,__text) external _KClientGetEncryptedServiceReply
00000001943100a4 (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000194310250 (__TEXT,__text) external _KClientGetExpirationTime
0000000194310228 (__TEXT,__text) external _KClientGetLocalAddress
000000019430fffc (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000194310094 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000194310024 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
000000019431002c (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000194310044 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
000000019431004c (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000194310064 (__TEXT,__text) external _KClientGetNthSessionDeprecated
000000019431008c (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
000000019431005c (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00000001943102c0 (__TEXT,__text) external _KClientGetProtectedServiceReply
000000019431000c (__TEXT,__text) external _KClientGetRealmDeprecated
0000000194310238 (__TEXT,__text) external _KClientGetRemoteAddress
0000000194310218 (__TEXT,__text) external _KClientGetServerPrincipal
0000000194310280 (__TEXT,__text) external _KClientGetServiceKey
0000000194310248 (__TEXT,__text) external _KClientGetSessionKey
0000000194310170 (__TEXT,__text) external _KClientGetSessionKeyCompat
00000001943101c8 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000194310290 (__TEXT,__text) external _KClientGetTicketForService
0000000194310140 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000194310148 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
000000019431009c (__TEXT,__text) external _KClientGetUserNameDeprecated
00000001943101e8 (__TEXT,__text) external _KClientGetVersion
0000000194310270 (__TEXT,__text) external _KClientKeyFileLogin
0000000194310260 (__TEXT,__text) external _KClientLogin
0000000194310150 (__TEXT,__text) external _KClientLoginCompat
0000000194310278 (__TEXT,__text) external _KClientLogout
0000000194310160 (__TEXT,__text) external _KClientLogoutCompat
00000001943101d0 (__TEXT,__text) external _KClientMakeSendAuthCompat
00000001943101f0 (__TEXT,__text) external _KClientNewClientSession
00000001943101f8 (__TEXT,__text) external _KClientNewServerSession
0000000194310130 (__TEXT,__text) external _KClientNewSessionCompat
