00007fff8063a838 (__DATA,__data) non-external _C
00007fff8063c720 (__DATA,__bss) non-external _CF6464
00007fff20264e60 (__TEXT,__const) non-external _CIFP
00007fff20264e30 (__TEXT,__const) non-external _ExpandTr
00007fff8063c710 (__DATA,__bss) non-external _IE3264
00007fff20264df0 (__TEXT,__const) non-external _IP
00007fff8063c680 (__DATA,__bss) non-external _KS
00007fff806064c0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007fff806064b8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007fff20264ea0 (__TEXT,__const) non-external _P32Tr
00007fff20264db0 (__TEXT,__const) non-external _PC1
00007fff8063c678 (__DATA,__bss) non-external _PC1ROT
00007fff20264d70 (__TEXT,__const) non-external _PC2
00007fff8063c700 (__DATA,__bss) non-external _PC2ROT
00007fff20264d60 (__TEXT,__const) non-external _Rotates
00007fff20264ec0 (__TEXT,__const) non-external _S
00007fff8063c718 (__DATA,__bss) non-external _SPE
00007fff20211462 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007fff20211499 (__TEXT,__text) non-external __BIG5_mbrtowc
00007fff202115a0 (__TEXT,__text) non-external __BIG5_mbsinit
00007fff20211561 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007fff8063a970 (__DATA,__data) non-external __C_lconv
00007fff86f93df0 (__DATA_CONST,__const) non-external __C_messages_locale
00007fff86f93e10 (__DATA_CONST,__const) non-external __C_monetary_locale
00007fff86f93eb8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007fff86f940d0 (__DATA_CONST,__const) non-external __C_time_locale
00007fff8063aac0 (__DATA,__data) external __CurrentRuneLocale
00007fff8063acc0 (__DATA,__constrw) external __DefaultRuneLocale
00007fff8063b948 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007fff2021337b (__TEXT,__text) non-external __EUC_free_extra
00007fff20212f6c (__TEXT,__text) non-external (was a private external) __EUC_init
00007fff202130f1 (__TEXT,__text) non-external __EUC_mbrtowc
00007fff20213361 (__TEXT,__text) non-external __EUC_mbsinit
00007fff20213294 (__TEXT,__text) non-external __EUC_wcrtomb
00007fff2023d9f2 (__TEXT,__text) external __Exit
00007fff2021345f (__TEXT,__text) non-external (was a private external) __GB18030_init
00007fff20213496 (__TEXT,__text) non-external __GB18030_mbrtowc
00007fff202136d2 (__TEXT,__text) non-external __GB18030_mbsinit
00007fff202135db (__TEXT,__text) non-external __GB18030_wcrtomb
00007fff202136eb (__TEXT,__text) non-external (was a private external) __GB2312_init
00007fff20213722 (__TEXT,__text) non-external __GB2312_mbrtowc
00007fff20213850 (__TEXT,__text) non-external __GB2312_mbsinit
00007fff20213811 (__TEXT,__text) non-external __GB2312_wcrtomb
00007fff20213869 (__TEXT,__text) non-external (was a private external) __GBK_init
00007fff202138a0 (__TEXT,__text) non-external __GBK_mbrtowc
00007fff202139a7 (__TEXT,__text) non-external __GBK_mbsinit
00007fff20213968 (__TEXT,__text) non-external __GBK_wcrtomb
00007fff2021502b (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007fff20215062 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007fff20215198 (__TEXT,__text) non-external __MSKanji_mbsinit
00007fff2021513b (__TEXT,__text) non-external __MSKanji_wcrtomb
00007fff201f3aac (__TEXT,__text) external __NSGetArgc
00007fff201f3a9f (__TEXT,__text) external __NSGetArgv
00007fff201f3ab9 (__TEXT,__text) external __NSGetEnviron
00007fff201f3ad3 (__TEXT,__text) external __NSGetMachExecuteHeader
00007fff201f3ac6 (__TEXT,__text) external __NSGetProgname
00007fff8063d3d8 (__DATA,__common) external __PathLocale
00007fff202458ff (__TEXT,__text) external __Read_RuneMagi
00007fff2023d210 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007fff2023d25d (__TEXT,__text) non-external __UTF2_mbrtowc
00007fff2023d43f (__TEXT,__text) non-external __UTF2_mbsinit
00007fff2023d459 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007fff2023d3b9 (__TEXT,__text) non-external __UTF2_wcrtomb
00007fff2023d5db (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007fff20216cb8 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007fff20216d05 (__TEXT,__text) non-external __UTF8_mbrtowc
00007fff20216fa2 (__TEXT,__text) non-external __UTF8_mbsinit
00007fff20216fbc (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007fff20216eeb (__TEXT,__text) non-external __UTF8_wcrtomb
00007fff2021713e (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007fff20201b90 (__TEXT,__text) external ___Balloc_D2A
00007fff20201cf3 (__TEXT,__text) external ___Bfree_D2A
00007fff20206208 (__TEXT,__text) external ___ULtod_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007fff201ef21e (__TEXT,__text) external ____mb_cur_max
00007fff201ef24c (__TEXT,__text) external ____mb_cur_max_l
