00007ffa1fb7def1 (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1fb7ded4 (__TEXT,__text) external _CGLSetCurrentContext
00007ffa1fb73d7e (__TEXT,__text) external _glAccum
00007ffa1fb7a0c8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa1fb7c7da (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1fb76bcd (__TEXT,__text) external _glActiveTexture
00007ffa1fb7b4dd (__TEXT,__text) external _glActiveTextureARB
00007ffa1fb73d97 (__TEXT,__text) external _glAlphaFunc
00007ffa1fb73db0 (__TEXT,__text) external _glAreTexturesResident
00007ffa1fb73dcf (__TEXT,__text) external _glArrayElement
00007ffa1fb7c030 (__TEXT,__text) external _glAttachObjectARB
00007ffa1fb77fc1 (__TEXT,__text) external _glAttachShader
00007ffa1fb73de8 (__TEXT,__text) external _glBegin
00007ffa1fb78baa (__TEXT,__text) external _glBeginConditionalRender
00007ffa1fb7dde5 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1fb7778e (__TEXT,__text) external _glBeginQuery
00007ffa1fb7bd59 (__TEXT,__text) external _glBeginQueryARB
00007ffa1fb79e9d (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1fb78abc (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1fb7d020 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1fb7848a (__TEXT,__text) external _glBindAttribLocation
00007ffa1fb7c46c (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1fb7782e (__TEXT,__text) external _glBindBuffer
00007ffa1fb7bdf9 (__TEXT,__text) external _glBindBufferARB
00007ffa1fb78b16 (__TEXT,__text) external _glBindBufferBase
00007ffa1fb7cfff (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa1fb7cfdb (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1fb78aef (__TEXT,__text) external _glBindBufferRange
00007ffa1fb7cfb4 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1fb78ef4 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1fb7d570 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1fb795f7 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1fb7873a (__TEXT,__text) external _glBindFramebuffer
00007ffa1fb7cd4a (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1fb7ab8b (__TEXT,__text) external _glBindProgramARB
00007ffa1fb7a108 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1fb7867c (__TEXT,__text) external _glBindRenderbuffer
00007ffa1fb7cc8c (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1fb79694 (__TEXT,__text) external _glBindSampler
00007ffa1fb73e01 (__TEXT,__text) external _glBindTexture
00007ffa1fb79db8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1fb78981 (__TEXT,__text) external _glBindVertexArray
00007ffa1fb7da94 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa1fb73e1c (__TEXT,__text) external _glBitmap
00007ffa1fb76599 (__TEXT,__text) external _glBlendColor
00007ffa1fb7cc1c (__TEXT,__text) external _glBlendColorEXT
00007ffa1fb765b3 (__TEXT,__text) external _glBlendEquation
00007ffa1fb7cc36 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1fb7856a (__TEXT,__text) external _glBlendEquationSeparate
00007ffa1fb7dd67 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa1fb7cc52 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1fb79f38 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa1fb7c5be (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1fb79f1a (__TEXT,__text) external _glBlendEquationi
00007ffa1fb7c5a0 (__TEXT,__text) external _glBlendEquationiARB
00007ffa1fb73e3a (__TEXT,__text) external _glBlendFunc
00007ffa1fb774f4 (__TEXT,__text) external _glBlendFuncSeparate
