00007ffb0c4afdab (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb0c4b40c5 (__TEXT,__text) non-external -[MGDaemon .cxx_destruct]
00007ffb0c4b30fe (__TEXT,__text) non-external -[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]
00007ffb0c4b0634 (__TEXT,__text) non-external -[MGDaemon _ingestHomeKitHome:]
00007ffb0c4b1728 (__TEXT,__text) non-external -[MGDaemon addHomeKitAccessory:fromHome:]
00007ffb0c4b0e1f (__TEXT,__text) non-external -[MGDaemon addHomeKitHome:]
00007ffb0c4b1650 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:]
00007ffb0c4b1443 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:fromHome:]
00007ffb0c4b1236 (__TEXT,__text) non-external -[MGDaemon addHomeKitRoom:fromHome:]
00007ffb0c4b1029 (__TEXT,__text) non-external -[MGDaemon addHomeKitZone:fromHome:]
00007ffb0c4b3800 (__TEXT,__text) non-external -[MGDaemon addMember:group:completion:]
00007ffb0c4b408e (__TEXT,__text) non-external -[MGDaemon clients]
00007ffb0c4b2240 (__TEXT,__text) non-external -[MGDaemon createGroupWithType:name:members:completion:]
00007ffb0c4b2bd4 (__TEXT,__text) non-external -[MGDaemon deleteGroup:completion:]
00007ffb0c4b4084 (__TEXT,__text) non-external -[MGDaemon dispatchQueue]
00007ffb0c4b4098 (__TEXT,__text) non-external -[MGDaemon groupsMediator]
00007ffb0c4afdbd (__TEXT,__text) non-external -[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]
00007ffb0c4af24a (__TEXT,__text) non-external -[MGDaemon initWithServiceListenerProvider:]
00007ffb0c4afd43 (__TEXT,__text) non-external -[MGDaemon init]
00007ffb0c4b1d5c (__TEXT,__text) non-external -[MGDaemon listener:shouldAcceptNewConnection:]
00007ffb0c4b4070 (__TEXT,__text) non-external -[MGDaemon listenerProvider]
00007ffb0c4b407a (__TEXT,__text) non-external -[MGDaemon listener]
00007ffb0c4b40bb (__TEXT,__text) non-external -[MGDaemon queryAgent]
00007ffb0c4b1ba7 (__TEXT,__text) non-external -[MGDaemon removeHomeKitAccessory:fromHome:]
00007ffb0c4b0ec6 (__TEXT,__text) non-external -[MGDaemon removeHomeKitHome:]
00007ffb0c4b16bc (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:]
00007ffb0c4b14ea (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:fromHome:]
00007ffb0c4b12dd (__TEXT,__text) non-external -[MGDaemon removeHomeKitRoom:fromHome:]
00007ffb0c4b10d0 (__TEXT,__text) non-external -[MGDaemon removeHomeKitZone:fromHome:]
00007ffb0c4b38fb (__TEXT,__text) non-external -[MGDaemon removeMember:group:completion:]
00007ffb0c4b3705 (__TEXT,__text) non-external -[MGDaemon setName:group:completion:]
00007ffb0c4b40ac (__TEXT,__text) non-external -[MGDaemon setTopologyRequestHandler:]
00007ffb0c4b39f6 (__TEXT,__text) non-external -[MGDaemon startQueryWithPredicate:completion:]
00007ffb0c4b3e9a (__TEXT,__text) non-external -[MGDaemon stopQuery:completion:]
00007ffb0c4b40a2 (__TEXT,__text) non-external -[MGDaemon topologyRequestHandler]
00007ffb0c4aa02d (__TEXT,__text) non-external -[MGGroupsActivity .cxx_destruct]
00007ffb0c4a9df3 (__TEXT,__text) non-external -[MGGroupsActivity dealloc]
00007ffb0c4a9f50 (__TEXT,__text) non-external -[MGGroupsActivity description]
00007ffb0c4a9cd6 (__TEXT,__text) non-external -[MGGroupsActivity initWithName:]
00007ffb0c4aa019 (__TEXT,__text) non-external -[MGGroupsActivity name]
00007ffb0c4aa023 (__TEXT,__text) non-external -[MGGroupsActivity when]
00007ffb0c4a9ca5 (__TEXT,__text) non-external -[MGGroupsMediator .cxx_destruct]
00007ffb0c4a806a (__TEXT,__text) non-external -[MGGroupsMediator _withLock:]
00007ffb0c4a9c79 (__TEXT,__text) non-external -[MGGroupsMediator activities]
00007ffb0c4a89ea (__TEXT,__text) non-external -[MGGroupsMediator addGroup:]
00007ffb0c4a83df (__TEXT,__text) non-external -[MGGroupsMediator currentGroups]
00007ffb0c4a80a7 (__TEXT,__text) non-external -[MGGroupsMediator description]
00007ffb0c4a874a (__TEXT,__text) non-external -[MGGroupsMediator endActivity:]
00007ffb0c4a920c (__TEXT,__text) non-external -[MGGroupsMediator group:addMember:]
00007ffb0c4a965f (__TEXT,__text) non-external -[MGGroupsMediator group:removeMember:]
00007ffb0c4a8d82 (__TEXT,__text) non-external -[MGGroupsMediator group:renameTo:]
00007ffb0c4a7fcb (__TEXT,__text) non-external -[MGGroupsMediator groupsForUpdate_unsafe]
00007ffb0c4a7d88 (__TEXT,__text) non-external -[MGGroupsMediator groups_unsafe]
00007ffb0c4a9c92 (__TEXT,__text) non-external -[MGGroupsMediator hasPendingChanges]
00007ffb0c4a7ce4 (__TEXT,__text) non-external -[MGGroupsMediator initWithGroupsQueryAgent:]
00007ffb0c4a9c63 (__TEXT,__text) non-external -[MGGroupsMediator queryAgent]
00007ffb0c4a8bac (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:]
00007ffb0c4a7e90 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:ifExists_unsafe:]
00007ffb0c4a9ae3 (__TEXT,__text) non-external -[MGGroupsMediator removeGroupWithIdentifier:]
00007ffb0c4a9c83 (__TEXT,__text) non-external -[MGGroupsMediator setActivities:]
00007ffb0c4a9c9c (__TEXT,__text) non-external -[MGGroupsMediator setPendingChanges:]
00007ffb0c4a85b2 (__TEXT,__text) non-external -[MGGroupsMediator startActivityWithName:]
00007ffb0c4a7da9 (__TEXT,__text) non-external -[MGGroupsMediator upsertGroup_unsafe:]
00007ffb0c4ad517 (__TEXT,__text) non-external -[MGGroupsQueryAgent .cxx_destruct]
00007ffb0c4aa90e (__TEXT,__text) non-external -[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]
00007ffb0c4aaafb (__TEXT,__text) non-external -[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]
00007ffb0c4ac7b3 (__TEXT,__text) non-external -[MGGroupsQueryAgent _queryOperation:didFindGroups:]
00007ffb0c4aa8d1 (__TEXT,__text) non-external -[MGGroupsQueryAgent _withLock:]
00007ffb0c4acc9d (__TEXT,__text) non-external -[MGGroupsQueryAgent addOutstandingQuery:]
00007ffb0c4ad4cc (__TEXT,__text) non-external -[MGGroupsQueryAgent containers]
00007ffb0c4ad4c2 (__TEXT,__text) non-external -[MGGroupsQueryAgent currentIdentifier]
00007ffb0c4ad47f (__TEXT,__text) non-external -[MGGroupsQueryAgent delegate]
00007ffb0c4ad330 (__TEXT,__text) non-external -[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]
00007ffb0c4ad4b8 (__TEXT,__text) non-external -[MGGroupsQueryAgent groups]
00007ffb0c4aa308 (__TEXT,__text) non-external -[MGGroupsQueryAgent initWithDelegate:]
00007ffb0c4aa54b (__TEXT,__text) non-external -[MGGroupsQueryAgent init]
00007ffb0c4ad49f (__TEXT,__text) non-external -[MGGroupsQueryAgent operations]
00007ffb0c4ad4fe (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00007ffb0c4ad495 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00007ffb0c4ad02d (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00007ffb0c4ad4d6 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00007ffb0c4aa820 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00007ffb0c4aa6cc (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00007ffb0c4aa55f (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00007ffb0c4ad4a9 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00007ffb0c4ad508 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00007ffb0c4ad4ef (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00007ffb0c4ad4e5 (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00007ffb0c4ada28 (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00007ffb0c4ad9e4 (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00007ffb0c4ada06 (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00007ffb0c4ad57f (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00007ffb0c4ad69e (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00007ffb0c4ad9f5 (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00007ffb0c4ada17 (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00007ffb0c4af182 (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00007ffb0c4aefc4 (__TEXT,__text) non-external -[MGOutstandingQuery _predicateRequiresCurrentDevice:]
00007ffb0c4af164 (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00007ffb0c4aef13 (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00007ffb0c4af16e (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00007ffb0c4af178 (__TEXT,__text) non-external -[MGOutstandingQuery requiresTopology]
00007ffb0c4b4bc0 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00007ffb0c4b43a6 (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00007ffb0c4b45ed (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00007ffb0c4b4b91 (__TEXT,__text) non-external -[MGServiceClient connection]
00007ffb0c4b429f (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00007ffb0c4b4304 (__TEXT,__text) non-external -[MGServiceClient description]
00007ffb0c4b49eb (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00007ffb0c4b425b (__TEXT,__text) non-external -[MGServiceClient hash]
00007ffb0c4b4124 (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00007ffb0c4b41a4 (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00007ffb0c4b4848 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00007ffb0c4b4b9b (__TEXT,__text) non-external -[MGServiceClient queries]
00007ffb0c4b471f (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00007ffb0c4b43ea (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00007ffb0c4b4baf (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00007ffb0c4b4ba5 (__TEXT,__text) non-external -[MGServiceClient transaction]
00007ffb0c4b5206 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00007ffb0c4b4c50 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00007ffb0c4b4e12 (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00007ffb0c4b51ed (__TEXT,__text) non-external -[MGServiceClientSet clients]
00007ffb0c4b500b (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00007ffb0c4b4bf3 (__TEXT,__text) non-external -[MGServiceClientSet init]
00007ffb0c4b4f11 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00007ffb0c4b4c94 (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00007ffb0c4b51f7 (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00007ffb0c4aa2d5 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00007ffb0c4aa0ee (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00007ffb0c4aa2cb (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00007ffb0c4aa055 (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00007ffb0c4aa18d (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00007ffb0c4aa2c1 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00007ffb0c4aa1f6 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00007ffb0c4b5b24 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ffb0c4b5b60 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ffb0c4b5a10 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00007ffb0c4b5acc (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00007ffb0c4b5b74 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00007ffb0c4b5a20 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffb0c4b5a34 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00007ffb0c4b5a48 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ffb0c4b5b94 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ffb0c4b5a5c (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00007ffb0c4b5ae0 (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00007ffb0c4b5a74 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00007ffb0c4b5ba8 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
