0000000182baf198 (__DATA,__data) external _NDR_record
0000000180aa2d98 (__TEXT,__text) non-external __Xexception_raise
0000000180aa2c80 (__TEXT,__text) non-external __Xexception_raise_state
0000000180aa2b20 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180a8a92c (__TEXT,__text) external _____sigwait_nocancel
0000000180abcf88 (__TEXT,__const) external ____kernelVersionNumber
0000000180abcf50 (__TEXT,__const) external ____kernelVersionString
0000000180a8a958 (__TEXT,__text) external ___abort_with_payload
0000000180a8a984 (__TEXT,__text) external ___accept
0000000180a8a9b0 (__TEXT,__text) external ___accept_nocancel
0000000180a8a9dc (__TEXT,__text) external ___access_extended
0000000180a8aa08 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180a8aa34 (__TEXT,__text) external ___bind
0000000180a8aa60 (__TEXT,__text) external ___bsdthread_create
0000000180a8aa8c (__TEXT,__text) external ___bsdthread_ctl
0000000180a8aab8 (__TEXT,__text) external ___bsdthread_register
0000000180a8aae4 (__TEXT,__text) external ___bsdthread_terminate
0000000180aa1d0c (__TEXT,__text) external ___carbon_delete
0000000180a8ab10 (__TEXT,__text) external ___channel_get_info
0000000180a8ab3c (__TEXT,__text) external ___channel_get_opt
0000000180a8ab68 (__TEXT,__text) external ___channel_open
0000000180a8ab94 (__TEXT,__text) external ___channel_set_opt
0000000180a8abc0 (__TEXT,__text) external ___channel_sync
0000000180a8abec (__TEXT,__text) external ___chmod
0000000180a8ac18 (__TEXT,__text) external ___chmod_extended
0000000180a8ac44 (__TEXT,__text) external ___close_nocancel
0000000180a8ac70 (__TEXT,__text) external ___coalition
0000000180a8ac9c (__TEXT,__text) external ___coalition_info
0000000180a8acc8 (__TEXT,__text) external ___coalition_ledger
0000000180a93350 (__TEXT,__text) external ___commpage_gettimeofday
0000000180a93358 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180a8acf4 (__TEXT,__text) external ___connect
0000000180a8ad20 (__TEXT,__text) external ___connect_nocancel
0000000180a8ad4c (__TEXT,__text) external ___copyfile
0000000180a8ad78 (__TEXT,__text) external ___crossarch_trap
0000000180a8ada4 (__TEXT,__text) external ___csrctl
0000000180a99328 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180a8add0 (__TEXT,__text) external ___debug_syscall_reject
0000000180a8adfc (__TEXT,__text) external ___debug_syscall_reject_config
0000000180a8ae28 (__TEXT,__text) external ___delete
0000000180a8ae54 (__TEXT,__text) external ___disable_threadsignal
0000000180a93b10 (__TEXT,__text) external ___error
0000000180a8ae80 (__TEXT,__text) external ___execve
0000000180a8aeac (__TEXT,__text) external ___exit
0000000180a8aed8 (__TEXT,__text) external ___fchmod
0000000180a8af04 (__TEXT,__text) external ___fchmod_extended
0000000180a8af30 (__TEXT,__text) external ___fcntl
0000000180a8af5c (__TEXT,__text) external ___fcntl_nocancel
0000000180a8af88 (__TEXT,__text) external ___fork
0000000180a8afd4 (__TEXT,__text) external ___fs_snapshot
0000000180a8b000 (__TEXT,__text) external ___fstat64_extended
0000000180a8b02c (__TEXT,__text) external ___fstat_extended
0000000180a8b058 (__TEXT,__text) external ___fsync_nocancel
0000000180a9f744 (__TEXT,__text) external ___get_remove_counter
0000000180a8b084 (__TEXT,__text) external ___getattrlist
0000000180a8b0b0 (__TEXT,__text) external ___getdirentries64
0000000180a8b0dc (__TEXT,__text) external ___gethostuuid
0000000180a8b108 (__TEXT,__text) external ___getlogin
0000000180a8b134 (__TEXT,__text) external ___getpeername
0000000180a8b160 (__TEXT,__text) external ___getpid
0000000180a8b1b0 (__TEXT,__text) external ___getrlimit
0000000180a8b1dc (__TEXT,__text) external ___getsgroups
0000000180a8b208 (__TEXT,__text) external ___getsockname
0000000180a8b234 (__TEXT,__text) external ___gettid
0000000180a8b28c (__TEXT,__text) external ___gettimeofday
0000000180a8b260 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180a8b2bc (__TEXT,__text) external ___getwgroups
0000000180a8b2e8 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180a8b314 (__TEXT,__text) external ___guarded_open_np
0000000180a8b340 (__TEXT,__text) external ___identitysvc
