00007ff8400a4bd0 (__DATA,__data) external _NDR_record
00007ff800af25c8 (__TEXT,__text) non-external __Xexception_raise
00007ff800af2670 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800af2762 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800adf600 (__TEXT,__text) external _____sigwait_nocancel
00007ff800b08928 (__TEXT,__const) external ____kernelVersionNumber
00007ff800b088f0 (__TEXT,__const) external ____kernelVersionString
00007ff800adf618 (__TEXT,__text) external ___abort_with_payload
00007ff800adf630 (__TEXT,__text) external ___accept
00007ff800adf648 (__TEXT,__text) external ___accept_nocancel
00007ff800adf660 (__TEXT,__text) external ___access_extended
00007ff800adf678 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800adf690 (__TEXT,__text) external ___bind
00007ff800adf6a8 (__TEXT,__text) external ___bsdthread_create
00007ff800adf6c0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800adf6d8 (__TEXT,__text) external ___bsdthread_register
00007ff800adf6f0 (__TEXT,__text) external ___bsdthread_terminate
00007ff800af190d (__TEXT,__text) external ___carbon_delete
00007ff800adf708 (__TEXT,__text) external ___channel_get_info
00007ff800adf720 (__TEXT,__text) external ___channel_get_opt
00007ff800adf738 (__TEXT,__text) external ___channel_open
00007ff800adf750 (__TEXT,__text) external ___channel_set_opt
00007ff800adf768 (__TEXT,__text) external ___channel_sync
00007ff800adf780 (__TEXT,__text) external ___chmod
00007ff800adf798 (__TEXT,__text) external ___chmod_extended
00007ff800adf7b0 (__TEXT,__text) external ___close_nocancel
00007ff800adf7c8 (__TEXT,__text) external ___coalition
00007ff800adf7e0 (__TEXT,__text) external ___coalition_info
00007ff800adf7f8 (__TEXT,__text) external ___coalition_ledger
00007ff800ae536e (__TEXT,__text) external ___commpage_gettimeofday
00007ff800ae5375 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800adf810 (__TEXT,__text) external ___connect
00007ff800adf828 (__TEXT,__text) external ___connect_nocancel
00007ff800adf840 (__TEXT,__text) external ___copyfile
00007ff800adf858 (__TEXT,__text) external ___crossarch_trap
00007ff800adf870 (__TEXT,__text) external ___csrctl
00007ff800ae9f00 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800adf888 (__TEXT,__text) external ___debug_syscall_reject
00007ff800adf8a0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800adf8b8 (__TEXT,__text) external ___delete
00007ff800adf8d0 (__TEXT,__text) external ___disable_threadsignal
00007ff800ae5a7f (__TEXT,__text) external ___error
00007ff800adf8e8 (__TEXT,__text) external ___execve
00007ff800adf900 (__TEXT,__text) external ___exit
00007ff800adf918 (__TEXT,__text) external ___fchmod
00007ff800adf930 (__TEXT,__text) external ___fchmod_extended
00007ff800adf948 (__TEXT,__text) external ___fcntl
00007ff800adf960 (__TEXT,__text) external ___fcntl_nocancel
00007ff800adf978 (__TEXT,__text) external ___fork
00007ff800adf9b0 (__TEXT,__text) external ___fs_snapshot
