00007ff80efb4d35 (__TEXT,__text) external _BNNSAffineGridSample
00007ff80efba43c (__TEXT,__text) external _BNNSApplyMultiheadAttention
00007ff80efbaaf0 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
00007ff80efb9040 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
00007ff80efb7510 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
00007ff80efb4d0a (__TEXT,__text) external _BNNSBandPart
00007ff80f4c2d83 (__TEXT,__text) external _BNNSClearNetwork
00007ff80efb53c1 (__TEXT,__text) external _BNNSClipByGlobalNorm
00007ff80efb526f (__TEXT,__text) external _BNNSClipByNorm
00007ff80efb511d (__TEXT,__text) external _BNNSClipByValue
00007ff80efc26e2 (__TEXT,__text) external _BNNSCompareTensor
00007ff80efc1bd2 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
00007ff80efb551d (__TEXT,__text) external _BNNSComputeNorm
00007ff80efb566e (__TEXT,__text) external _BNNSComputeNormBackward
00007ff80f0748ac (__TEXT,__text) external _BNNSComputeSimilarities
00007ff80efbb1ea (__TEXT,__text) external _BNNSCopy
00007ff80efb20dc (__TEXT,__text) external _BNNSCreateNearestNeighbors
00007ff80efb6500 (__TEXT,__text) external _BNNSCreateRandomGenerator
00007ff80efb650a (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
00007ff80efb4d17 (__TEXT,__text) external _BNNSCropResize
00007ff80efb4d21 (__TEXT,__text) external _BNNSCropResizeBackward
00007ff80efc2735 (__TEXT,__text) external _BNNSDataLayoutGetRank
00007ff80ed35f74 (__TEXT,__text) external _BNNSDequantize
00007ff80efb20e6 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
00007ff80efb6514 (__TEXT,__text) external _BNNSDestroyRandomGenerator
00007ff80efc1c8c (__TEXT,__text) external _BNNSDirectApplyActivationBatch
00007ff80efc1d18 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
00007ff80efc1bbe (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
