                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018e5fe36c (__TEXT,__text) external __cg_jcopy_block_row
000000018e5fe314 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018e618df0 (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018e5f544c (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018e5fd85c (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018e5fe384 (__TEXT,__text) external __cg_jinit_c_main_controller
000000018e608520 (__TEXT,__text) external __cg_jinit_c_master_control
000000018e5fe5c8 (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018e5f434c (__TEXT,__text) external __cg_jinit_color_converter
000000018e5fcd9c (__TEXT,__text) external __cg_jinit_color_deconverter
000000018e5f41d4 (__TEXT,__text) external __cg_jinit_compress_master
000000018e6074b8 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018e609f2c (__TEXT,__text) external __cg_jinit_d_main_controller
000000018e60ab7c (__TEXT,__text) external __cg_jinit_d_post_controller
000000018e6112d8 (__TEXT,__text) external __cg_jinit_downsampler
000000018e5fc1c4 (__TEXT,__text) external __cg_jinit_forward_dct
000000018e612784 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018e616584 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018e5ff684 (__TEXT,__text) external __cg_jinit_input_controller
000000018e5f4c5c (__TEXT,__text) external __cg_jinit_inverse_dct
000000018e5f6aac (__TEXT,__text) external __cg_jinit_marker_reader
000000018e615104 (__TEXT,__text) external __cg_jinit_marker_writer
000000018e609930 (__TEXT,__text) external __cg_jinit_master_decompress
000000018e61a03c (__TEXT,__text) external __cg_jinit_memory_mgr
000000018e6120d8 (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018e60a600 (__TEXT,__text) external __cg_jinit_upsampler
000000018e610e18 (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018e5fed50 (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018e5f8e80 (__TEXT,__text) external __cg_jpeg_abort
000000018e610f44 (__TEXT,__text) external __cg_jpeg_abort_compress
000000018e5fee58 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018e6068cc (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018e5f8f3c (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000018e5f8f10 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
000000018e60957c (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000018e5feef4 (__TEXT,__text) external __cg_jpeg_consume_input
000000018e614b48 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
000000018e606d30 (__TEXT,__text) external __cg_jpeg_default_colorspace
000000018e5f8ed4 (__TEXT,__text) external __cg_jpeg_destroy
000000018e610f40 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000018e5fee54 (__TEXT,__text) external __cg_jpeg_destroy_decompress
000000018e619a68 (__TEXT,__text) external __cg_jpeg_fdct_float
000000018e614730 (__TEXT,__text) external __cg_jpeg_fdct_ifast
000000018e60b52c (__TEXT,__text) external __cg_jpeg_fdct_islow
000000018e610f98 (__TEXT,__text) external __cg_jpeg_finish_compress
000000018e5ff27c (__TEXT,__text) external __cg_jpeg_finish_decompress
000000018e6164cc (__TEXT,__text) external __cg_jpeg_finish_output
000000018e5fa650 (__TEXT,__text) external __cg_jpeg_free_large
000000018e5fa640 (__TEXT,__text) external __cg_jpeg_free_small
000000018e5fa648 (__TEXT,__text) external __cg_jpeg_get_large
000000018e5fa638 (__TEXT,__text) external __cg_jpeg_get_small
000000018e5ff224 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000018e601024 (__TEXT,__text) external __cg_jpeg_idct_1x1
000000018e600f88 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000018e600c78 (__TEXT,__text) external __cg_jpeg_idct_4x4
000000018e60b198 (__TEXT,__text) external __cg_jpeg_idct_float
000000018e5fbdc8 (__TEXT,__text) external __cg_jpeg_idct_ifast
000000018e600000 (__TEXT,__text) external __cg_jpeg_idct_islow
000000018e5ff1cc (__TEXT,__text) external __cg_jpeg_input_complete
000000018e5fa658 (__TEXT,__text) external __cg_jpeg_mem_available
000000018e5fa85c (__TEXT,__text) external __cg_jpeg_mem_init
000000018e5fa868 (__TEXT,__text) external __cg_jpeg_mem_term
000000018e61ba60 (__TEXT,__const) external __cg_jpeg_natural_order
000000018e609880 (__TEXT,__text) external __cg_jpeg_new_colormap
000000018e5fa668 (__TEXT,__text) external __cg_jpeg_open_backing_store
000000018e606ab8 (__TEXT,__text) external __cg_jpeg_quality_scaling
000000018e60afc8 (__TEXT,__text) external __cg_jpeg_read_coefficients
000000018e5fee5c (__TEXT,__text) external __cg_jpeg_read_header
000000018e616340 (__TEXT,__text) external __cg_jpeg_read_raw_data
000000018e616260 (__TEXT,__text) external __cg_jpeg_read_scanlines
000000018e5f6820 (__TEXT,__text) external __cg_jpeg_resync_to_restart
000000018e5f83a8 (__TEXT,__text) external __cg_jpeg_save_markers
000000018e606dc8 (__TEXT,__text) external __cg_jpeg_set_colorspace
000000018e606b94 (__TEXT,__text) external __cg_jpeg_set_defaults
000000018e606a48 (__TEXT,__text) external __cg_jpeg_set_linear_quality
000000018e5f8704 (__TEXT,__text) external __cg_jpeg_set_marker_processor
000000018e606af0 (__TEXT,__text) external __cg_jpeg_set_quality
000000018e607174 (__TEXT,__text) external __cg_jpeg_simple_progression
000000018e606600 (__TEXT,__text) external __cg_jpeg_start_compress
000000018e61602c (__TEXT,__text) external __cg_jpeg_start_decompress
000000018e61643c (__TEXT,__text) external __cg_jpeg_start_output
000000018e611e38 (__TEXT,__text) external __cg_jpeg_std_error
000000018e5f8f68 (__TEXT,__text) external __cg_jpeg_std_huff_table
000000018e61b84d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
000000018e61b79a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
000000018e61b77d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
000000018e61b760 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
000000018e61b85e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
000000018e61b7ab (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
000000018e61b78e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
000000018e61b771 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001d47311f0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
000000018e619c90 (__TEXT,__text) external __cg_jpeg_stdio_dest
000000018e5fa86c (__TEXT,__text) external __cg_jpeg_stdio_src
000000018e610f48 (__TEXT,__text) external __cg_jpeg_suppress_tables
000000018e614968 (__TEXT,__text) external __cg_jpeg_write_coefficients
000000018e61122c (__TEXT,__text) external __cg_jpeg_write_m_byte
000000018e6111a0 (__TEXT,__text) external __cg_jpeg_write_m_header
000000018e6110fc (__TEXT,__text) external __cg_jpeg_write_marker
000000018e6067b8 (__TEXT,__text) external __cg_jpeg_write_raw_data
000000018e6066b0 (__TEXT,__text) external __cg_jpeg_write_scanlines
000000018e611238 (__TEXT,__text) external __cg_jpeg_write_tables
000000018e5fe300 (__TEXT,__text) external __cg_jround_up
000000018e5fd838 (__TEXT,__text) external __cg_switch_color_deconverter
000000018e61ab4c (__TEXT,__text) non-external _access_virt_barray
000000018e61a974 (__TEXT,__text) non-external _access_virt_sarray
000000018e61a540 (__TEXT,__text) non-external _alloc_barray
000000018e61957c (__TEXT,__text) non-external _alloc_fs_workspace
000000018e61a338 (__TEXT,__text) non-external _alloc_large
000000018e61a448 (__TEXT,__text) non-external _alloc_sarray
000000018e61a184 (__TEXT,__text) non-external _alloc_small
000000018e5fbbfc (__TEXT,__text) non-external _arith_decode
000000018e5fa398 (__TEXT,__text) non-external _arith_encode
000000018e61c5cc (__TEXT,__const) non-external _base_dither_matrix
000000018e61c58c (__TEXT,__const) non-external _bmask
000000018e5fd508 (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
000000018e5fa854 (__TEXT,__text) non-external _close_backing_store
000000018e5f4b50 (__TEXT,__text) non-external _cmyk_ycck_convert
000000018e619668 (__TEXT,__text) non-external _color_quantize
000000018e6195f4 (__TEXT,__text) non-external _color_quantize3
