000000019dd295d0 (__TEXT,__text) non-external +[Calculate _lock]
000000019dd296d4 (__TEXT,__text) non-external +[Calculate _resetGlobals]
000000019dd29578 (__TEXT,__text) non-external +[Calculate _unlock]
000000019dd1cef0 (__TEXT,__text) non-external +[Calculate evaluate:options:]
000000019dd1d6dc (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
000000019dd1cf44 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
000000019dd1d648 (__TEXT,__text) non-external +[CalculateRequest _lock]
000000019dd1d63c (__TEXT,__text) non-external +[CalculateRequest _unlock]
000000019dd1d5a4 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
000000019dd293f4 (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
000000019dd294ac (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
000000019dd28ea0 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
000000019dd28f74 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
000000019dd24d40 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
000000019dd29d78 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
000000019dd2d424 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
000000019dd2d4b4 (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
000000019dd28428 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
000000019dd321d4 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
000000019dd32234 (__TEXT,__text) non-external +[Converter dispatchQueue]
000000019dd322d0 (__TEXT,__text) non-external +[Converter initialize]
000000019dd3218c (__TEXT,__text) non-external +[Converter needsRefresh]
000000019dd320fc (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
000000019dd32144 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
000000019dd07550 (__TEXT,__text) non-external +[CurrencyCache shared]
000000019dd1950c (__TEXT,__text) non-external +[Localize availableLocaleNames]
000000019dd19118 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
000000019dd193d4 (__TEXT,__text) non-external +[Localize localizationForLocale:]
000000019dd19038 (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
000000019dd18f98 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
000000019dd1956c (__TEXT,__text) non-external +[Localize mainBundle]
000000019dd19734 (__TEXT,__text) non-external +[Localize systemLocale]
000000019dd195ac (__TEXT,__text) non-external +[Localize systemLocales]
000000019dd1cd5c (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
000000019dd1c4ac (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
000000019dd1a068 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
000000019dd1c0e4 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
000000019dd1c084 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
000000019dd1d0a4 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
000000019dd1d234 (__TEXT,__text) non-external -[CalculateRequest cancel]
000000019dd1d154 (__TEXT,__text) non-external -[CalculateRequest expression]
000000019dd1d15c (__TEXT,__text) non-external -[CalculateRequest finish]
000000019dd1d118 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
000000019dd1d140 (__TEXT,__text) non-external -[CalculateRequest options]
000000019dd1d108 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
000000019dd1d12c (__TEXT,__text) non-external -[CalculateRequest result]
000000019dd1d148 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
000000019dd1d110 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
000000019dd1d134 (__TEXT,__text) non-external -[CalculateRequest setOptions:]
000000019dd1d120 (__TEXT,__text) non-external -[CalculateRequest setResult:]
000000019dd1d100 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
000000019dd1d300 (__TEXT,__text) non-external -[CalculateRequest update]
000000019dd25788 (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
000000019dd28d78 (__TEXT,__text) non-external -[CalculateResult _setConversions:]
000000019dd28d00 (__TEXT,__text) non-external -[CalculateResult _setExpression:]
000000019dd28d0c (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
000000019dd28bcc (__TEXT,__text) non-external -[CalculateResult _setTerms:]
000000019dd2592c (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
000000019dd267e0 (__TEXT,__text) non-external -[CalculateResult availableConversions]
000000019dd268a8 (__TEXT,__text) non-external -[CalculateResult bestConversion]
000000019dd288bc (__TEXT,__text) non-external -[CalculateResult compare:]
000000019dd27628 (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
000000019dd258e4 (__TEXT,__text) non-external -[CalculateResult conversions]
000000019dd25a04 (__TEXT,__text) non-external -[CalculateResult convertedTo:]
000000019dd25d74 (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
000000019dd28acc (__TEXT,__text) non-external -[CalculateResult dealloc]
000000019dd25964 (__TEXT,__text) non-external -[CalculateResult description]
000000019dd28574 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
000000019dd2595c (__TEXT,__text) non-external -[CalculateResult expression]
000000019dd2591c (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
000000019dd28848 (__TEXT,__text) non-external -[CalculateResult formattedExpression]
000000019dd286dc (__TEXT,__text) non-external -[CalculateResult formattedResult]
000000019dd258dc (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
000000019dd28b54 (__TEXT,__text) non-external -[CalculateResult init]
000000019dd258ec (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
000000019dd274c0 (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
000000019dd2884c (__TEXT,__text) non-external -[CalculateResult isEqual:]
000000019dd2590c (__TEXT,__text) non-external -[CalculateResult isTrivial]
000000019dd25940 (__TEXT,__text) non-external -[CalculateResult locales]
000000019dd2586c (__TEXT,__text) non-external -[CalculateResult localizeUnit]
000000019dd25f7c (__TEXT,__text) non-external -[CalculateResult localizedConversions]
000000019dd27a18 (__TEXT,__text) non-external -[CalculateResult newUnit:]
000000019dd25954 (__TEXT,__text) non-external -[CalculateResult numberFormatter]
000000019dd258a0 (__TEXT,__text) non-external -[CalculateResult parent]
000000019dd2588c (__TEXT,__text) non-external -[CalculateResult parseTree]
000000019dd2587c (__TEXT,__text) non-external -[CalculateResult resultTree]
000000019dd25924 (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
000000019dd25914 (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
000000019dd25934 (__TEXT,__text) non-external -[CalculateResult setLocales:]
000000019dd25864 (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
000000019dd25948 (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
000000019dd25894 (__TEXT,__text) non-external -[CalculateResult setParent:]
000000019dd25884 (__TEXT,__text) non-external -[CalculateResult setParseTree:]
000000019dd25874 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
000000019dd2581c (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
000000019dd258cc (__TEXT,__text) non-external -[CalculateResult setSynchronous:]
000000019dd2582c (__TEXT,__text) non-external -[CalculateResult setTypeInfo:]
000000019dd25854 (__TEXT,__text) non-external -[CalculateResult setUnitFormat:]
000000019dd25840 (__TEXT,__text) non-external -[CalculateResult setUnitsInfo:]
000000019dd25824 (__TEXT,__text) non-external -[CalculateResult singleUnitID]
000000019dd258d4 (__TEXT,__text) non-external -[CalculateResult synchronous]
000000019dd258f4 (__TEXT,__text) non-external -[CalculateResult terms]
000000019dd25838 (__TEXT,__text) non-external -[CalculateResult typeInfo]
000000019dd258fc (__TEXT,__text) non-external -[CalculateResult unitExponent]
000000019dd2585c (__TEXT,__text) non-external -[CalculateResult unitFormat]
000000019dd25904 (__TEXT,__text) non-external -[CalculateResult unitType]
000000019dd2584c (__TEXT,__text) non-external -[CalculateResult unitsInfo]
000000019dd22fb4 (__TEXT,__text) non-external -[CalculateTerm .cxx_destruct]
000000019dd24ca8 (__TEXT,__text) non-external -[CalculateTerm _setDecimalValue:]
000000019dd23d10 (__TEXT,__text) non-external -[CalculateTerm _valueWithoutIrrelevantDecimals]
000000019dd230d0 (__TEXT,__text) non-external -[CalculateTerm compare:]
000000019dd23008 (__TEXT,__text) non-external -[CalculateTerm decimalValue]
000000019dd2305c (__TEXT,__text) non-external -[CalculateTerm description]
000000019dd23cb0 (__TEXT,__text) non-external -[CalculateTerm emptyNumeratorString]
000000019dd232a8 (__TEXT,__text) non-external -[CalculateTerm formattedResult]
000000019dd2360c (__TEXT,__text) non-external -[CalculateTerm formattedUnitReplacingFirstNumerator:]
000000019dd23b50 (__TEXT,__text) non-external -[CalculateTerm formattedUnit]
000000019dd23f8c (__TEXT,__text) non-external -[CalculateTerm formattedValue]
000000019dd24924 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:]
000000019dd2458c (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]
000000019dd24cfc (__TEXT,__text) non-external -[CalculateTerm init]
000000019dd2497c (__TEXT,__text) non-external -[CalculateTerm isCurrency]
000000019dd23060 (__TEXT,__text) non-external -[CalculateTerm isEqual:]
000000019dd24a18 (__TEXT,__text) non-external -[CalculateTerm locale]
000000019dd24b44 (__TEXT,__text) non-external -[CalculateTerm numberFormatter]
000000019dd23b58 (__TEXT,__text) non-external -[CalculateTerm primaryUnit]
000000019dd24c08 (__TEXT,__text) non-external -[CalculateTerm resultContainingNumberFormatter]
000000019dd23020 (__TEXT,__text) non-external -[CalculateTerm result]
000000019dd23000 (__TEXT,__text) non-external -[CalculateTerm setDecimalValue:]
000000019dd23014 (__TEXT,__text) non-external -[CalculateTerm setResult:]
000000019dd2304c (__TEXT,__text) non-external -[CalculateTerm units]
000000019dd23054 (__TEXT,__text) non-external -[CalculateTerm value]
000000019dd29bac (__TEXT,__text) non-external -[CalculateToken .cxx_destruct]
000000019dd29cb4 (__TEXT,__text) non-external -[CalculateToken initWithType:range:text:ranks:]
000000019dd29c14 (__TEXT,__text) non-external -[CalculateToken isEqual:]
000000019dd29c08 (__TEXT,__text) non-external -[CalculateToken range]
000000019dd29bf0 (__TEXT,__text) non-external -[CalculateToken ranks]
000000019dd29bf8 (__TEXT,__text) non-external -[CalculateToken text]
000000019dd29c00 (__TEXT,__text) non-external -[CalculateToken tokenType]
000000019dd29e1c (__TEXT,__text) non-external -[CalculateTokenizer .cxx_destruct]
000000019dd2a090 (__TEXT,__text) non-external -[CalculateTokenizer _findTokens]
000000019dd2bf20 (__TEXT,__text) non-external -[CalculateTokenizer _loadIfNeeded]
000000019dd29f40 (__TEXT,__text) non-external -[CalculateTokenizer index]
000000019dd2d368 (__TEXT,__text) non-external -[CalculateTokenizer initWithUnits:]
000000019dd29ecc (__TEXT,__text) non-external -[CalculateTokenizer lastToken]
000000019dd29f30 (__TEXT,__text) non-external -[CalculateTokenizer locales]
000000019dd2a010 (__TEXT,__text) non-external -[CalculateTokenizer nextToken]
000000019dd29ef0 (__TEXT,__text) non-external -[CalculateTokenizer peekIndex]
000000019dd29f48 (__TEXT,__text) non-external -[CalculateTokenizer peekToken]
000000019dd29ee0 (__TEXT,__text) non-external -[CalculateTokenizer peekTokens]
000000019dd2bea4 (__TEXT,__text) non-external -[CalculateTokenizer reset]
000000019dd29ec0 (__TEXT,__text) non-external -[CalculateTokenizer setLastToken:]
000000019dd2b890 (__TEXT,__text) non-external -[CalculateTokenizer setLocales:]
000000019dd29ee8 (__TEXT,__text) non-external -[CalculateTokenizer setPeekIndex:]
000000019dd29ed4 (__TEXT,__text) non-external -[CalculateTokenizer setPeekTokens:]
000000019dd2b8d4 (__TEXT,__text) non-external -[CalculateTokenizer setString:]
000000019dd29ef8 (__TEXT,__text) non-external -[CalculateTokenizer setStringLength:]
000000019dd29f08 (__TEXT,__text) non-external -[CalculateTokenizer setTrie:]
000000019dd29f1c (__TEXT,__text) non-external -[CalculateTokenizer setUnitsInfo:]
000000019dd29eac (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndices:]
000000019dd29e9c (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndicesIndex:]
000000019dd29f00 (__TEXT,__text) non-external -[CalculateTokenizer stringLength]
000000019dd29f38 (__TEXT,__text) non-external -[CalculateTokenizer string]
000000019dd29f14 (__TEXT,__text) non-external -[CalculateTokenizer trie]
000000019dd29f28 (__TEXT,__text) non-external -[CalculateTokenizer unitsInfo]
000000019dd29ea4 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndicesIndex]
000000019dd29eb8 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndices]
000000019dd27a9c (__TEXT,__text) non-external -[CalculateUnit .cxx_destruct]
000000019dd2820c (__TEXT,__text) non-external -[CalculateUnit compactNameForLocalization:]
000000019dd27c48 (__TEXT,__text) non-external -[CalculateUnit compare:]
000000019dd27b24 (__TEXT,__text) non-external -[CalculateUnit description]
000000019dd27b14 (__TEXT,__text) non-external -[CalculateUnit exponent]
000000019dd2828c (__TEXT,__text) non-external -[CalculateUnit formatNextSmallest]
000000019dd283ec (__TEXT,__text) non-external -[CalculateUnit isDenominator]
000000019dd27bd8 (__TEXT,__text) non-external -[CalculateUnit isEqual:]
000000019dd28408 (__TEXT,__text) non-external -[CalculateUnit isNumerator]
000000019dd27ccc (__TEXT,__text) non-external -[CalculateUnit localizedNameForValue:localization:retainingFormat:]
000000019dd27b1c (__TEXT,__text) non-external -[CalculateUnit name]
000000019dd28294 (__TEXT,__text) non-external -[CalculateUnit nextSmallest]
000000019dd27b00 (__TEXT,__text) non-external -[CalculateUnit setNextSmallest:]
000000019dd27aec (__TEXT,__text) non-external -[CalculateUnit setUnitInfo:]
000000019dd27af8 (__TEXT,__text) non-external -[CalculateUnit unitInfo]
