00007ff8027a6886 (__TEXT,__text) external _NSAddImage
00007ff8027a6850 (__TEXT,__text) external _NSAddLibrary
00007ff8027a686b (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff8027a65bd (__TEXT,__text) external _NSAddressOfSymbol
00007ff8027a663f (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8027a653a (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff8027a665d (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff8027a657b (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff8027a683c (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8027a66c8 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff8027a6739 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff8027a6772 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8027a6754 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff8027a6701 (__TEXT,__text) external _NSLibraryNameForModule
00007ff8027a6818 (__TEXT,__text) external _NSLinkEditError
00007ff8027a655b (__TEXT,__text) external _NSLinkModule
00007ff8027a6790 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8027a67ab (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8027a67c9 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff8027a659f (__TEXT,__text) external _NSLookupSymbolInModule
00007ff8027a67fd (__TEXT,__text) external _NSModuleForSymbol
00007ff8027a66e6 (__TEXT,__text) external _NSNameOfModule
00007ff8027a67e9 (__TEXT,__text) external _NSNameOfSymbol
00007ff8027a6678 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff8027a668c (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8027a66a0 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff8027a66b4 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8027a671c (__TEXT,__text) external _NSUnLinkModule
00007ff8027a5f94 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff8027a6016 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff84368f220 (__DATA_DIRTY,__common) external _NXArgc
00007ff84368f228 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff8027a5dce (__TEXT,__text) external __NSGetExecutablePath
