                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffb1d73c57e (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1d73cd90 (__TEXT,__const) external _libopenpam
00007ffb1d73c990 (__TEXT,__text) external _misc_conv
00007ffb1d73c73f (__TEXT,__text) external _pam_acct_mgmt
00007ffb1d73c673 (__TEXT,__text) external _pam_authenticate
00007ffb1d73c7a5 (__TEXT,__text) external _pam_chauthtok
00007ffb1d73c869 (__TEXT,__text) external _pam_close_session
00007ffb1d73c61d (__TEXT,__text) external _pam_end
00007ffb1d73cb41 (__TEXT,__text) external _pam_get_data
00007ffb1d73c92b (__TEXT,__text) external _pam_get_item
00007ffb1d73ccfd (__TEXT,__text) external _pam_get_pass
00007ffb1d73cc19 (__TEXT,__text) external _pam_get_user
00007ffb1d73caa8 (__TEXT,__text) external _pam_getenv
00007ffb1d73caf7 (__TEXT,__text) external _pam_getenvlist
00007ffb1d73c80c (__TEXT,__text) external _pam_open_session
00007ffb1d73cc7e (__TEXT,__text) external _pam_prompt
00007ffb1d73ca52 (__TEXT,__text) external _pam_putenv
00007ffb1d73cba6 (__TEXT,__text) external _pam_set_data
00007ffb1d73c8c6 (__TEXT,__text) external _pam_set_item
00007ffb1d73c6d9 (__TEXT,__text) external _pam_setcred
00007ffb1d73c5aa (__TEXT,__text) external _pam_start
00007ffb1d73ca03 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffb1d73c50c (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffb1d73c521 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffb1d73c576 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffb1d73c553 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffb1d73c536 (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffb1d73c546 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
