00000001804238b8 (__TEXT,__text) external _OSAtomicAdd32
00000001804238c4 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180423910 (__TEXT,__text) external _OSAtomicAdd64
000000018042391c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180423968 (__TEXT,__text) external _OSAtomicAnd32
0000000180423978 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180423988 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180423994 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804239f0 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180423a04 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180423a90 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180423aa4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180423a40 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180423a54 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180423a68 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180423a7c (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180423a18 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180423a2c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804238f0 (__TEXT,__text) external _OSAtomicDecrement32
0000000180423900 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180423948 (__TEXT,__text) external _OSAtomicDecrement64
0000000180423958 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180423c3c (__TEXT,__text) external _OSAtomicDequeue
0000000180423bc8 (__TEXT,__text) external _OSAtomicEnqueue
00000001804226d0 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180422690 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001804238d0 (__TEXT,__text) external _OSAtomicIncrement32
00000001804238e0 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180423928 (__TEXT,__text) external _OSAtomicIncrement64
0000000180423938 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804239a0 (__TEXT,__text) external _OSAtomicOr32
00000001804239ac (__TEXT,__text) external _OSAtomicOr32Barrier
00000001804239b8 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804239c0 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180423b40 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180423b84 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180423ab8 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180423afc (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804239c8 (__TEXT,__text) external _OSAtomicXor32
00000001804239d4 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804239e0 (__TEXT,__text) external _OSAtomicXor32Orig
00000001804239e8 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180423cb8 (__TEXT,__text) external _OSMemoryBarrier
0000000180422924 (__TEXT,__text) external _OSSpinLockLock
0000000180422940 (__TEXT,__text) external _OSSpinLockTry
0000000180422970 (__TEXT,__text) external _OSSpinLockUnlock
0000000180425788 (__TEXT,__const) non-external __0x
00000001804257f9 (__TEXT,__cstring) non-external __H
0000000180423c94 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180423c14 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001804227dc (__TEXT,__text) external __OSSpinLockLockSlow
0000000180422854 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180424a00 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182474010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180420560 (__TEXT,__text) external ___libplatform_init
0000000180423274 (__TEXT,__text) external ___os_once_reset
00000001804225a4 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180425780 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180425748 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180423d30 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180420a68 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180424eec (__TEXT,__text) external __ctx_done
0000000180425220 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804214cc (__TEXT,__text) non-external __enlarge
00000001804252d8 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180421394 (__TEXT,__text) non-external __flush
0000000180420a3c (__TEXT,__text) non-external __flush_reset
000000018042580a (__TEXT,__cstring) non-external __h
0000000180423e0c (__TEXT,__text) external __longjmp
00000001804235f0 (__TEXT,__text) non-external __os_alloc
00000001804254e4 (__TEXT,__text) non-external __os_alloc.cold.1
0000000182474008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804235a0 (__TEXT,__text) external __os_alloc_once
00000001804236ac (__TEXT,__text) non-external __os_alloc_slow
0000000180425300 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804229c0 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180422a10 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001804229e4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180422a04 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180423210 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180423234 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180423254 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
000000018042544c (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180422978 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180422998 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001804229b4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180425790 (__TEXT,__const) non-external __os_lock_type_base
00000001824ae688 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001824ae6a8 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001824ae6e8 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001824ae688 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001824ae688 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001824ae6c8 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180422fa4 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180422fcc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180422fec (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
000000018042300c (__TEXT,__text) external __os_nospin_lock_lock
000000018042302c (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180423128 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180423144 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180423160 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
000000018042333c (__TEXT,__text) external __os_once
000000018042339c (__TEXT,__text) non-external __os_once_callout
0000000180423290 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180425424 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804253d4 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804253fc (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180423410 (__TEXT,__text) non-external __os_once_gate_wait
00000001804237dc (__TEXT,__text) external __os_semaphore_create
000000018042550c (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180425534 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180423830 (__TEXT,__text) external __os_semaphore_dispose
000000018042555c (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180423860 (__TEXT,__text) external __os_semaphore_signal
0000000180425584 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180423880 (__TEXT,__text) external __os_semaphore_wait
00000001804255ac (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180425378 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180422af8 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180425328 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180422ca0 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180425350 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180424a00 (__TEXT,__text) external __platform_bzero
000000018042403c (__TEXT,__text) external __platform_memccpy
0000000180424620 (__TEXT,__text) external __platform_memchr
0000000180424730 (__TEXT,__text) external __platform_memcmp
0000000180424b40 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001804241e0 (__TEXT,__text) external __platform_memmove
0000000180424a60 (__TEXT,__text) external __platform_memset
0000000180424c40 (__TEXT,__text) external __platform_memset_pattern16
0000000180424c00 (__TEXT,__text) external __platform_memset_pattern4
0000000180424c20 (__TEXT,__text) external __platform_memset_pattern8
0000000180424de0 (__TEXT,__text) external __platform_strchr
00000001804244d0 (__TEXT,__text) external __platform_strcmp
