000000018ba03310 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018ba02260 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018ba03600 (__TEXT,__text) external _BZ2_bzCompress
000000018ba0378c (__TEXT,__text) external _BZ2_bzCompressEnd
000000018ba03418 (__TEXT,__text) external _BZ2_bzCompressInit
000000018ba02448 (__TEXT,__text) external _BZ2_bzDecompress
000000018ba0328c (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018ba02370 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018ba067f8 (__TEXT,__text) external _BZ2_bzRead
000000018ba06750 (__TEXT,__text) external _BZ2_bzReadClose
000000018ba06a00 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018ba065c8 (__TEXT,__text) external _BZ2_bzReadOpen
000000018ba06264 (__TEXT,__text) external _BZ2_bzWrite
000000018ba063ac (__TEXT,__text) external _BZ2_bzWriteClose
000000018ba063bc (__TEXT,__text) external _BZ2_bzWriteClose64
000000018ba06120 (__TEXT,__text) external _BZ2_bzWriteOpen
000000018ba06d6c (__TEXT,__text) external _BZ2_bzclose
000000018ba06cb4 (__TEXT,__text) external _BZ2_bzdopen
000000018ba06e30 (__TEXT,__text) external _BZ2_bzerror
000000018ba06d64 (__TEXT,__text) external _BZ2_bzflush
000000018ba05cb4 (__TEXT,__text) external _BZ2_bzlibVersion
000000018ba06a74 (__TEXT,__text) external _BZ2_bzopen
000000018ba06cc8 (__TEXT,__text) external _BZ2_bzread
000000018ba06d18 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
