00007ff817e94e1a (__TEXT,__text) non-external .L_4X1_compute_olimit
00007ff817e951ee (__TEXT,__text) non-external .L_4X1_exit
00007ff817e94f00 (__TEXT,__text) non-external .L_4X1_loop_body
00007ff817e952a4 (__TEXT,__text) non-external .L_4X2_compute_olimit
00007ff817e95720 (__TEXT,__text) non-external .L_4X2_exit
00007ff817e953c0 (__TEXT,__text) non-external .L_4X2_loop_body
00007ff818119398 (__TEXT,__gcc_except_tab) non-external GCC_except_table1385
00007ff8181193b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2878
00007ff818119414 (__TEXT,__gcc_except_tab) non-external GCC_except_table4143
00007ff818119428 (__TEXT,__gcc_except_tab) non-external GCC_except_table4144
00007ff818119440 (__TEXT,__gcc_except_tab) non-external GCC_except_table4145
00007ff81811944c (__TEXT,__gcc_except_tab) non-external GCC_except_table4146
00007ff81811948c (__TEXT,__gcc_except_tab) non-external GCC_except_table4147
00007ff8181194a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table4148
00007ff818119524 (__TEXT,__gcc_except_tab) non-external GCC_except_table4149
00007ff818119650 (__TEXT,__gcc_except_tab) non-external GCC_except_table4156
00007ff81811966c (__TEXT,__gcc_except_tab) non-external GCC_except_table4166
00007ff817e94dc0 (__TEXT,__text) non-external (was a private external) HUF_decompress4X1_usingDTable_internal_bmi2_asm_loop
00007ff817e9523d (__TEXT,__text) non-external (was a private external) HUF_decompress4X2_usingDTable_internal_bmi2_asm_loop
00007ff8180f0640 (__TEXT,__const) non-external _BIT_mask
00007ff8180f1450 (__TEXT,__const) non-external _BIT_mask
00007ff8180db6ed (__TEXT,__text) non-external _BestLanguageDictionaryEqualCallBack
00007ff8180db7bc (__TEXT,__text) non-external _BestLanguageDictionaryHashCallBack
00007ff817e20c06 (__TEXT,__text) non-external _BulkPayloadIterator_Step
00007ff818076e98 (__TEXT,__text) non-external _BulkPositionIterator_Step_Compressed
00007ff81807751c (__TEXT,__text) non-external _BulkPositionIterator_Step_Live
00007ff81807d9d5 (__TEXT,__text) non-external _BulkPullback
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAllocatorAllocate (from CoreFoundation)
                 (undefined) external _CFAllocatorCreate (from CoreFoundation)
                 (undefined) external _CFAllocatorDeallocate (from CoreFoundation)
                 (undefined) external _CFArrayAppendArray (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayApplyFunction (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetFirstIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayGetValues (from CoreFoundation)
                 (undefined) external _CFArrayInsertValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveAllValues (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArraySetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBagAddValue (from CoreFoundation)
                 (undefined) external _CFBagContainsValue (from CoreFoundation)
                 (undefined) external _CFBagCreateCopy (from CoreFoundation)
                 (undefined) external _CFBagCreateMutable (from CoreFoundation)
                 (undefined) external _CFBagGetCount (from CoreFoundation)
                 (undefined) external _CFBagGetCountOfValue (from CoreFoundation)
                 (undefined) external _CFBagGetValue (from CoreFoundation)
                 (undefined) external _CFBagGetValues (from CoreFoundation)
                 (undefined) external _CFBagRemoveAllValues (from CoreFoundation)
                 (undefined) external _CFBagRemoveValue (from CoreFoundation)
                 (undefined) external _CFBagSetValue (from CoreFoundation)
                 (undefined) external _CFBitVectorCreate (from CoreFoundation)
