00000001803fb3dc (__TEXT,__text) external _OSAtomicAdd32
00000001803fb498 (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001803fb594 (__TEXT,__text) external _OSAtomicAdd64
00000001803fb714 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001803fb6a0 (__TEXT,__text) external _OSAtomicAnd32
00000001803fc04c (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001803fbfb8 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001803fb5b8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001803fb3c8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001803fb458 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001803fa46c (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001803fb444 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001803fb658 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001803fb744 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001803fb678 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001803fb5c4 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001803fb68c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001803fb46c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001803fa9ac (__TEXT,__text) external _OSAtomicDecrement32
00000001803fb50c (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001803fb704 (__TEXT,__text) external _OSAtomicDecrement64
00000001803fb6b0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001803f8bd0 (__TEXT,__text) external _OSAtomicDequeue
00000001803f8e90 (__TEXT,__text) external _OSAtomicEnqueue
00000001803fd674 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001803fd65c (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001803fa99c (__TEXT,__text) external _OSAtomicIncrement32
00000001803fb4fc (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001803fb25c (__TEXT,__text) external _OSAtomicIncrement64
00000001803fb648 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001803fb66c (__TEXT,__text) external _OSAtomicOr32
00000001803fb480 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001803fb73c (__TEXT,__text) external _OSAtomicOr32Orig
00000001803fd99c (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001803fb6c0 (__TEXT,__text) external _OSAtomicTestAndClear
00000001803fc008 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001803fbfc4 (__TEXT,__text) external _OSAtomicTestAndSet
00000001803fb5d8 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001803fd9a4 (__TEXT,__text) external _OSAtomicXor32
00000001803fb48c (__TEXT,__text) external _OSAtomicXor32Barrier
00000001803fd9b0 (__TEXT,__text) external _OSAtomicXor32Orig
00000001803fd9b8 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001803fb43c (__TEXT,__text) external _OSMemoryBarrier
00000001803fb238 (__TEXT,__text) external _OSSpinLockLock
00000001803fb5a0 (__TEXT,__text) external _OSSpinLockTry
00000001803fb254 (__TEXT,__text) external _OSSpinLockUnlock
00000001803fe630 (__TEXT,__const) non-external _UUID_NULL
00000001803fe640 (__TEXT,__const) non-external __0x
00000001803fe77e (__TEXT,__cstring) non-external __H
