00007ff802a803fd (__TEXT,__text) external _NSAddImage
00007ff802a803c7 (__TEXT,__text) external _NSAddLibrary
00007ff802a803e2 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff802a7b5bf (__TEXT,__text) external _NSAddressOfSymbol
00007ff802a801b6 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff802a7b53c (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff802a801d4 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff802a7b57d (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff802a803b3 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff802a8023f (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff802a802b0 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff802a802e9 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff802a802cb (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff802a80278 (__TEXT,__text) external _NSLibraryNameForModule
00007ff802a8038f (__TEXT,__text) external _NSLinkEditError
00007ff802a7b55d (__TEXT,__text) external _NSLinkModule
00007ff802a80307 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff802a80322 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff802a80340 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff802a7b5a1 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff802a80374 (__TEXT,__text) external _NSModuleForSymbol
00007ff802a8025d (__TEXT,__text) external _NSNameOfModule
00007ff802a80360 (__TEXT,__text) external _NSNameOfSymbol
00007ff802a801ef (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff802a80203 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff802a80217 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff802a8022b (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff802a80293 (__TEXT,__text) external _NSUnLinkModule
00007ff802a7af92 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff802a7b014 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8436b72f0 (__DATA_DIRTY,__common) external _NXArgc
00007ff8436b72f8 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff802a7adce (__TEXT,__text) external __NSGetExecutablePath
00007ff802a7cea5 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff802a921d0 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN6mach_o8PlatformERKNS_19GradedArchitecturesES3_bU13block_pointerFvPK11mach_headerymE
00007ff802a7b5f6 (__TEXT,__text) non-external (was a private external) __Z32dyldFrameworkIntrospectionVtablev
00007ff802aa1b11 (__TEXT,__text) non-external __Z32dyldFrameworkIntrospectionVtablev.cold.1
00007ff802a8017f (__TEXT,__text) non-external (was a private external) __Z43_dyld_make_delayed_module_initializer_callsv
00007ff802a80c1f (__TEXT,__text) non-external (was a private external) __Z6crc32cNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff802aa2ef8 (__TEXT,__const) non-external __ZL14sCRC32cSWTable
00007ff843869930 (__DATA,__bss) non-external __ZL18sCrashReporterInfo
00007ff802a92ddf (__TEXT,__text) non-external __ZL22exportSymbolAttrStringRKN6mach_o6SymbolE
00007ff802a928fc (__TEXT,__text) non-external __ZL22iterateExportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_PbE
00007ff802a92724 (__TEXT,__text) non-external __ZL22iterateImportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_bPbE
00007ff802a92bc2 (__TEXT,__text) non-external __ZL7hasFilePKc
00007ff84005a870 (__DATA_CONST,__helper) non-external __ZL8sHelpers
00007ff802a7d205 (__TEXT,__text) non-external __ZL9checkPathPKcyj
00007ff802a7aca4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff802a80d7e (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff802aa1ddf (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
00007ff802aa1e02 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
00007ff802aa1e25 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
00007ff802aa1e48 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
00007ff802a80c6a (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00007ff802aa1d53 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
00007ff802aa1d76 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00007ff802aa1d99 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00007ff802aa1dbc (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
00007ff802a7b2bc (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff802a80c5e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
00007ff802a7aca4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff802a7cdae (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff802a7cd2c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff802a7cd18 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff802a7ce90 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff802a84411 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff802a80f9a (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff802a814ca (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff802a91034 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBuffer4dataEv
00007ff802a90fcc (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferC1EjyyPi
00007ff802a91016 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferD1Ev
00007ff802a7d5e4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
