00007ffd1affa048 (__TEXT,__text) non-external _Done_iODBC
00007ffd1b017eb0 (__TEXT,__const) non-external _FunctionNumbers
00007ffd1b016e74 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd1aff9f2a (__TEXT,__text) non-external _Init_iODBC
00007ffd446672bc (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd1aff85ae (__TEXT,__text) external _SQLAllocConnect
00007ffd1aff8494 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd1aff9eb1 (__TEXT,__text) external _SQLAllocEnv
00007ffd1aff9cf9 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd1b00463c (__TEXT,__text) external _SQLAllocHandle
00007ffd1b004737 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd1b0043a0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd1affd17a (__TEXT,__text) external _SQLAllocStmt
00007ffd1affcb84 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd1b002299 (__TEXT,__text) external _SQLBindCol
00007ffd1b00a62c (__TEXT,__text) external _SQLBindParam
00007ffd1b0015d2 (__TEXT,__text) external _SQLBindParameter
00007ffd1aff5109 (__TEXT,__text) external _SQLBrowseConnect
00007ffd1aff5278 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd1aff53e7 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd1aff4a8d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd1b00a0eb (__TEXT,__text) external _SQLBulkOperations
00007ffd1affe086 (__TEXT,__text) external _SQLCancel
00007ffd1b00a658 (__TEXT,__text) external _SQLCloseCursor
00007ffd1b009b30 (__TEXT,__text) external _SQLColAttribute
00007ffd1b009cda (__TEXT,__text) external _SQLColAttributeA
00007ffd1b009e84 (__TEXT,__text) external _SQLColAttributeW
00007ffd1b0093f0 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffd1b003e9f (__TEXT,__text) external _SQLColAttributes
00007ffd1b004049 (__TEXT,__text) external _SQLColAttributesA
