                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80bdbb045 (__TEXT,__text) non-external _au_assemble
00007ff80bdbc52d (__TEXT,__text) external _au_bsm_to_domain
00007ff80bdc7ebf (__TEXT,__text) external _au_bsm_to_errno
00007ff80bdc7f6d (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80bdc42d4 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80bdbb2a3 (__TEXT,__text) external _au_close
00007ff80bdbb351 (__TEXT,__text) external _au_close_buffer
00007ff80bdbb412 (__TEXT,__text) external _au_close_token
00007ff80bdbaf7a (__TEXT,__text) external _au_close_with_errors
00007ff84258d264 (__DATA,__bss) non-external _au_cond
00007ff80bdbc502 (__TEXT,__text) external _au_domain_to_bsm
00007ff80bdc7e91 (__TEXT,__text) external _au_errno_to_bsm
00007ff80bdc7f42 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80bdbaa1b (__TEXT,__text) external _au_fetch_tok
00007ff80bdbad91 (__TEXT,__text) external _au_free_token
00007ff80bdc41d3 (__TEXT,__text) external _au_get_state
00007ff80bdc4137 (__TEXT,__text) external _au_notify_initialize
00007ff80bdc41ba (__TEXT,__text) external _au_notify_terminate
00007ff80bdbadbb (__TEXT,__text) external _au_open
00007ff84258be70 (__DATA,__const) non-external _au_polstr
00007ff80bdbb8a4 (__TEXT,__text) external _au_poltostr
00007ff80bdc3f51 (__TEXT,__text) external _au_preselect
00007ff80bdbe9e7 (__TEXT,__text) external _au_print_flags_tok
00007ff80bdc31ec (__TEXT,__text) external _au_print_tok
00007ff80bdc3206 (__TEXT,__text) external _au_print_tok_xml
00007ff80bdbce61 (__TEXT,__text) external _au_print_xml_footer
00007ff80bdbce20 (__TEXT,__text) external _au_print_xml_header
00007ff80bdc3225 (__TEXT,__text) external _au_read_rec
00007ff80bdc7e51 (__TEXT,__text) external _au_sdev_close
00007ff80bdc7e84 (__TEXT,__text) external _au_sdev_fd
00007ff80bdba5fe (__TEXT,__text) external _au_sdev_open
00007ff80bdba6d2 (__TEXT,__text) external _au_sdev_read_aia
00007ff84258bf60 (__DATA,__const) non-external _au_sflagsstr
00007ff80bdbba0c (__TEXT,__text) external _au_sflagstostr
00007ff80bdc42a9 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80bdbbf7a (__TEXT,__text) non-external _au_spacetobytes
00007ff80bdc7efe (__TEXT,__text) external _au_strerror
00007ff80bdbb945 (__TEXT,__text) external _au_strtopol
00007ff80bdbbaaa (__TEXT,__text) external _au_strtosflags
00007ff80bdbb1f7 (__TEXT,__text) non-external _au_teardown
00007ff80bdc44ad (__TEXT,__text) external _au_to_arg
00007ff80bdc42df (__TEXT,__text) external _au_to_arg32
00007ff80bdc43b0 (__TEXT,__text) external _au_to_arg64
00007ff80bdc5fe7 (__TEXT,__text) external _au_to_certificate_hash
00007ff80bdc44b7 (__TEXT,__text) external _au_to_data
00007ff80bdc5e96 (__TEXT,__text) external _au_to_exec_args
00007ff80bdc5fd8 (__TEXT,__text) external _au_to_exec_env
00007ff80bdc458f (__TEXT,__text) external _au_to_exit
00007ff80bdc49e3 (__TEXT,__text) external _au_to_file
00007ff80bdc461e (__TEXT,__text) external _au_to_groups
00007ff80bdc6692 (__TEXT,__text) external _au_to_header
00007ff80bdc65ec (__TEXT,__text) external _au_to_header32
00007ff80bdc6559 (__TEXT,__text) external _au_to_header32_ex
00007ff80bdc62d5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80bdc61e6 (__TEXT,__text) external _au_to_header32_tm
00007ff80bdc663f (__TEXT,__text) external _au_to_header64
00007ff80bdc6439 (__TEXT,__text) external _au_to_header64_tm
00007ff80bdc669c (__TEXT,__text) external _au_to_header_ex
00007ff80bdc609f (__TEXT,__text) external _au_to_identity
00007ff80bdc46ca (__TEXT,__text) external _au_to_in_addr
00007ff80bdc471d (__TEXT,__text) external _au_to_in_addr_ex
00007ff80bdc4779 (__TEXT,__text) external _au_to_ip
00007ff80bdc47d5 (__TEXT,__text) external _au_to_ipc
00007ff80bdc484d (__TEXT,__text) external _au_to_ipc_perm
00007ff80bdc48fd (__TEXT,__text) external _au_to_iport
00007ff80bdc6714 (__TEXT,__text) external _au_to_kevent
00007ff80bdc5ff6 (__TEXT,__text) external _au_to_krb5_principal
00007ff80bdc5e0a (__TEXT,__text) external _au_to_me
00007ff80bdc4630 (__TEXT,__text) external _au_to_newgroups
00007ff80bdc4953 (__TEXT,__text) external _au_to_opaque
00007ff80bdc4b75 (__TEXT,__text) external _au_to_path
00007ff80bdc4ec3 (__TEXT,__text) external _au_to_process
00007ff80bdc4c0f (__TEXT,__text) external _au_to_process32
00007ff80bdc4ecd (__TEXT,__text) external _au_to_process32_ex
00007ff80bdc4d49 (__TEXT,__text) external _au_to_process64
00007ff80bdc50c1 (__TEXT,__text) external _au_to_process64_ex
00007ff80bdc52d3 (__TEXT,__text) external _au_to_process_ex
00007ff80bdc53f6 (__TEXT,__text) external _au_to_return
00007ff80bdc52dd (__TEXT,__text) external _au_to_return32
00007ff80bdc5355 (__TEXT,__text) external _au_to_return64
00007ff80bdc5400 (__TEXT,__text) external _au_to_seq
00007ff80bdc573b (__TEXT,__text) external _au_to_sock_inet
00007ff80bdc56cf (__TEXT,__text) external _au_to_sock_inet128
00007ff80bdc5667 (__TEXT,__text) external _au_to_sock_inet32
00007ff80bdc55c7 (__TEXT,__text) external _au_to_sock_unix
00007ff80bdc546a (__TEXT,__text) external _au_to_socket_ex
00007ff80bdc5ea5 (__TEXT,__text) non-external _au_to_strings
00007ff80bdc59f9 (__TEXT,__text) external _au_to_subject
00007ff80bdc5745 (__TEXT,__text) external _au_to_subject32
00007ff80bdc5a03 (__TEXT,__text) external _au_to_subject32_ex
00007ff80bdc587f (__TEXT,__text) external _au_to_subject64
00007ff80bdc5bf1 (__TEXT,__text) external _au_to_subject64_ex
00007ff80bdc5e00 (__TEXT,__text) external _au_to_subject_ex
00007ff80bdc4adb (__TEXT,__text) external _au_to_text
