00007ff8027ec886 (__TEXT,__text) external _NSAddImage
00007ff8027ec850 (__TEXT,__text) external _NSAddLibrary
00007ff8027ec86b (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff8027ec5bd (__TEXT,__text) external _NSAddressOfSymbol
00007ff8027ec63f (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8027ec53a (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff8027ec65d (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff8027ec57b (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff8027ec83c (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8027ec6c8 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff8027ec739 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff8027ec772 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8027ec754 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff8027ec701 (__TEXT,__text) external _NSLibraryNameForModule
00007ff8027ec818 (__TEXT,__text) external _NSLinkEditError
00007ff8027ec55b (__TEXT,__text) external _NSLinkModule
00007ff8027ec790 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8027ec7ab (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8027ec7c9 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff8027ec59f (__TEXT,__text) external _NSLookupSymbolInModule
00007ff8027ec7fd (__TEXT,__text) external _NSModuleForSymbol
00007ff8027ec6e6 (__TEXT,__text) external _NSNameOfModule
00007ff8027ec7e9 (__TEXT,__text) external _NSNameOfSymbol
00007ff8027ec678 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff8027ec68c (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8027ec6a0 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff8027ec6b4 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8027ec71c (__TEXT,__text) external _NSUnLinkModule
00007ff8027ebf94 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff8027ec016 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff843660260 (__DATA_DIRTY,__common) external _NXArgc
00007ff843660268 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff8027ebdce (__TEXT,__text) external __NSGetExecutablePath
00007ff8027edeb1 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff8027f1442 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN6mach_o8PlatformERKNS_19GradedArchitecturesES3_bU13block_pointerFvPK11mach_headerymE
00007ff8027f20ae (__TEXT,__text) non-external (was a private external) __Z32dyldFrameworkIntrospectionVtablev
00007ff802813aa1 (__TEXT,__text) non-external __Z32dyldFrameworkIntrospectionVtablev.cold.1
00007ff8027ec608 (__TEXT,__text) non-external (was a private external) __Z43_dyld_make_delayed_module_initializer_callsv
00007ff84386cab0 (__DATA,__bss) non-external __ZL18sCrashReporterInfo
00007ff8027f200c (__TEXT,__text) non-external __ZL22exportSymbolAttrStringRKN6mach_o6SymbolE
00007ff8027f1b2a (__TEXT,__text) non-external __ZL22iterateExportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_PbE
00007ff8027f1952 (__TEXT,__text) non-external __ZL22iterateImportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_bPbE
00007ff8027f1df0 (__TEXT,__text) non-external __ZL7hasFilePKc
00007ff84005bb58 (__DATA_CONST,__helper) non-external __ZL8sHelpers
00007ff8027ee217 (__TEXT,__text) non-external __ZL9checkPathPKcyj
00007ff8027ebca6 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff8027f364e (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff802813ba3 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
00007ff802813bc6 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
00007ff802813be9 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
00007ff802813c0c (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
00007ff8027f353a (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00007ff802813b17 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
00007ff802813b3a (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00007ff802813b5d (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00007ff802813b80 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
00007ff8027ec2be (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff8027f352e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
00007ff8027ebca6 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff8027eddba (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff8027edd38 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff8027edd24 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff8027ede9c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff8027f5287 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff8027f3a5a (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff8027f3ff4 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff8027f456e (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBuffer4dataEv
00007ff8027f44fe (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferC1EjyyPi
00007ff8027f4548 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferD1Ev
00007ff8027ee5be (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff8027ef30c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff8027efdce (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff8027ee67e (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
00007ff8027ee32e (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
00007ff8027ee46a (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
