000000025173ac14 (__TEXT,__text) non-external +[UIFont(WeatherUI) wu_systemUsesExuberatedLineHeight]
000000025172ef9c (__TEXT,__text) non-external -[CAMLLoader .cxx_destruct]
000000025172eda8 (__TEXT,__text) non-external -[CAMLLoader CAMLParser:didFailToFindClassWithName:]
000000025172ed98 (__TEXT,__text) non-external -[CAMLLoader CAMLParser:didLoadResource:fromURL:]
000000025172ef84 (__TEXT,__text) non-external -[CAMLLoader CAMLParser:formatErrorString:arguments:lineNumber:]
000000025172ef80 (__TEXT,__text) non-external -[CAMLLoader CAMLParser:formatWarningString:arguments:lineNumber:]
000000025172eb7c (__TEXT,__text) non-external -[CAMLLoader CAMLParser:resourceForURL:]
000000025172e9f8 (__TEXT,__text) non-external -[CAMLLoader init]
000000025172ea68 (__TEXT,__text) non-external -[CAMLLoader loadCAMLFile:]
000000025172ef88 (__TEXT,__text) non-external -[CAMLLoader resourceCache]
000000025172ef90 (__TEXT,__text) non-external -[CAMLLoader setResourceCache:]
000000025173ac20 (__TEXT,__text) non-external -[UIFont(WeatherUI) wu_exuberatedLineHeightAmount]
000000025173ac4c (__TEXT,__text) non-external -[UIFont(WeatherUI) wu_lineHeightNotIncludingExuberatedAmount]
000000025173ac10 (__TEXT,__text) non-external -[UIFont(WeatherUI) wu_scaledValueForValue:]
000000025173ac1c (__TEXT,__text) non-external -[UIFont(WeatherUI) wu_usesExuberatedLineHeight]
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CATransform3DIdentity (from QuartzCore)
                 (undefined) external _CATransform3DMakeRotation (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CGAffineTransformIdentity (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGColorGetNumberOfComponents (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageSourceCreateImageAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGPathCloseSubpath (from CoreGraphics)
                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CTFontGetExuberatedLineHeightForLineHeight (from CoreText)
                 (undefined) external _CTFontGetXHeight (from CoreText)
                 (undefined) external _CTFontHasExuberatedLineHeight (from CoreText)
0000000258a49f80 (__DATA,__bss) non-external _ClassSubstitutions.__classSubstitutions
000000025172e9e8 (__TEXT,__text) external _DeviceIsSlow
000000025172e9e0 (__TEXT,__text) external _DeviceIsVerySlow
000000025172e9f0 (__TEXT,__text) external _DeviceRequiresProMotionOptOut
000000025172e9c8 (__TEXT,__text) external _DeviceSupportsForegroundEffects
000000025172e9d0 (__TEXT,__text) external _DeviceSupportsMapsControlEffects
000000025172e9b8 (__TEXT,__text) external _DeviceSupportsMaterialBackgrounds
000000025172e9c0 (__TEXT,__text) external _DeviceSupportsStickyHeaders
000000025172e9b0 (__TEXT,__text) external _DeviceSupportsVFX
000000025172e9d8 (__TEXT,__text) external _DeviceUsesWireframeOnLocationViewScroll
                 (undefined) external _GEOAlmanacAltitudeSunset (from GeoServices)
00000002519a7830 (__TEXT,__text) non-external _GEOLocationCoordinate2DMake
                 (undefined) external _MADimFlashingLightsEnabled (from MediaAccessibility)
                 (undefined) external _MTKTextureLoaderOptionGenerateMipmaps (from MetalKit)
                 (undefined) external _MTKTextureLoaderOptionOrigin (from MetalKit)
                 (undefined) external _MTKTextureLoaderOptionSRGB (from MetalKit)
