00007ffc0e624b64 (__TEXT,__text) external _GCLBufferBase
00007ffc0e624b4e (__TEXT,__text) external _GCLBufferData
00007ffc0e624b08 (__TEXT,__text) external _GCLBufferElementType
00007ffc0e62364f (__TEXT,__text) external _GCLBufferForBufferListIter
00007ffc0e623451 (__TEXT,__text) external _GCLBufferId
00007ffc0e6241c3 (__TEXT,__text) external _GCLBufferListAppendNew
00007ffc0e623620 (__TEXT,__text) external _GCLBufferListBegin
00007ffc0e623633 (__TEXT,__text) external _GCLBufferListEnd
00007ffc0e623fd2 (__TEXT,__text) external _GCLBufferListFromSource
00007ffc0e6240f0 (__TEXT,__text) external _GCLBufferListGetBuffer
00007ffc0e624198 (__TEXT,__text) external _GCLBufferListGetBufferById
00007ffc0e62363c (__TEXT,__text) external _GCLBufferListIterNext
00007ffc0e624080 (__TEXT,__text) external _GCLBufferListNew
00007ffc0e6240ce (__TEXT,__text) external _GCLBufferListRelease
00007ffc0e624b28 (__TEXT,__text) external _GCLBufferNumRows
00007ffc0e624b84 (__TEXT,__text) external _GCLBufferOffset
00007ffc0e623174 (__TEXT,__text) external _GCLBufferProperty
00007ffc0e623200 (__TEXT,__text) external _GCLBufferPropertyString
00007ffc0e623152 (__TEXT,__text) external _GCLBufferSemanticName
00007ffc0e624b76 (__TEXT,__text) external _GCLBufferSetBase
00007ffc0e624b1a (__TEXT,__text) external _GCLBufferSetElementType
00007ffc0e624b97 (__TEXT,__text) external _GCLBufferSetOffset
00007ffc0e623299 (__TEXT,__text) external _GCLBufferSetProperty
00007ffc0e62335f (__TEXT,__text) external _GCLBufferSetPropertyString
00007ffc0e624bd1 (__TEXT,__text) external _GCLBufferSetStrideElements
00007ffc0e624ba6 (__TEXT,__text) external _GCLBufferStrideBytes
00007ffc0e624bbe (__TEXT,__text) external _GCLBufferStrideElements
00007ffc0e624b3b (__TEXT,__text) external _GCLBufferTupleWidth
00007ffc0e61e9ed (__TEXT,__text) external _GCLDecodeMeshFromSource
00007ffc0e61eaf8 (__TEXT,__text) external _GCLDecodeMeshFromSourceWithOptions
00007ffc0e626d85 (__TEXT,__text) external _GCLEncodeMeshFromBufferList
00007ffc0e623ca9 (__TEXT,__text) external _GCLOptionsGet
00007ffc0e623df6 (__TEXT,__text) external _GCLOptionsGetString
00007ffc0e623c2c (__TEXT,__text) external _GCLOptionsNew
00007ffc0e623c83 (__TEXT,__text) external _GCLOptionsRelease
00007ffc0e623d34 (__TEXT,__text) external _GCLOptionsSet
00007ffc0e623e97 (__TEXT,__text) external _GCLOptionsSetString
00007ffc0e61e780 (__TEXT,__text) external _GCLSourceFromData
00007ffc0e61e89d (__TEXT,__text) external _GCLSourceOptionSet
00007ffc0e61e85c (__TEXT,__text) external _GCLSourceRelease
00007ffc0e64f878 (__TEXT,__const) external _GeometryCompressionVersionNumber
00007ffc0e64f830 (__TEXT,__const) external _GeometryCompressionVersionString
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNKSt3__16locale9use_facetERNS0_2idE (from libc++)
                 (undefined) external __ZNKSt3__18ios_base6getlocEv (from libc++)
                 (undefined) external __ZNSt11logic_errorC2EPKc (from libc++)
                 (undefined) external __ZNSt12length_errorD1Ev (from libc++)
                 (undefined) external __ZNSt12out_of_rangeD1Ev (from libc++)
                 (undefined) external __ZNSt13runtime_errorC1EPKc (from libc++)
                 (undefined) external __ZNSt13runtime_errorD1Ev (from libc++)
                 (undefined) external __ZNSt19bad_optional_accessD1Ev (from libc++)
                 (undefined) external __ZNSt20bad_array_new_lengthC1Ev (from libc++)
                 (undefined) external __ZNSt20bad_array_new_lengthD1Ev (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE21__grow_by_and_replaceEmmmmmmPKc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6resizeEmc (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE3putEc (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE5flushEv (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE6sentryC1ERS3_ (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE6sentryD1Ev (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEi (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEj (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEm (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEx (from libc++)
                 (undefined) external __ZNSt3__114basic_iostreamIcNS_11char_traitsIcEEED2Ev (from libc++)
                 (undefined) external __ZNSt3__117bad_function_callD1Ev (from libc++)
                 (undefined) external __ZNSt3__15ctypeIcE2idE (from libc++)
                 (undefined) external __ZNSt3__16localeC1Ev (from libc++)
                 (undefined) external __ZNSt3__16localeD1Ev (from libc++)
                 (undefined) external __ZNSt3__18ios_base33__set_badbit_and_consider_rethrowEv (from libc++)
                 (undefined) external __ZNSt3__18ios_base4initEPv (from libc++)
                 (undefined) external __ZNSt3__18ios_base5clearEj (from libc++)
                 (undefined) external __ZNSt3__19basic_iosIcNS_11char_traitsIcEEED2Ev (from libc++)
                 (undefined) external __ZSt9terminatev (from libc++)
00007ffc41644490 (__DATA_CONST,__const) weak external __ZTINSt3__117bad_function_callE
00007ffc416443a0 (__DATA_CONST,__const) weak external __ZTISt11logic_error
00007ffc416443b8 (__DATA_CONST,__const) weak external __ZTISt12length_error
00007ffc416445c0 (__DATA_CONST,__const) weak external __ZTISt12out_of_range
00007ffc416444a8 (__DATA_CONST,__const) weak external __ZTISt13runtime_error
00007ffc416445d8 (__DATA_CONST,__const) weak external __ZTISt19bad_optional_access
00007ffc416445a8 (__DATA_CONST,__const) weak external __ZTISt20bad_array_new_length
00007ffc41644590 (__DATA_CONST,__const) weak external __ZTISt9bad_alloc
00007ffc416443e0 (__DATA_CONST,__const) weak external __ZTISt9exception
00007ffc0e64f8e8 (__TEXT,__const) weak external __ZTSNSt3__117bad_function_callE
00007ffc0e64f891 (__TEXT,__const) weak external __ZTSSt11logic_error
00007ffc0e64f880 (__TEXT,__const) weak external __ZTSSt12length_error
00007ffc0e64fe30 (__TEXT,__const) weak external __ZTSSt12out_of_range
00007ffc0e64f904 (__TEXT,__const) weak external __ZTSSt13runtime_error
00007ffc0e64ff74 (__TEXT,__const) weak external __ZTSSt19bad_optional_access
00007ffc0e64f990 (__TEXT,__const) weak external __ZTSSt20bad_array_new_length
00007ffc0e64f9a9 (__TEXT,__const) weak external __ZTSSt9bad_alloc
00007ffc0e64f8d4 (__TEXT,__const) weak external __ZTSSt9exception
                 (undefined) external __ZTTNSt3__118basic_stringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv117__class_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv120__si_class_type_infoE (from libc++)
                 (undefined) external __ZTVNSt3__115basic_streambufIcNS_11char_traitsIcEEEE (from libc++)
                 (undefined) external __ZTVNSt3__115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTVNSt3__117bad_function_callE (from libc++)
                 (undefined) external __ZTVNSt3__118basic_stringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTVSt12length_error (from libc++)
                 (undefined) external __ZTVSt12out_of_range (from libc++)
                 (undefined) external __ZTVSt19bad_optional_access (from libc++)
                 (undefined) external __ZdaPv (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __Znam (from libc++)
                 (undefined) external __Znwm (from libc++)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_begin_catch (from libc++)
                 (undefined) external ___cxa_end_catch (from libc++)
                 (undefined) external ___cxa_free_exception (from libc++)
                 (undefined) external ___cxa_guard_abort (from libc++)
                 (undefined) external ___cxa_guard_acquire (from libc++)
                 (undefined) external ___cxa_guard_release (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_signpost_id_generate (from libSystem)
                 (undefined) external _strlen (from libSystem)
