000000024e4a0e40 (__TEXT,__text) non-external +[GPDataConversionUtils convertFloat16ToFloat32:]
000000024e49bb90 (__TEXT,__text) non-external +[MADService(Generative_Playground) getEmbeddingVectorDimension:]
000000024e4a0df0 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider .cxx_destruct]
000000024e4a0ddc (__TEXT,__text) non-external -[GPAppleConnectTokenProvider authenticatingProtocol]
000000024e4a0d44 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider initWithAuthenticatingProtocol:]
000000024e4a0de4 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider setAuthenticatingProtocol:]
000000024e4a0dcc (__TEXT,__text) non-external -[GPAppleConnectTokenProvider setupTokenWithCompletion:]
000000024e4a0dd4 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider token]
000000024e4a0d1c (__TEXT,__text) non-external -[GPMagicPaperState frame]
000000024e4a0c88 (__TEXT,__text) non-external -[GPMagicPaperState initWithFrame:isEditing:]
000000024e4a0d34 (__TEXT,__text) non-external -[GPMagicPaperState isEditing]
000000024e4a0d28 (__TEXT,__text) non-external -[GPMagicPaperState setFrame:]
000000024e4a0d3c (__TEXT,__text) non-external -[GPMagicPaperState setIsEditing:]
000000024e49bb38 (__TEXT,__text) non-external -[VFXRenderer(Generative_Playground) vfx_setClearBackground]
000000024e49bab0 (__TEXT,__text) non-external -[VFXView(Generative_Playground) _vfx_setColorSpace:]
000000024e49ba00 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_resetColorSpace]
000000024e49b9a8 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setClearBackground]
000000024e49ba08 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setExtendedLinearSRGBColorSpace]
000000024e49ba5c (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setLinearSRGBColorSpace]
000000024ead0890 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
                 (undefined) external _AVCaptureDeviceTypeBuiltInWideAngleCamera (from AVFoundation)
                 (undefined) external _AVCaptureDeviceTypeExternal (from AVFoundation)
                 (undefined) external _AVCaptureSessionDidStartRunningNotification (from AVFoundation)
                 (undefined) external _AVCaptureSessionDidStopRunningNotification (from AVFoundation)
                 (undefined) external _AVCaptureSessionPresetPhoto (from AVFoundation)
