                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
000000018f589308 (__TEXT,__text) external __cg_jcopy_block_row
000000018f5892b0 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018f5a3e1c (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018f5803ac (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018f588864 (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018f58931c (__TEXT,__text) external __cg_jinit_c_main_controller
000000018f5935e0 (__TEXT,__text) external __cg_jinit_c_master_control
000000018f589560 (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018f57f324 (__TEXT,__text) external __cg_jinit_color_converter
000000018f587da4 (__TEXT,__text) external __cg_jinit_color_deconverter
000000018f57f1ac (__TEXT,__text) external __cg_jinit_compress_master
000000018f5925f8 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018f594fe0 (__TEXT,__text) external __cg_jinit_d_main_controller
000000018f595c1c (__TEXT,__text) external __cg_jinit_d_post_controller
000000018f59c33c (__TEXT,__text) external __cg_jinit_downsampler
000000018f58721c (__TEXT,__text) external __cg_jinit_forward_dct
000000018f59d7e8 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018f5a15a0 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018f58a628 (__TEXT,__text) external __cg_jinit_input_controller
000000018f57fc34 (__TEXT,__text) external __cg_jinit_inverse_dct
000000018f581a38 (__TEXT,__text) external __cg_jinit_marker_reader
000000018f5a0114 (__TEXT,__text) external __cg_jinit_marker_writer
000000018f5949e4 (__TEXT,__text) external __cg_jinit_master_decompress
000000018f5a5050 (__TEXT,__text) external __cg_jinit_memory_mgr
000000018f59d13c (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018f5956ac (__TEXT,__text) external __cg_jinit_upsampler
000000018f59be80 (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018f589cdc (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018f583e00 (__TEXT,__text) external __cg_jpeg_abort
000000018f59bfac (__TEXT,__text) external __cg_jpeg_abort_compress
000000018f589de4 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018f591840 (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018f583ebc (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000018f583e90 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
000000018f594630 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000018f589e80 (__TEXT,__text) external __cg_jpeg_consume_input
000000018f59fb84 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
000000018f591e70 (__TEXT,__text) external __cg_jpeg_default_colorspace
000000018f583e54 (__TEXT,__text) external __cg_jpeg_destroy
000000018f59bfa8 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000018f589de0 (__TEXT,__text) external __cg_jpeg_destroy_decompress
000000018f5a4a7c (__TEXT,__text) external __cg_jpeg_fdct_float
000000018f59f790 (__TEXT,__text) external __cg_jpeg_fdct_ifast
000000018f5965dc (__TEXT,__text) external __cg_jpeg_fdct_islow
000000018f59c000 (__TEXT,__text) external __cg_jpeg_finish_compress
000000018f58a208 (__TEXT,__text) external __cg_jpeg_finish_decompress
000000018f5a14e8 (__TEXT,__text) external __cg_jpeg_finish_output
000000018f5855cc (__TEXT,__text) external __cg_jpeg_free_large
000000018f5855bc (__TEXT,__text) external __cg_jpeg_free_small
000000018f5855c4 (__TEXT,__text) external __cg_jpeg_get_large
000000018f5855b4 (__TEXT,__text) external __cg_jpeg_get_small
000000018f58a1b0 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000018f58bfcc (__TEXT,__text) external __cg_jpeg_idct_1x1
000000018f58bf30 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000018f58bc18 (__TEXT,__text) external __cg_jpeg_idct_4x4
000000018f596234 (__TEXT,__text) external __cg_jpeg_idct_float
000000018f586e04 (__TEXT,__text) external __cg_jpeg_idct_ifast
000000018f58af94 (__TEXT,__text) external __cg_jpeg_idct_islow
000000018f58a158 (__TEXT,__text) external __cg_jpeg_input_complete
000000018f5855d4 (__TEXT,__text) external __cg_jpeg_mem_available
000000018f58589c (__TEXT,__text) external __cg_jpeg_mem_init
000000018f5858a8 (__TEXT,__text) external __cg_jpeg_mem_term
000000018f5a6a10 (__TEXT,__const) external __cg_jpeg_natural_order
000000018f594934 (__TEXT,__text) external __cg_jpeg_new_colormap
000000018f5855e4 (__TEXT,__text) external __cg_jpeg_open_backing_store
000000018f591bf8 (__TEXT,__text) external __cg_jpeg_quality_scaling
000000018f596064 (__TEXT,__text) external __cg_jpeg_read_coefficients
000000018f589de8 (__TEXT,__text) external __cg_jpeg_read_header
000000018f5a135c (__TEXT,__text) external __cg_jpeg_read_raw_data
000000018f5a127c (__TEXT,__text) external __cg_jpeg_read_scanlines
000000018f5817ac (__TEXT,__text) external __cg_jpeg_resync_to_restart
000000018f58333c (__TEXT,__text) external __cg_jpeg_save_markers
000000018f591f08 (__TEXT,__text) external __cg_jpeg_set_colorspace
000000018f591cd4 (__TEXT,__text) external __cg_jpeg_set_defaults
000000018f591b88 (__TEXT,__text) external __cg_jpeg_set_linear_quality
000000018f583684 (__TEXT,__text) external __cg_jpeg_set_marker_processor
000000018f591c30 (__TEXT,__text) external __cg_jpeg_set_quality
000000018f5922b4 (__TEXT,__text) external __cg_jpeg_simple_progression
000000018f591574 (__TEXT,__text) external __cg_jpeg_start_compress
000000018f5a104c (__TEXT,__text) external __cg_jpeg_start_decompress
000000018f5a1458 (__TEXT,__text) external __cg_jpeg_start_output
000000018f59ce9c (__TEXT,__text) external __cg_jpeg_std_error
000000018f583ee8 (__TEXT,__text) external __cg_jpeg_std_huff_table
000000018f5a684d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
000000018f5a679a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
000000018f5a677d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
000000018f5a6760 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
000000018f5a685e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
000000018f5a67ab (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
000000018f5a678e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
000000018f5a6771 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001e4dffdc8 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
