000000021943f9f4 (__TEXT,__text) non-external _AppleNVMeDeviceHasAVP
000000021943f664 (__TEXT,__text) external _AppleNVMeDeviceSupportsPanicLogAccess
000000021943f04c (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByNSType
000000021943f074 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByName
000000021943f3a4 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockCount
000000021943f2e4 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockSize
000000021943f25c (__TEXT,__text) non-external _AppleNVMeNamespaceAccessMatchingServiceCallback
000000021943f2bc (__TEXT,__text) external _AppleNVMeNamespaceAccessOpenConection
000000021943f464 (__TEXT,__text) external _AppleNVMeNamespaceAccessReadData
000000021943f5bc (__TEXT,__text) external _AppleNVMeNamespaceAccessUnmapRange
000000021943f510 (__TEXT,__text) external _AppleNVMeNamespaceAccessWriteData
000000021943f798 (__TEXT,__text) external _AppleNVMePanicLogGetSize
0000000257c62e60 (__DATA,__data) external _AppleNVMePanicLogSourcePath
000000021943f888 (__TEXT,__text) external _AppleNVMeReadPanicLogData
000000021943fbf8 (__TEXT,__const) external _AppleNVMeVersionNumber
000000021943fbc0 (__TEXT,__const) external _AppleNVMeVersionString
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFStringCreateFromExternalRepresentation (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IONotificationPortCreate (from IOKit)
                 (undefined) external _IONotificationPortDestroy (from IOKit)
                 (undefined) external _IONotificationPortGetRunLoopSource (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IOObjectRetain (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceAddMatchingNotification (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
0000000257c62df0 (__DATA,__data) external _sNVMeEmbeddedNamespaceTypeNames
