0000000180b51970 (__TEXT,__text) external _OSAtomicAdd32
0000000180b5197c (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180b519c8 (__TEXT,__text) external _OSAtomicAdd64
0000000180b519d4 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180b51a20 (__TEXT,__text) external _OSAtomicAnd32
0000000180b51a30 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180b51a40 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180b51a4c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180b51aa8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180b51abc (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180b51b48 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180b51b5c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180b51af8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180b51b0c (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180b51b20 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180b51b34 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180b51ad0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180b51ae4 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180b519a8 (__TEXT,__text) external _OSAtomicDecrement32
0000000180b519b8 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180b51a00 (__TEXT,__text) external _OSAtomicDecrement64
0000000180b51a10 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180b51ce0 (__TEXT,__text) external _OSAtomicDequeue
0000000180b51c70 (__TEXT,__text) external _OSAtomicEnqueue
0000000180b5016c (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180b5384c (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180b50104 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180b5384c (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180b51988 (__TEXT,__text) external _OSAtomicIncrement32
0000000180b51998 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180b519e0 (__TEXT,__text) external _OSAtomicIncrement64
0000000180b519f0 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180b51a58 (__TEXT,__text) external _OSAtomicOr32
0000000180b51a64 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180b51a70 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180b51a78 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180b51bf0 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180b51c30 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180b51b70 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180b51bb0 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180b51a80 (__TEXT,__text) external _OSAtomicXor32
0000000180b51a8c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180b51a98 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180b51aa0 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180b51d60 (__TEXT,__text) external _OSMemoryBarrier
0000000180b50454 (__TEXT,__text) external _OSSpinLockLock
0000000180b50470 (__TEXT,__text) external _OSSpinLockTry
0000000180b504a0 (__TEXT,__text) external _OSSpinLockUnlock
0000000180b53feb (__TEXT,__cstring) non-external __0x
0000000180b53fc9 (__TEXT,__cstring) non-external __H
0000000180b51d3c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180b51cb8 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180b5030c (__TEXT,__text) external __OSSpinLockLockSlow
0000000180b50384 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180b52de0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182bb8050 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180b4e000 (__TEXT,__text) external ___libplatform_init
0000000180b50e78 (__TEXT,__text) external ___os_once_reset
0000000180b5002c (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180b53f58 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180b53f28 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180b51dd8 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180b4e508 (__TEXT,__text) non-external ___simple_bprintf
0000000180b52290 (__TEXT,__text) external ___sme_memchr
0000000180b52628 (__TEXT,__text) external ___sme_memcpy
0000000180b526fc (__TEXT,__text) external ___sme_memmove
0000000180b531a0 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180b533c8 (__TEXT,__text) external __ctx_done
0000000180b536f0 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180b4ef4c (__TEXT,__text) non-external __enlarge
0000000180b53824 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180b4ee18 (__TEXT,__text) non-external __flush
0000000180b4e4dc (__TEXT,__text) non-external __flush_reset
0000000180b53fda (__TEXT,__cstring) non-external __h
0000000180b51eb4 (__TEXT,__text) external __longjmp
0000000180b514cc (__TEXT,__text) non-external __os_alloc
0000000180b53ad4 (__TEXT,__text) non-external __os_alloc.cold.1
0000000182bb8048 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180b5147c (__TEXT,__text) external __os_alloc_once
0000000180b51588 (__TEXT,__text) non-external __os_alloc_slow
0000000180b53874 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180b504f0 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180b50540 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180b50514 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180b50534 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180b50e14 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180b50e38 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180b50e58 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180b53a04 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180b504a8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180b504c8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180b504e4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180b53f60 (__TEXT,__const) non-external __os_lock_type_base
0000000182c3e2b0 (__AUTH_CONST,__const) external __os_lock_type_eliding
0000000182c3e2d0 (__AUTH_CONST,__const) external __os_lock_type_handoff
0000000182c3e310 (__AUTH_CONST,__const) external __os_lock_type_nospin
