000000022d9a07b4 (__TEXT,__text) external _EXDisplayPipeClose
000000022d9a0a84 (__TEXT,__text) external _EXDisplayPipeGetStatus
000000022d9a0954 (__TEXT,__text) external _EXDisplayPipeHideIndicator
000000022d9a06a0 (__TEXT,__text) external _EXDisplayPipeOpen
000000022d9a0c48 (__TEXT,__text) external _EXDisplayPipeSetALSSEnable
000000022d9a09f4 (__TEXT,__text) external _EXDisplayPipeSetIndicators
000000022d9a0b20 (__TEXT,__text) external _EXDisplayPipeSetLogLevel
000000022d9a0bb4 (__TEXT,__text) external _EXDisplayPipeSetLogMask
000000022d9a0814 (__TEXT,__text) external _EXDisplayPipeSetPower
000000022d9a08b0 (__TEXT,__text) external _EXDisplayPipeShowIndicator
000000022d9a0dc8 (__TEXT,__const) external _EXDisplayPipeVersionNumber
000000022d9a0d90 (__TEXT,__const) external _EXDisplayPipeVersionString
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOMainPort (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _printf (from libSystem)
                 (undefined) external _puts (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
