000000019fc66600 (__TEXT,__text) non-external +[AMFI isAvailable]
000000019fc66624 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
000000019fc598d0 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
000000019fc59a78 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
000000019fc668e0 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
000000019fc69430 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
000000019fc694b8 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
000000019fc66c1c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
000000019fc5a244 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
000000019fc60490 (__TEXT,__text) non-external +[MIS currentDeviceID]
000000019fc60528 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
000000019fc60af8 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
000000019fc68a88 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
000000019fc68abc (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
000000019fc60468 (__TEXT,__text) non-external +[MIS isAvailable]
000000019fc609f4 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
000000019fc68a20 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
000000019fc68a54 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
000000019fc60930 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
000000019fc689ec (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
000000019fc606fc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
000000019fc688bc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
000000019fc68928 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
000000019fc6895c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
000000019fc68990 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
000000019fc60d40 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
000000019fc68bf4 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
000000019fc68c74 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
000000019fc60c08 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
000000019fc68b18 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
000000019fc68b98 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
000000019fc65798 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
000000019fc690e0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
000000019fc6913c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
000000019fc5b73c (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
000000019fc5b884 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
000000019fc59c9c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
000000019fc550c8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
000000019fc670fc (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
000000019fc54dd4 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
000000019fc5ff8c (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
000000019fc5bfe8 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
000000019fc5348c (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
000000019fc5b1ac (__TEXT,__text) non-external +[SPLog exec]
000000019fc5b504 (__TEXT,__text) non-external +[SPLog generateSignpostID]
000000019fc5b074 (__TEXT,__text) non-external +[SPLog generic]
000000019fc5b110 (__TEXT,__text) non-external +[SPLog kext]
000000019fc5b248 (__TEXT,__text) non-external +[SPLog measurements]
000000019fc5b4f8 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
000000019fc5b2e4 (__TEXT,__text) non-external +[SPLog signposts]
000000019fc5b380 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
000000019fc6319c (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
000000019fc62b08 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
000000019fc61e28 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
000000019fc68e08 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
000000019fc61c34 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
000000019fc61c18 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
000000019fc622d4 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
000000019fc61dd8 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
000000019fc61c50 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
000000019fc54878 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
000000019fc54778 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
000000019fc545fc (__TEXT,__text) non-external -[AKELData initWithURL:]
000000019fc5444c (__TEXT,__text) non-external -[AKELData init]
000000019fc54834 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
000000019fc54734 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
000000019fc541c8 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
000000019fc54724 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
000000019fc668bc (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
000000019fc66808 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
000000019fc668d8 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
000000019fc668c8 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
000000019fc6686c (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
000000019fc668d0 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
000000019fc59854 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
000000019fc58ea0 (__TEXT,__text) non-external -[BundleData dealloc]
000000019fc6829c (__TEXT,__text) non-external -[BundleData dealloc].cold.1
000000019fc593f0 (__TEXT,__text) non-external -[BundleData doReload]
000000019fc59820 (__TEXT,__text) non-external -[BundleData forceReload]
000000019fc58f44 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
000000019fc58e84 (__TEXT,__text) non-external -[BundleData init]
000000019fc59834 (__TEXT,__text) non-external -[BundleData isSigned]
000000019fc59454 (__TEXT,__text) non-external -[BundleData loadInternalData:]
000000019fc597a4 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
000000019fc590c8 (__TEXT,__text) non-external -[BundleData setupFSStream]
000000019fc6830c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
000000019fc6837c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
000000019fc5984c (__TEXT,__text) non-external -[BundleData timestamp]
000000019fc5982c (__TEXT,__text) non-external -[BundleData url]
000000019fc59844 (__TEXT,__text) non-external -[BundleData versionNumber]
000000019fc5983c (__TEXT,__text) non-external -[BundleData version]
000000019fc5a3e8 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
000000019fc5a3c4 (__TEXT,__text) non-external -[GKScanResult allowed]
000000019fc5a30c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
000000019fc5a3d4 (__TEXT,__text) non-external -[GKScanResult gkError]
000000019fc5a24c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
000000019fc5a3cc (__TEXT,__text) non-external -[GKScanResult setAllowed:]
000000019fc5a3dc (__TEXT,__text) non-external -[GKScanResult setGkError:]
000000019fc65984 (__TEXT,__text) non-external -[NSData(Strings) hexString]
000000019fc5556c (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
000000019fc55534 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
