00000000000381d0 (__DATA,__data) external _NDR_record
000000000000dfec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000000000110d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000000000138c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000000000e018 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000000000138ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000000013918 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000000013944 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000000013968 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000000001398c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000000016e2c (__TEXT,__text) non-external __Xexception_raise
0000000000016ef8 (__TEXT,__text) non-external __Xexception_raise_state
000000000001701c (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000000029334 (__TEXT,__text) external _____old_semwait_signal_nocancel
000000000002935c (__TEXT,__text) external _____sigwait_nocancel
000000000002c2f8 (__TEXT,__const) external ____kernelVersionNumber
000000000002c2c0 (__TEXT,__const) external ____kernelVersionString
0000000000029384 (__TEXT,__text) external ___abort_with_payload
0000000000008f14 (__TEXT,__text) external ___accept
00000000000293ac (__TEXT,__text) external ___accept_nocancel
00000000000293d4 (__TEXT,__text) external ___access_extended
00000000000293fc (__TEXT,__text) external ___aio_suspend_nocancel
0000000000008480 (__TEXT,__text) external ___bind
0000000000004eec (__TEXT,__text) external ___bsdthread_create
0000000000002ffc (__TEXT,__text) external ___bsdthread_ctl
0000000000006bc4 (__TEXT,__text) external ___bsdthread_register
0000000000003f90 (__TEXT,__text) external ___bsdthread_terminate
000000000000c46c (__TEXT,__text) external ___carbon_delete
0000000000029424 (__TEXT,__text) external ___channel_get_info
000000000002944c (__TEXT,__text) external ___channel_get_opt
0000000000029474 (__TEXT,__text) external ___channel_open
000000000002949c (__TEXT,__text) external ___channel_set_opt
00000000000294c4 (__TEXT,__text) external ___channel_sync
0000000000004e4c (__TEXT,__text) external ___chmod
0000000000006728 (__TEXT,__text) external ___chmod_extended
0000000000002b6c (__TEXT,__text) external ___close_nocancel
00000000000294ec (__TEXT,__text) external ___coalition
0000000000029514 (__TEXT,__text) external ___coalition_info
000000000002953c (__TEXT,__text) external ___coalition_ledger
0000000000003130 (__TEXT,__text) external ___commpage_gettimeofday
0000000000003138 (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00000000000055d4 (__TEXT,__text) external ___connect
0000000000005464 (__TEXT,__text) external ___connect_nocancel
0000000000029564 (__TEXT,__text) external ___copyfile
0000000000001e9c (__TEXT,__text) external ___csrctl
000000000001105c (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000002b93c (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
