                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffe07919b4a (__TEXT,__text) non-external _sbuf_extend
00007ffe07919ca4 (__TEXT,__text) non-external _sbuf_put_byte
00007ffe07919878 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffe0791985c (__TEXT,__text) external _usbuf_bcat
00007ffe0791994f (__TEXT,__text) external _usbuf_bcpy
00007ffe07919987 (__TEXT,__text) external _usbuf_cat
00007ffe0791974a (__TEXT,__text) external _usbuf_clear
00007ffe0791972d (__TEXT,__text) external _usbuf_clear_flags
00007ffe07919786 (__TEXT,__text) external _usbuf_count_drain
00007ffe079199b7 (__TEXT,__text) external _usbuf_cpy
00007ffe07919e62 (__TEXT,__text) external _usbuf_data
00007ffe07919e92 (__TEXT,__text) external _usbuf_delete
00007ffe07919ee4 (__TEXT,__text) external _usbuf_done
00007ffe079197a0 (__TEXT,__text) external _usbuf_drain
00007ffe07919f2e (__TEXT,__text) external _usbuf_end_section
00007ffe07919dea (__TEXT,__text) external _usbuf_error
00007ffe07919df3 (__TEXT,__text) external _usbuf_finish
00007ffe07919723 (__TEXT,__text) external _usbuf_get_flags
00007ffe07919430 (__TEXT,__text) external _usbuf_hexdump
00007ffe07919e6b (__TEXT,__text) external _usbuf_len
00007ffe07919621 (__TEXT,__text) external _usbuf_new
00007ffe07919d1c (__TEXT,__text) external _usbuf_nl_terminate
00007ffe07919bea (__TEXT,__text) external _usbuf_printf
00007ffe079195de (__TEXT,__text) external _usbuf_printf_drain
00007ffe079195c3 (__TEXT,__text) external _usbuf_putbuf
00007ffe07919c84 (__TEXT,__text) external _usbuf_putc
00007ffe07919792 (__TEXT,__text) external _usbuf_set_drain
00007ffe0791973e (__TEXT,__text) external _usbuf_set_flags
00007ffe0791976a (__TEXT,__text) external _usbuf_setpos
00007ffe07919ef2 (__TEXT,__text) external _usbuf_start_section
00007ffe07919d5b (__TEXT,__text) external _usbuf_trim
00007ffe07919a0c (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
