000000018243ec10 (__DATA,__data) non-external _C
000000018244b540 (__DATA,__bss) non-external _EMSG
000000018244b541 (__DATA,__bss) non-external _EMSG
00000001824408b0 (__DATA,__bss) non-external _NXArgc_pointer
00000001824408a8 (__DATA,__bss) non-external _NXArgv_pointer
00000001802e2e24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802eabb0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802fc2a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802fc984 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018032b8a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802eabec (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802fc9a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802eac08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001802fc9b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001802eac24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001802eac3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001802eac58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001802eac74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001802eac88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001802eac9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001802eacb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001803057ec (__TEXT,__text) non-external (was a private external) __BIG5_init
000000018030583c (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180305960 (__TEXT,__text) non-external __BIG5_mbsinit
000000018030590c (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001804257d0 (__DATA_CONST,__const) non-external __C_messages_locale
00000001804257f0 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180425898 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180425a78 (__DATA_CONST,__const) non-external __C_time_locale
000000018243f3c8 (__DATA,__data) external __CurrentRuneLocale
000000018243faa0 (__DATA,__constrw) external __DefaultRuneLocale
0000000182452678 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180307904 (__TEXT,__text) non-external __EUC_free_extra
00000001803073c4 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180307580 (__TEXT,__text) non-external __EUC_mbrtowc
00000001803078e8 (__TEXT,__text) non-external __EUC_mbsinit
0000000180307710 (__TEXT,__text) non-external __EUC_wcrtomb
000000018032c118 (__TEXT,__text) external __Exit
00000001803079f4 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180307a44 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180307cc4 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180307bb8 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180307ce0 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180307d30 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180307e98 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180307e44 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180307eb4 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180307f04 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180308028 (__TEXT,__text) non-external __GBK_mbsinit
0000000180307fd4 (__TEXT,__text) non-external __GBK_wcrtomb
00000001803098b4 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180309904 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180309a4c (__TEXT,__text) non-external __MSKanji_mbsinit
00000001803099e4 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001802ea2fc (__TEXT,__text) external __NSGetArgc
00000001802ea2f0 (__TEXT,__text) external __NSGetArgv
00000001802ea308 (__TEXT,__text) external __NSGetEnviron
00000001802ea320 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001802ea314 (__TEXT,__text) external __NSGetProgname
000000018244b608 (__DATA,__common) external __PathLocale
000000018033493c (__TEXT,__text) external __Read_RuneMagi
000000018032b8d0 (__TEXT,__text) non-external (was a private external) __UTF2_init
000000018032b948 (__TEXT,__text) non-external __UTF2_mbrtowc
000000018032bb3c (__TEXT,__text) non-external __UTF2_mbsinit
000000018032bb58 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
000000018032ba94 (__TEXT,__text) non-external __UTF2_wcrtomb
000000018032bd00 (__TEXT,__text) non-external __UTF2_wcsnrtombs
000000018030b7d4 (__TEXT,__text) non-external (was a private external) __UTF8_init
000000018030b84c (__TEXT,__text) non-external __UTF8_mbrtowc
000000018030baf8 (__TEXT,__text) non-external __UTF8_mbsinit
000000018030bb14 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
000000018030ba28 (__TEXT,__text) non-external __UTF8_wcrtomb
000000018030bcbc (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001802f7b04 (__TEXT,__text) external ___Balloc_D2A
00000001802f7c88 (__TEXT,__text) external ___Bfree_D2A
00000001802fbebc (__TEXT,__text) external ___ULtod_D2A
00000001802e7c74 (__TEXT,__text) external ____mb_cur_max
00000001802e7ca0 (__TEXT,__text) external ____mb_cur_max_l
000000018030a60c (__TEXT,__text) external ____runetype
000000018030a564 (__TEXT,__text) external ____runetype_l
000000018030b6e8 (__TEXT,__text) external ____tolower
000000018030b644 (__TEXT,__text) external ____tolower_l
000000018030b7b0 (__TEXT,__text) external ____toupper
