00007ffb41cfcb70 (__DATA,__common) external _AfterColour
00007ffb41cfe9d0 (__DATA,__common) external _ApplyExtTspWithoutProfile
00007ffb41cffff0 (__DATA,__common) external _AsmMacroMaxNestingDepth
00007ffb41cf7550 (__DATA,__common) external _BBSectionsDetectSourceDrift
00007ffb41cfca70 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffb41cf82a0 (__DATA,__common) external _CheapRematWeight
00007ffb41cfcc70 (__DATA,__common) external _CommonColour
00007ffb41cf8000 (__DATA,__common) external _CopyWeight
00007ffb41cfc650 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00007ffb41cfe900 (__DATA,__common) external _EnableExtTspBlockPlacement
00007ffb41cfb030 (__DATA,__common) external _EnableLTOInternalization
00007ffb41cffe40 (__DATA,__common) external _EnableVPlanNativePath
00007ffb41cffd70 (__DATA,__common) external _EnableVPlanPredication
00007ffb41cf7f20 (__DATA,__common) external _EvictInterferenceCutoff
00007ffb41cf8380 (__DATA,__common) external _ExpensiveRematWeight
00007ffb43dbdff0 (__DATA_DIRTY,__common) external _FSEC
00007ffb41cfdbe0 (__DATA,__common) external _ForceFusion
00007ffb41cf6e10 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffb41cfda40 (__DATA,__common) external _FuseMatrix
00007ffb41cfd430 (__DATA,__common) external _GenerateMergedBaseProfiles
00007ffb41cf6510 (__DATA,__common) external _InlinerFunctionImportStats
00007ffb0d6cc80e (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb0d6cc7a2 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb0ccd54f6 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffb0ccd5501 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffb0d831769 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
